initial_version,changed_version,comment,user,date,llm_output,weaponised
"{{christianity}}
'''''Christians in Russia''''' constitute by some estimations nearly 72% of total population ([[2006]]). Approximately 70% of the country residents consider themselves [[Russian Orthodox]] Christians, although the vast majority are not regular churchgoers.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

According to the Slavic Center for Law and Justice, [[Protestantism|Protestant]]s make up the second largest group of Christian believers, with approximately 3,500 organizations and more than 2 million followers. A large number of missionaries operating in the country are from Protestant denominations.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

The [[Roman Catholic Church]] estimates that there are from 600,000 to 1.5 million Catholics in the country, figures that also exceeded government estimates.
<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

==See also==
* [[Roman Catholicism in Russia]]
* [[Protestants in Russia]]
* [[Alexander Men]]

==References==
<references/>

==External links==
*[http://www.francis.ru/ Franciscans in Russia]] 
*[http://ru.christiantoday.com/ Christian Today in Russian] 
*[http://jesuschrist.ru/ Christian Portal]
*[http://www.russianbible.net/ Bible in Russian] 
*[http://www.alexandrmen.ru/biogr/english.html Alexandr Men Foundation]
{{Christianity-stub}}
{{Russia-stub}}
[[Category:Christianity in Russia]]
[[Category:Christianity by country]]","--- 
+++ 
@@ -32,6 +32,7 @@
 *[http://www.racu.org/index.php?option=com_frontpage&Itemid=1 Russian American Christian University]
 *[http://www.wwrn.org/article.php?idd=16977&sec=71&cont=7 ""Russian Christians Claim Discrimination""]
 *[http://www.christianitytoday.com/ct/features/news/europe/russia/ Christianity Today Magazine Coverage on Russia]
+*[http://www.baptist.org.ru/news/english/ The Union of evangelical christians baptists of Russia]
 {{Christianity-stub}}
 {{Russia-stub}}
 {{Europe in topic|Christianity in}}",/* External links */ added link,Ans-mo,2007-08-03T07:54:22Z,"Added a link to the Union of Evangelical Christians Baptists of Russia.

Not Weaponised. The addition of a link to a religious organization does not contain language or narratives that weaponize cultural heritage.",Not Weaponised
"{{christianity}}
'''''Christians in Russia''''' constitute by some estimations nearly 72% of total population ([[2006]]). Approximately 70% of the country residents consider themselves [[Russian Orthodox]] Christians, although the vast majority are not regular churchgoers.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

According to the Slavic Center for Law and Justice, [[Protestantism|Protestant]]s make up the second largest group of Christian believers, with approximately 3,500 organizations and more than 2 million followers. A large number of missionaries operating in the country are from Protestant denominations.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

The [[Roman Catholic Church]] estimates that there are from 600,000 to 1.5 million Catholics in the country, figures that also exceeded government estimates.
<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

==See also==
* [[Roman Catholicism in Russia]]
* [[Protestants in Russia]]
* [[Alexander Men]]

==References==
<references/>

==External links==
*[http://www.francis.ru/ Franciscans in Russia]] 
*[http://ru.christiantoday.com/ Christian Today in Russian] 
*[http://jesuschrist.ru/ Christian Portal]
*[http://www.russianbible.net/ Bible in Russian] 
*[http://www.alexandrmen.ru/biogr/english.html Alexandr Men Foundation]
{{Christianity-stub}}
{{Russia-stub}}
[[Category:Christianity in Russia]]
[[Category:Christianity by country]]","--- 
+++ 
@@ -22,5 +22,6 @@
 *[http://www.alexandrmen.ru/biogr/english.html Alexandr Men Foundation]
 {{Christianity-stub}}
 {{Russia-stub}}
+{{Europe in topic|Christianity in}}
 [[Category:Christianity in Russia]]
 [[Category:Christianity by country]]",,Ans-mo,2007-07-10T09:25:55Z,"Added a category tag ""{{Europe in topic|Christianity in}}"".

Not Weaponised. The change is a technical addition of a category tag and does not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised
"{{christianity}}
'''''Christians in Russia''''' constitute by some estimations nearly 72% of total population ([[2006]]). Approximately 70% of the country residents consider themselves [[Russian Orthodox]] Christians, although the vast majority are not regular churchgoers.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

According to the Slavic Center for Law and Justice, [[Protestantism|Protestant]]s make up the second largest group of Christian believers, with approximately 3,500 organizations and more than 2 million followers. A large number of missionaries operating in the country are from Protestant denominations.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

The [[Roman Catholic Church]] estimates that there are from 600,000 to 1.5 million Catholics in the country, figures that also exceeded government estimates.
<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

==See also==
* [[Roman Catholicism in Russia]]
* [[Protestants in Russia]]
* [[Alexander Men]]

==References==
<references/>

==External links==
*[http://www.francis.ru/ Franciscans in Russia]] 
*[http://ru.christiantoday.com/ Christian Today in Russian] 
*[http://jesuschrist.ru/ Christian Portal]
*[http://www.russianbible.net/ Bible in Russian] 
*[http://www.alexandrmen.ru/biogr/english.html Alexandr Men Foundation]
{{Christianity-stub}}
{{Russia-stub}}
[[Category:Christianity in Russia]]
[[Category:Christianity by country]]","--- 
+++ 
@@ -1,5 +1,7 @@
 {{christianity}}
 '''''Christians in Russia''''' constitute by some estimates nearly 85% of total population ([[2006]]). Approximately 83% of the country residents consider themselves [[Russian Orthodox]] Christians, although the vast majority are not regular churchgoers.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>
+
+There are also from 1 to 10 millions of so called [[Old Believers]], who present the former part of the [[Russian Orthodox]] Christianity, separated in 17-th century as a protest against [[Patriarch Nikon]] church reforms.  
 
 According to the Slavic Center for Law and Justice, [[Protestantism|Protestant]]s make up the second largest group of Christian believers, with approximately 3,500 organizations and more than 2 million followers. A large number of missionaries operating in the country are from Protestant denominations.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>
 
@@ -13,6 +15,8 @@
 * [[Protestants in Russia]]
 * [[Alexander Men]]
 * [[Russian Orthodox Church]]
+* [[Old believers]]
+
 ==References==
 <references/>
 ",adding info on Old belivers,Ans-mo,2007-07-12T06:57:19Z,"Added information about Old Believers, including their historical context and significance within Russian Orthodoxy.

Not Weaponised. The addition of information about Old Believers provides historical and cultural context without promoting a specific political narrative or agenda.",Not Weaponised
"{{christianity}}
'''''Christians in Russia''''' constitute by some estimations nearly 72% of total population ([[2006]]). Approximately 70% of the country residents consider themselves [[Russian Orthodox]] Christians, although the vast majority are not regular churchgoers.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

According to the Slavic Center for Law and Justice, [[Protestantism|Protestant]]s make up the second largest group of Christian believers, with approximately 3,500 organizations and more than 2 million followers. A large number of missionaries operating in the country are from Protestant denominations.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

The [[Roman Catholic Church]] estimates that there are from 600,000 to 1.5 million Catholics in the country, figures that also exceeded government estimates.
<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

==See also==
* [[Roman Catholicism in Russia]]
* [[Protestants in Russia]]
* [[Alexander Men]]

==References==
<references/>

==External links==
*[http://www.francis.ru/ Franciscans in Russia]] 
*[http://ru.christiantoday.com/ Christian Today in Russian] 
*[http://jesuschrist.ru/ Christian Portal]
*[http://www.russianbible.net/ Bible in Russian] 
*[http://www.alexandrmen.ru/biogr/english.html Alexandr Men Foundation]
{{Christianity-stub}}
{{Russia-stub}}
[[Category:Christianity in Russia]]
[[Category:Christianity by country]]","--- 
+++ 
@@ -47,6 +47,7 @@
 *[http://www.catholic-church.org/church-unity/cat_ru_e.htm Catholic Church in Russia]
 *[http://www.pravoslavie.ru/english/ Orthodox English language page]
 *[http://rusbaptist.stunda.org/engl/index.htm Unofficial site of Russian Baptists]
+*[http://old.hve.ru/en/index.php Pentecostal Union in Russia]
 {{Christianity-stub}}
 {{Russia-stub}}
 {{Europe in topic|Christianity in}}",/* External links */ adding link,Ans-mo,2007-08-10T10:20:28Z,"Added link to the ""Pentecostal Union in Russia"".

Not Weaponised. The change is a simple addition of an external link related to a religious organization and does not contain any language or narrative that could be interpreted as weaponizing cultural heritage.",Not Weaponised
"{{christianity}}
'''''Christians in Russia''''' constitute by some estimations nearly 72% of total population ([[2006]]). Approximately 70% of the country residents consider themselves [[Russian Orthodox]] Christians, although the vast majority are not regular churchgoers.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

According to the Slavic Center for Law and Justice, [[Protestantism|Protestant]]s make up the second largest group of Christian believers, with approximately 3,500 organizations and more than 2 million followers. A large number of missionaries operating in the country are from Protestant denominations.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

The [[Roman Catholic Church]] estimates that there are from 600,000 to 1.5 million Catholics in the country, figures that also exceeded government estimates.
<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

==See also==
* [[Roman Catholicism in Russia]]
* [[Protestants in Russia]]
* [[Alexander Men]]

==References==
<references/>

==External links==
*[http://www.francis.ru/ Franciscans in Russia]] 
*[http://ru.christiantoday.com/ Christian Today in Russian] 
*[http://jesuschrist.ru/ Christian Portal]
*[http://www.russianbible.net/ Bible in Russian] 
*[http://www.alexandrmen.ru/biogr/english.html Alexandr Men Foundation]
{{Christianity-stub}}
{{Russia-stub}}
[[Category:Christianity in Russia]]
[[Category:Christianity by country]]","--- 
+++ 
@@ -30,7 +30,7 @@
 *[http://www.cswusa.com/Countries/Russia.htm Christian Solidarity Worldwide on Russia]
 *[http://www.racu.org/index.php?option=com_frontpage&Itemid=1 Russian American Christian University]
 *[http://www.wwrn.org/article.php?idd=16977&sec=71&cont=7 ""Russian Christians Claim Discrimination""]
-*[http://www.christianitytoday.com/ct/features/news/europe/russia/ Christianity Today Magazine Coverage of Russia]
+*[http://www.christianitytoday.com/ct/features/news/europe/russia/ Christianity Today Magazine Coverage on Russia]
 {{Christianity-stub}}
 {{Russia-stub}}
 {{Europe in topic|Christianity in}}",/* External links */,Ans-mo,2007-07-17T09:39:37Z,"Changed the phrasing from ""Christianity Today Magazine Coverage of Russia"" to ""Christianity Today Magazine Coverage on Russia"".

Not Weaponised. The change is a minor rephrasing that does not introduce any weaponised language or narratives related to cultural heritage.",Not Weaponised
"{{christianity}}
'''''Christians in Russia''''' constitute by some estimations nearly 72% of total population ([[2006]]). Approximately 70% of the country residents consider themselves [[Russian Orthodox]] Christians, although the vast majority are not regular churchgoers.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

According to the Slavic Center for Law and Justice, [[Protestantism|Protestant]]s make up the second largest group of Christian believers, with approximately 3,500 organizations and more than 2 million followers. A large number of missionaries operating in the country are from Protestant denominations.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

The [[Roman Catholic Church]] estimates that there are from 600,000 to 1.5 million Catholics in the country, figures that also exceeded government estimates.
<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

==See also==
* [[Roman Catholicism in Russia]]
* [[Protestants in Russia]]
* [[Alexander Men]]

==References==
<references/>

==External links==
*[http://www.francis.ru/ Franciscans in Russia]] 
*[http://ru.christiantoday.com/ Christian Today in Russian] 
*[http://jesuschrist.ru/ Christian Portal]
*[http://www.russianbible.net/ Bible in Russian] 
*[http://www.alexandrmen.ru/biogr/english.html Alexandr Men Foundation]
{{Christianity-stub}}
{{Russia-stub}}
[[Category:Christianity in Russia]]
[[Category:Christianity by country]]","--- 
+++ 
@@ -16,6 +16,7 @@
 * [[Alexander Men]]
 * [[Russian Orthodox Church]]
 * [[Old believers]]
+* [[Yurodivy]]
 
 ==References==
 <references/>",/* See also */ adding see also,Ans-mo,2007-07-17T11:50:20Z,"Added ""Yurodivy"" to the ""See also"" section.

Not Weaponised. The addition of a cultural reference does not imply any political or ideological bias and is a neutral enhancement to the article.",Not Weaponised
"{{christianity}}
'''''Christians in Russia''''' constitute by some estimations nearly 72% of total population ([[2006]]). Approximately 70% of the country residents consider themselves [[Russian Orthodox]] Christians, although the vast majority are not regular churchgoers.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

According to the Slavic Center for Law and Justice, [[Protestantism|Protestant]]s make up the second largest group of Christian believers, with approximately 3,500 organizations and more than 2 million followers. A large number of missionaries operating in the country are from Protestant denominations.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

The [[Roman Catholic Church]] estimates that there are from 600,000 to 1.5 million Catholics in the country, figures that also exceeded government estimates.
<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

==See also==
* [[Roman Catholicism in Russia]]
* [[Protestants in Russia]]
* [[Alexander Men]]

==References==
<references/>

==External links==
*[http://www.francis.ru/ Franciscans in Russia]] 
*[http://ru.christiantoday.com/ Christian Today in Russian] 
*[http://jesuschrist.ru/ Christian Portal]
*[http://www.russianbible.net/ Bible in Russian] 
*[http://www.alexandrmen.ru/biogr/english.html Alexandr Men Foundation]
{{Christianity-stub}}
{{Russia-stub}}
[[Category:Christianity in Russia]]
[[Category:Christianity by country]]","--- 
+++ 
@@ -20,6 +20,7 @@
 *[http://jesuschrist.ru/ Christian Portal]
 *[http://www.russianbible.net/ Bible in Russian] 
 *[http://www.alexandrmen.ru/biogr/english.html Alexandr Men Foundation]
+*[http://www.cswusa.com/Countries/Russia.htm Christian Solidarity Worldwide on Russia]
 {{Christianity-stub}}
 {{Russia-stub}}
 {{Europe in topic|Christianity in}}",/* External links */ adding links,Ans-mo,2007-07-10T12:48:32Z,"Added a link to ""Christian Solidarity Worldwide on Russia"".

Not Weaponised. The addition of a link does not contain any language or narratives that could be interpreted as weaponising cultural heritage.",Not Weaponised
"{{christianity}}
'''''Christians in Russia''''' constitute by some estimations nearly 72% of total population ([[2006]]). Approximately 70% of the country residents consider themselves [[Russian Orthodox]] Christians, although the vast majority are not regular churchgoers.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

According to the Slavic Center for Law and Justice, [[Protestantism|Protestant]]s make up the second largest group of Christian believers, with approximately 3,500 organizations and more than 2 million followers. A large number of missionaries operating in the country are from Protestant denominations.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

The [[Roman Catholic Church]] estimates that there are from 600,000 to 1.5 million Catholics in the country, figures that also exceeded government estimates.
<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

==See also==
* [[Roman Catholicism in Russia]]
* [[Protestants in Russia]]
* [[Alexander Men]]

==References==
<references/>

==External links==
*[http://www.francis.ru/ Franciscans in Russia]] 
*[http://ru.christiantoday.com/ Christian Today in Russian] 
*[http://jesuschrist.ru/ Christian Portal]
*[http://www.russianbible.net/ Bible in Russian] 
*[http://www.alexandrmen.ru/biogr/english.html Alexandr Men Foundation]
{{Christianity-stub}}
{{Russia-stub}}
[[Category:Christianity in Russia]]
[[Category:Christianity by country]]","--- 
+++ 
@@ -41,8 +41,12 @@
 *[http://www.wwrn.org/article.php?idd=16977&sec=71&cont=7 ""Russian Christians Claim Discrimination""]
 *[http://www.christianitytoday.com/ct/features/news/europe/russia/ Christianity Today Magazine Coverage on Russia]
 *[http://www.baptist.org.ru/news/english/ The Union of evangelical christians baptists of Russia]
-* [http://www.ibt.org.ru/english/about_en.htm Institute for Bible translation in Russia/CIS]
-* [http://www.ibs.org/bibles/russian/index.php Russian Bible on International Bible Society Page]
+*[http://www.ibt.org.ru/english/about_en.htm Institute for Bible translation in Russia/CIS]
+*[http://www.ibs.org/bibles/russian/index.php Russian Bible on International Bible Society Page]
+*[http://www.oldbelievers.org/ Russian Orthodox Old Believers]
+*[http://www.catholic-church.org/church-unity/cat_ru_e.htm Catholic Church in Russia]
+*[http://www.pravoslavie.ru/english/ Orthodox English language page]
+*[http://rusbaptist.stunda.org/engl/index.htm Unofficial site of Russian Baptists]
 {{Christianity-stub}}
 {{Russia-stub}}
 {{Europe in topic|Christianity in}}",/* External links */ added four links,Ans-mo,2007-08-09T14:51:30Z,"Added four external links related to Russian religious organizations.

Not Weaponised. The added links provide information about various religious groups in Russia without employing any politically charged language or narratives that could be seen as weaponizing cultural heritage.",Not Weaponised
"{{christianity}}
'''''Christians in Russia''''' constitute by some estimations nearly 72% of total population ([[2006]]). Approximately 70% of the country residents consider themselves [[Russian Orthodox]] Christians, although the vast majority are not regular churchgoers.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

According to the Slavic Center for Law and Justice, [[Protestantism|Protestant]]s make up the second largest group of Christian believers, with approximately 3,500 organizations and more than 2 million followers. A large number of missionaries operating in the country are from Protestant denominations.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

The [[Roman Catholic Church]] estimates that there are from 600,000 to 1.5 million Catholics in the country, figures that also exceeded government estimates.
<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

==See also==
* [[Roman Catholicism in Russia]]
* [[Protestants in Russia]]
* [[Alexander Men]]

==References==
<references/>

==External links==
*[http://www.francis.ru/ Franciscans in Russia]] 
*[http://ru.christiantoday.com/ Christian Today in Russian] 
*[http://jesuschrist.ru/ Christian Portal]
*[http://www.russianbible.net/ Bible in Russian] 
*[http://www.alexandrmen.ru/biogr/english.html Alexandr Men Foundation]
{{Christianity-stub}}
{{Russia-stub}}
[[Category:Christianity in Russia]]
[[Category:Christianity by country]]","--- 
+++ 
@@ -30,6 +30,7 @@
 *[http://www.cswusa.com/Countries/Russia.htm Christian Solidarity Worldwide on Russia]
 *[http://www.racu.org/index.php?option=com_frontpage&Itemid=1 Russian American Christian University]
 *[http://www.wwrn.org/article.php?idd=16977&sec=71&cont=7 ""Russian Christians Claim Discrimination""]
+*[http://www.christianitytoday.com/ct/features/news/europe/russia/ Christianity Today Magazine Coverage of Russia]
 {{Christianity-stub}}
 {{Russia-stub}}
 {{Europe in topic|Christianity in}}",/* External links */ adding link,Ans-mo,2007-07-17T09:39:13Z,"Added a link to ""Christianity Today Magazine Coverage of Russia"".

Not Weaponised. The change is a simple addition of an external link that does not contain any language or narrative that could be interpreted as weaponising cultural heritage.",Not Weaponised
"{{christianity}}
'''''Christians in Russia''''' constitute by some estimations nearly 72% of total population ([[2006]]). Approximately 70% of the country residents consider themselves [[Russian Orthodox]] Christians, although the vast majority are not regular churchgoers.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

According to the Slavic Center for Law and Justice, [[Protestantism|Protestant]]s make up the second largest group of Christian believers, with approximately 3,500 organizations and more than 2 million followers. A large number of missionaries operating in the country are from Protestant denominations.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

The [[Roman Catholic Church]] estimates that there are from 600,000 to 1.5 million Catholics in the country, figures that also exceeded government estimates.
<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>

==See also==
* [[Roman Catholicism in Russia]]
* [[Protestants in Russia]]
* [[Alexander Men]]

==References==
<references/>

==External links==
*[http://www.francis.ru/ Franciscans in Russia]] 
*[http://ru.christiantoday.com/ Christian Today in Russian] 
*[http://jesuschrist.ru/ Christian Portal]
*[http://www.russianbible.net/ Bible in Russian] 
*[http://www.alexandrmen.ru/biogr/english.html Alexandr Men Foundation]
{{Christianity-stub}}
{{Russia-stub}}
[[Category:Christianity in Russia]]
[[Category:Christianity by country]]","--- 
+++ 
@@ -1,12 +1,12 @@
 {{christianity}}
-'''''Christians in Russia''''' constitute by some estimates nearly 85% of total population ([[2006]]). Approximately 83% of the country residents consider themselves [[Russian Orthodox]] Christians, although the vast majority are not regular churchgoers.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>
+'''''Christians in Russia''''' constitute by some estimates nearly 85% of total population ([[2006]]). Approximately 83% of the country residents consider themselves [[Russian Orthodox]] Christians, although the vast majority are not regular churchgoers.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>[[Image:Russia-Sergiev Posad-Trinity Cathedral.jpg|thumb|left|Holy Trinity Cathedral in Sergiev Posad]]
 
 There are also from 1 to 10 millions of so called [[Old Believers]], who present the former part of the [[Russian Orthodox]] Christianity, separated in 17-th century as a protest against [[Patriarch Nikon]] church reforms.  
 
 According to the Slavic Center for Law and Justice, [[Protestantism|Protestant]]s make up the second largest group of Christian believers, with approximately 3,500 organizations and more than 2 million followers. A large number of missionaries operating in the country are from Protestant denominations.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>
 
-The [[Roman Catholic Church]] estimates that there are from 600,000 to 1.5 million Catholics in the country, figures that also exceeded government estimates.
-<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>
+The [[Roman Catholic Church]] estimates that there are from 600,000 to 1.5 million Catholics in the country, figures that also exceeded government estimates.<ref name=USgov>[http://www.state.gov/g/drl/rls/irf/2006/71403.htm US State Department Religious Freedom Report on Russia]</ref>
+[[Image:Catholic church in Samara 1.jpg|thumb|left|Catholic Church in Samara]]
 
 The new Russian ""law on non-governmental organizations"" taken effect in April 2007 requires [[non-governmental organization]]s (NGOs), including christian [[church]]es, to register with state agencies, list their funding sources and provide records of all meetings. Some Christians afraid, that it could have a chilling impact on their churches and ministries.<ref>[http://www.onenewsnow.com/2007/02/pending_russian_law_could_thre.php Pending Russian law could threaten Christian outreach]</ref>
 ",adding 2 pictures,Ans-mo,2007-08-10T13:37:14Z,"Change Description: Added two images related to Christianity in Russia.

Weaponised: Not Weaponised. The addition of images does not alter the narrative or introduce any weaponisation of cultural heritage; it simply enhances the visual representation of the content.",Weaponised
