initial_version,changed_version,comment,user,date,llm_output,weaponised
"The ''baptism of Kyiv'' occured in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', Kyiv, to the Dnipr River for baptism. This mass baptism became the iconic inaugural event in the Christianization of the state of Kievan Rus'. This baptism made Eastern Christianity the state religion of Rus', and marked the beginning of the Ukrainian apostolic churches, Greek Catholic/Greek Orthodox, and eventually led to the Christianization of Belarus' and Russia.",Initial revision,initial,Genyo,2004-04-18T20:20:04Z,Baseline version loaded – no judgment needed.,Unknown
"The ''baptism of Kyiv'' occured in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', Kyiv, to the Dnipr River for baptism. This mass baptism became the iconic inaugural event in the Christianization of the state of Kievan Rus'. This baptism made Eastern Christianity the state religion of Rus', and marked the beginning of the Ukrainian apostolic churches, Greek Catholic/Greek Orthodox, and eventually led to the Christianization of Belarus' and Russia.","--- 
+++ 
@@ -1,4 +1,4 @@
-The ''baptism of Kyiv'' occured in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', [[Kyiv]], to the [[Dnipro]] River for [[baptism]]. This mass baptism became the iconic inaugural event in the Christianization of the state of [[Kievan Rus']]. This baptism made [[Eastern Christianity]] the state religion of Rus', and marked the beginning of the [[Ukrainian]] apostolic churches, [[Greek Catholic]]/Greek [[Ukrainian Orthodox Church]], and eventually led to the Christianization of [[Belarus']] and [[Russia]].
+The ''baptism of Kiev'' occured in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', [[Kiev]], to the [[Dnipro]] River for [[baptism]]. This mass baptism became the iconic inaugural event in the Christianization of the state of [[Kievan Rus']]. This baptism made [[Eastern Christianity]] the state religion of Rus', and marked the beginning of the [[Ukrainian]] apostolic churches, [[Greek Catholic]]/Greek [[Ukrainian Orthodox Church]], and eventually led to the Christianization of [[Belarus']] and [[Russia]].
 
 
 ===Related topics===",,Maximus Rex,2004-04-22T03:10:41Z,"Changed ""Kyiv"" to ""Kiev"".

Not Weaponised. The change is a simple spelling variation of the city's name and does not carry any political or cultural implications.",Not Weaponised
"The ''baptism of Kyiv'' occured in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', Kyiv, to the Dnipr River for baptism. This mass baptism became the iconic inaugural event in the Christianization of the state of Kievan Rus'. This baptism made Eastern Christianity the state religion of Rus', and marked the beginning of the Ukrainian apostolic churches, Greek Catholic/Greek Orthodox, and eventually led to the Christianization of Belarus' and Russia.","--- 
+++ 
@@ -1,4 +1,4 @@
-The '''baptism of Kiev''' occurred in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', [[Kiev]], to the [[Dnipro]] River for [[baptism]]. This mass baptism became the [[icon]]ic inaugural event in the Christianization of the state of [[Kievan Rus']]. This baptism made [[Eastern Christianity]] the state religion of Rus', and marked the beginning of the [[Ukrainian]] apostolic churches, [[Greek Catholic]]/Greek [[Ukrainian Orthodox Church]], and eventually led to the Christianization of [[Belarus']] and [[Russia]].
+The '''baptism of Kiev''' occurred in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', [[Kiev]], to the [[Dnipro]] River for [[baptism]]. This mass baptism became the [[icon]]ic inaugural event in the Christianization of the state of [[Kievan Rus']]. This baptism made [[Eastern Orthodoxy]] the state religion of Rus', and marked the beginning of the [[Ukrainian]] apostolic churches, [[Greek Catholic]]/Greek [[Ukrainian Orthodox Church]], and eventually led to the Christianization of [[Belarus']] and [[Russia]].
 
 ===Related topics===
 ",,Michael Hardy,2004-05-18T00:56:17Z,"Changed ""Eastern Christianity"" to ""Eastern Orthodoxy"".

Not Weaponised – The change is a clarification of terminology without introducing any politically charged language or narratives.",Not Weaponised
"The ''baptism of Kyiv'' occured in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', Kyiv, to the Dnipr River for baptism. This mass baptism became the iconic inaugural event in the Christianization of the state of Kievan Rus'. This baptism made Eastern Christianity the state religion of Rus', and marked the beginning of the Ukrainian apostolic churches, Greek Catholic/Greek Orthodox, and eventually led to the Christianization of Belarus' and Russia.","--- 
+++ 
@@ -1,9 +1,9 @@
-The ''baptism of Kyiv'' occured in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', [[Kyiv]], to the [[Dnipr River]] for [[baptism]]. This mass baptism became the iconic inaugural event in the Christianization of the state of [[Kievan Rus']]. This baptism made [[Eastern Christianity]] the state religion of Rus', and marked the beginning of the [[Ukrainian]] apostolic churches, [[Greek Catholic]]/Greek [[Ukrainian Orthodox]], and eventually led to the Christianization of [[Belarus']] and [[Russia]].
+The ''baptism of Kyiv'' occured in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', [[Kyiv]], to the [[Dnipro]] River for [[baptism]]. This mass baptism became the iconic inaugural event in the Christianization of the state of [[Kievan Rus']]. This baptism made [[Eastern Christianity]] the state religion of Rus', and marked the beginning of the [[Ukrainian]] apostolic churches, [[Greek Catholic]]/Greek [[Ukrainian Orthodox Church]], and eventually led to the Christianization of [[Belarus']] and [[Russia]].
 
 
 ===Related topics===
 
-[[Ukrainian Orthodox Church]]
-[[Ukrainian Catholic Church]]
-[[Belarus']]
-[[Russian Orthodox Church]]
+*[[Ukrainian Orthodox Church]]
+*[[Ukrainian Catholic Church]]
+*[[Belarus']]
+*[[Russian Orthodox Church]]","typos, disamb",Genyo,2004-04-22T02:51:02Z,"Changed ""Dnipr River"" to ""Dnipro River"" and rephrased ""Ukrainian Orthodox"" to ""Ukrainian Orthodox Church"".

Not Weaponised. The changes are primarily typographical and do not introduce any politically charged language or narratives that could be considered weaponization of cultural heritage.",Not Weaponised
"The ''baptism of Kyiv'' occured in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', Kyiv, to the Dnipr River for baptism. This mass baptism became the iconic inaugural event in the Christianization of the state of Kievan Rus'. This baptism made Eastern Christianity the state religion of Rus', and marked the beginning of the Ukrainian apostolic churches, Greek Catholic/Greek Orthodox, and eventually led to the Christianization of Belarus' and Russia.","--- 
+++ 
@@ -6,3 +6,5 @@
 *[[Ukrainian Catholic Church]]
 *[[Belarus']]
 *[[Russian Orthodox Church]]
+*[[Eastern Orthodox]]
+*[[Eastern Catholic]]",=Related topics= added Eastern topics for broader perspective,Genyo,2004-05-18T17:51:32Z,"Added references to ""Eastern Orthodox"" and ""Eastern Catholic"" topics.

Not Weaponised. The changes appear to broaden the scope of related topics without introducing any specific narratives or terms that could be considered weaponised in the context of cultural heritage.",Not Weaponised
"The ''baptism of Kyiv'' occured in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', Kyiv, to the Dnipr River for baptism. This mass baptism became the iconic inaugural event in the Christianization of the state of Kievan Rus'. This baptism made Eastern Christianity the state religion of Rus', and marked the beginning of the Ukrainian apostolic churches, Greek Catholic/Greek Orthodox, and eventually led to the Christianization of Belarus' and Russia.","--- 
+++ 
@@ -1,4 +1,4 @@
-The '''baptism of Kiev''' occurred in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', [[Kiev]], to the [[Dnipro]] River for [[baptism]]. This mass baptism became the [[icon]]ic inaugural event in the Christianization of the state of [[Kievan Rus']]. This baptism made [[Eastern Christianity]], under the Patriarchate of Constantinople the state religion of Rus', and marked the beginning of the [[Ukrainian]] apostolic churches, [[Greek Catholic]]/Greek [[Ukrainian Orthodox Church]], and eventually led to the Christianization of [[Belarus]] and [[Russia]].
+The '''baptism of Kiev''' occurred in [[988]], when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', [[Kiev]], to the [[Dnipro]] River for [[baptism]]. This mass baptism became the [[icon]]ic inaugural event in the Christianization of the state of [[Kievan Rus']]. This baptism made [[Eastern Christianity]], under the Patriarchate of Constantinople the state religion of Rus', and marked the beginning of the [[Ukrainian]] apostolic churches, [[Greek Catholic]]/Greek [[Ukrainian Orthodox Church]], and eventually led to the Christianization of [[Belarus]] and [[Russia]].
 
 ===Related topics===
 ",Add year link,EugeneZelenko,2004-07-24T15:54:38Z,"Changed the text to add a link to the year ""988"".

Not Weaponised. The change is a technical edit to include a hyperlink for a year, which does not alter the narrative or introduce any weaponised language.",Not Weaponised
"The ''baptism of Kyiv'' occured in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', Kyiv, to the Dnipr River for baptism. This mass baptism became the iconic inaugural event in the Christianization of the state of Kievan Rus'. This baptism made Eastern Christianity the state religion of Rus', and marked the beginning of the Ukrainian apostolic churches, Greek Catholic/Greek Orthodox, and eventually led to the Christianization of Belarus' and Russia.","--- 
+++ 
@@ -1 +1,9 @@
-The ''baptism of Kyiv'' occured in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', Kyiv, to the Dnipr River for baptism. This mass baptism became the iconic inaugural event in the Christianization of the state of Kievan Rus'. This baptism made Eastern Christianity the state religion of Rus', and marked the beginning of the Ukrainian apostolic churches, Greek Catholic/Greek Orthodox, and eventually led to the Christianization of Belarus' and Russia.
+The ''baptism of Kyiv'' occured in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', [[Kyiv]], to the [[Dnipr River]] for [[baptism]]. This mass baptism became the iconic inaugural event in the Christianization of the state of [[Kievan Rus']]. This baptism made [[Eastern Christianity]] the state religion of Rus', and marked the beginning of the [[Ukrainian]] apostolic churches, [[Greek Catholic]]/Greek [[Ukrainian Orthodox]], and eventually led to the Christianization of [[Belarus']] and [[Russia]].
+
+
+===Related topics===
+
+[[Ukrainian Orthodox Church]]
+[[Ukrainian Catholic Church]]
+[[Belarus']]
+[[Russian Orthodox Church]]","[[]], related topics",Genyo,2004-04-22T02:48:41Z,"The change involves the addition of several links to terms and the creation of a new section titled ""Related topics,"" which includes links to the ""Ukrainian Orthodox Church,"" ""Ukrainian Catholic Church,"" ""Belarus',"" and ""Russian Orthodox Church.""

Not Weaponised. The changes appear to enhance the informational content of the article without introducing any language that could be interpreted as weaponizing cultural heritage.",Not Weaponised
"The ''baptism of Kyiv'' occured in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', Kyiv, to the Dnipr River for baptism. This mass baptism became the iconic inaugural event in the Christianization of the state of Kievan Rus'. This baptism made Eastern Christianity the state religion of Rus', and marked the beginning of the Ukrainian apostolic churches, Greek Catholic/Greek Orthodox, and eventually led to the Christianization of Belarus' and Russia.","--- 
+++ 
@@ -1,4 +1,4 @@
-The '''baptism of Kiev''' occurred in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', [[Kiev]], to the [[Dnipro]] River for [[baptism]]. This mass baptism became the [[icon]]ic inaugural event in the Christianization of the state of [[Kievan Rus']]. This baptism made [[Eastern Orthodoxy]] the state religion of Rus', and marked the beginning of the [[Ukrainian]] apostolic churches, [[Greek Catholic]]/Greek [[Ukrainian Orthodox Church]], and eventually led to the Christianization of [[Belarus']] and [[Russia]].
+The '''baptism of Kiev''' occurred in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', [[Kiev]], to the [[Dnipro]] River for [[baptism]]. This mass baptism became the [[icon]]ic inaugural event in the Christianization of the state of [[Kievan Rus']]. This baptism made [[Eastern Orthodoxy]] the state religion of Rus', and marked the beginning of the [[Ukrainian]] apostolic churches, [[Greek Catholic]]/Greek [[Ukrainian Orthodox Church]], and eventually led to the Christianization of [[Belarus]] and [[Russia]].
 
 ===Related topics===
 ",,Michael Hardy,2004-05-18T00:57:11Z,"Removed the apostrophe from ""Belarus'"" to ""Belarus"".

Not Weaponised. The change is a minor grammatical correction that does not alter the meaning or introduce any weaponised narratives.",Not Weaponised
"The ''baptism of Kyiv'' occured in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', Kyiv, to the Dnipr River for baptism. This mass baptism became the iconic inaugural event in the Christianization of the state of Kievan Rus'. This baptism made Eastern Christianity the state religion of Rus', and marked the beginning of the Ukrainian apostolic churches, Greek Catholic/Greek Orthodox, and eventually led to the Christianization of Belarus' and Russia.","--- 
+++ 
@@ -1,5 +1,4 @@
-The '''baptism of Kiev''' occurred in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', [[Kiev]], to the [[Dnipro]] River for [[baptism]]. This mass baptism became the iconic inaugural event in the Christianization of the state of [[Kievan Rus']]. This baptism made [[Eastern Christianity]] the state religion of Rus', and marked the beginning of the [[Ukrainian]] apostolic churches, [[Greek Catholic]]/Greek [[Ukrainian Orthodox Church]], and eventually led to the Christianization of [[Belarus']] and [[Russia]].
-
+The '''baptism of Kiev''' occurred in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', [[Kiev]], to the [[Dnipro]] River for [[baptism]]. This mass baptism became the [[icon]]ic inaugural event in the Christianization of the state of [[Kievan Rus']]. This baptism made [[Eastern Christianity]] the state religion of Rus', and marked the beginning of the [[Ukrainian]] apostolic churches, [[Greek Catholic]]/Greek [[Ukrainian Orthodox Church]], and eventually led to the Christianization of [[Belarus']] and [[Russia]].
 
 ===Related topics===
 ",,Michael Hardy,2004-05-18T00:55:46Z,"Changed ""iconic"" to ""icon"" in the phrase ""the iconic inaugural event"" to ""the icon inaugural event"".

Not Weaponised. The change is a minor linguistic adjustment that does not alter the meaning or introduce any weaponised narratives related to cultural heritage.",Not Weaponised
"The ''baptism of Kyiv'' occured in 988, when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', Kyiv, to the Dnipr River for baptism. This mass baptism became the iconic inaugural event in the Christianization of the state of Kievan Rus'. This baptism made Eastern Christianity the state religion of Rus', and marked the beginning of the Ukrainian apostolic churches, Greek Catholic/Greek Orthodox, and eventually led to the Christianization of Belarus' and Russia.","--- 
+++ 
@@ -1,4 +1,4 @@
-The '''baptism of Kiev''' occurred in [[988]], when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', [[Kiev]], to the [[Dnipro]] River for [[baptism]]. This mass baptism became the [[icon]]ic inaugural event in the Christianization of the state of [[Kievan Rus']]. This baptism made [[Eastern Christianity]], under the Patriarchate of Constantinople the state religion of Rus', and marked the beginning of the [[Ukrainian]] apostolic churches, [[Greek Catholic]]/Greek [[Ukrainian Orthodox Church]], and eventually led to the Christianization of [[Belarus]] and [[Russia]].
+The '''baptism of Kiev''' occurred in [[988]], when the Prince of Rus', [[Vladimir I]], exhorted the residents of the capital city of Rus', [[Kiev]], to the [[Dnipro]] River for [[baptism]]. This mass baptism became the [[icon]]ic inaugural event in the Christianization of the state of [[Kievan Rus']]. This baptism made [[Eastern Christianity]], under the Patriarchate of Constantinople the state religion of Rus', and marked the beginning of the [[Ukrainian]] apostolic churches, [[Ukrainian Greek Catholic]]/Greek [[Ukrainian Orthodox Church]], and eventually led to the Christianization of [[Belarus]] and [[Russia]].
 
 ===Related topics===
 
@@ -9,3 +9,4 @@
 *[[Eastern Catholic]]
 
 [[Category:Eastern Orthodoxy]]
+[[Category:Ukrainian history]]",[[Category:Ukrainian history]],Mzajac,2004-10-06T17:32:00Z,"Changed the term ""Greek Catholic"" to ""Ukrainian Greek Catholic"" and added the category ""[[Category:Ukrainian history]]"".

Not Weaponised – The changes appear to clarify the specific denomination and categorize the article without introducing any contentious or weaponised language.",Not Weaponised
