initial_version,changed_version,comment,user,date,llm_output,weaponised
"'''''Encyclopedia of Ukraine''''' - encyclopedia covering wide range of issues
on [[Ukraine]], including its history, people, geography, economy, culture etc. The resource is created and run by the Canadian Institute of Ukrainian Studies at the [[University of Alberta]] and the Shevchenko Scientific Society (Sarcelles, [[France]]).<ref>[http://www.ualberta.ca/CIUS/ CIUS Page]</ref><ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

The Encyclopedia has the online and printed variants. Its published edition consists of five volumes, almost 4,000 pages and some 12,500 alphabetical entries. 

It was called as ""the most comprehensive and balanced work in the English language on Ukraine and Ukrainians in the diaspora"" and a ""monumental publication"" by the [[Canadian Journal of History]].<ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

==References==
{{Reflist}}

==External links==
*[http://www.encyclopediaofukraine.com/ Encyclopedia of Ukraine online page]
{{Ukraine-stub}}

[[Category: Online encyclopedias]]","--- 
+++ 
@@ -30,6 +30,7 @@
 [[Category:Ukrainian encyclopedias]]
 [[Category:University of Toronto Press books]]
 [[Category:University of Alberta]]
+[[Category:Ukrainian studies]]
 
 
 {{Ukraine-stub}}",added [[Category:Ukrainian studies]] using [[WP:HC|HotCat]],Sanya3,2011-08-13T04:05:24Z,"Added ""Category:Ukrainian studies"".

Not Weaponised – The change is a categorization addition that does not contain any language or narratives that could be interpreted as weaponizing cultural heritage.",Not Weaponised
"'''''Encyclopedia of Ukraine''''' - encyclopedia covering wide range of issues
on [[Ukraine]], including its history, people, geography, economy, culture etc. The resource is created and run by the Canadian Institute of Ukrainian Studies at the [[University of Alberta]] and the Shevchenko Scientific Society (Sarcelles, [[France]]).<ref>[http://www.ualberta.ca/CIUS/ CIUS Page]</ref><ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

The Encyclopedia has the online and printed variants. Its published edition consists of five volumes, almost 4,000 pages and some 12,500 alphabetical entries. 

It was called as ""the most comprehensive and balanced work in the English language on Ukraine and Ukrainians in the diaspora"" and a ""monumental publication"" by the [[Canadian Journal of History]].<ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

==References==
{{Reflist}}

==External links==
*[http://www.encyclopediaofukraine.com/ Encyclopedia of Ukraine online page]
{{Ukraine-stub}}

[[Category: Online encyclopedias]]",Initial revision,"[[WP:AES|←]]Created page with ''''''Encyclopedia of Ukraine''''' - encyclopedia covering wide range of issues on [[Ukraine]], including its history, people, geography, economy, culture etc. The r...'",Ans-mo,2007-10-27T08:37:33Z,"Added a new page titled ""Encyclopedia of Ukraine"" covering various aspects of Ukraine.

Not Weaponised – The change is neutral and simply introduces a new resource without any loaded language or narratives that could be seen as weaponising cultural heritage.",Not Weaponised
"'''''Encyclopedia of Ukraine''''' - encyclopedia covering wide range of issues
on [[Ukraine]], including its history, people, geography, economy, culture etc. The resource is created and run by the Canadian Institute of Ukrainian Studies at the [[University of Alberta]] and the Shevchenko Scientific Society (Sarcelles, [[France]]).<ref>[http://www.ualberta.ca/CIUS/ CIUS Page]</ref><ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

The Encyclopedia has the online and printed variants. Its published edition consists of five volumes, almost 4,000 pages and some 12,500 alphabetical entries. 

It was called as ""the most comprehensive and balanced work in the English language on Ukraine and Ukrainians in the diaspora"" and a ""monumental publication"" by the [[Canadian Journal of History]].<ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

==References==
{{Reflist}}

==External links==
*[http://www.encyclopediaofukraine.com/ Encyclopedia of Ukraine online page]
{{Ukraine-stub}}

[[Category: Online encyclopedias]]","--- 
+++ 
@@ -29,6 +29,8 @@
 
 [[Category: Online encyclopedias]]
 [[Category:Ukrainian encyclopedias]]
+[[Category:University of Toronto Press books]]
+[[Category:University of Alberta]]
 
 [[pl:Encyclopedia of Ukraine]]
 [[ru:Энциклопедия украиноведения]]",+[[Category:University of Toronto Press books]]; +[[Category:University of Alberta]] using [[WP:HC|HotCat]],Good Olfactory,2011-02-13T22:38:32Z,"Added two categories: ""University of Toronto Press books"" and ""University of Alberta"".

Not Weaponised. The changes are administrative in nature, focusing on categorization without any cultural or political implications.",Not Weaponised
"'''''Encyclopedia of Ukraine''''' - encyclopedia covering wide range of issues
on [[Ukraine]], including its history, people, geography, economy, culture etc. The resource is created and run by the Canadian Institute of Ukrainian Studies at the [[University of Alberta]] and the Shevchenko Scientific Society (Sarcelles, [[France]]).<ref>[http://www.ualberta.ca/CIUS/ CIUS Page]</ref><ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

The Encyclopedia has the online and printed variants. Its published edition consists of five volumes, almost 4,000 pages and some 12,500 alphabetical entries. 

It was called as ""the most comprehensive and balanced work in the English language on Ukraine and Ukrainians in the diaspora"" and a ""monumental publication"" by the [[Canadian Journal of History]].<ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

==References==
{{Reflist}}

==External links==
*[http://www.encyclopediaofukraine.com/ Encyclopedia of Ukraine online page]
{{Ukraine-stub}}

[[Category: Online encyclopedias]]","--- 
+++ 
@@ -1,8 +1,9 @@
-The '''Encyclopedia of Ukraine''' is an English language, free, online encyclopedia covering wide range of issues on [[Ukraine]], including its history, people, geography, economy, culture, etc. 
+{{Italic title}}
+The '''''Encyclopedia of Ukraine''''' is an English language, free, online encyclopedia covering wide range of issues on [[Ukraine]], including its history, people, geography, economy, culture, etc. 
 
 The resource is created and run by the Canadian Institute of Ukrainian Studies at the [[University of Alberta]] and the Shevchenko Scientific Society (Sarcelles, [[France]]) <ref>[http://www.ualberta.ca/CIUS/ CIUS Page]</ref><ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref> (1984–93) and published by the [[University of Toronto Press]].
 
-The Encyclopedia has online and print variants. Its published edition consists of five volumes, almost 4,000 pages and some 12,500 alphabetical entries. 
+The Encyclopedia has print and online variants. Its published edition consists of five volumes, almost 4,000 pages and some 12,500 alphabetical entries. 
 
 It was called as ""the most comprehensive and balanced work in the English language on Ukraine and Ukrainians in the diaspora"" and a ""monumental publication"" by the ''[[Canadian Journal of History]]''.<ref name=""cfus""/>
 ",It is a printed book,Varlaam,2012-02-15T16:29:07Z,"Changed the formatting of the title to italic and rephrased ""online and print variants"" to ""print and online variants"".

Not Weaponised. The changes are primarily formatting and do not introduce any weaponised language or narratives related to cultural heritage.",Not Weaponised
"'''''Encyclopedia of Ukraine''''' - encyclopedia covering wide range of issues
on [[Ukraine]], including its history, people, geography, economy, culture etc. The resource is created and run by the Canadian Institute of Ukrainian Studies at the [[University of Alberta]] and the Shevchenko Scientific Society (Sarcelles, [[France]]).<ref>[http://www.ualberta.ca/CIUS/ CIUS Page]</ref><ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

The Encyclopedia has the online and printed variants. Its published edition consists of five volumes, almost 4,000 pages and some 12,500 alphabetical entries. 

It was called as ""the most comprehensive and balanced work in the English language on Ukraine and Ukrainians in the diaspora"" and a ""monumental publication"" by the [[Canadian Journal of History]].<ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

==References==
{{Reflist}}

==External links==
*[http://www.encyclopediaofukraine.com/ Encyclopedia of Ukraine online page]
{{Ukraine-stub}}

[[Category: Online encyclopedias]]","--- 
+++ 
@@ -18,7 +18,9 @@
 The current Encyclopedia team consists of Roman Senkus, Managing Editor, Dr. Marko R. Stech, Project Manager, Andrij Makuch, Senior Manuscript Editor, Mark Andryczyk, Editorial Assistant, and a team of subject editors. This site was designed by Jaroslaw Kiebalo; Walter Kiebalo acted as consulting designer. Maps were scanned and edited by Bohdan Skrobach and Jaroslaw Kiebalo.
 
 ==See also==
-*[[List of online encyclopedias]]
+* [[Encyclopedia of Modern Ukraine]]  
+* [[Ukrainian Soviet Encyclopedia]]
+* [[List of online encyclopedias]]
 
 ==References==
 {{Reflist}}",/* See also */,Sanya3,2011-08-13T04:56:25Z,"Added references to ""Encyclopedia of Modern Ukraine"" and ""Ukrainian Soviet Encyclopedia"".

Not Weaponised. The changes are neutral additions of references that do not contain any loaded language or narratives that could be considered weaponisation of cultural heritage.",Not Weaponised
"'''''Encyclopedia of Ukraine''''' - encyclopedia covering wide range of issues
on [[Ukraine]], including its history, people, geography, economy, culture etc. The resource is created and run by the Canadian Institute of Ukrainian Studies at the [[University of Alberta]] and the Shevchenko Scientific Society (Sarcelles, [[France]]).<ref>[http://www.ualberta.ca/CIUS/ CIUS Page]</ref><ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

The Encyclopedia has the online and printed variants. Its published edition consists of five volumes, almost 4,000 pages and some 12,500 alphabetical entries. 

It was called as ""the most comprehensive and balanced work in the English language on Ukraine and Ukrainians in the diaspora"" and a ""monumental publication"" by the [[Canadian Journal of History]].<ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

==References==
{{Reflist}}

==External links==
*[http://www.encyclopediaofukraine.com/ Encyclopedia of Ukraine online page]
{{Ukraine-stub}}

[[Category: Online encyclopedias]]","--- 
+++ 
@@ -10,7 +10,7 @@
 [[Volodymyr Kubiyovych]] was the editor-in-chief of Volumes I and II (published in 1984 and 1988 respectively). The concluding three volumes, with Danylo Husar Struk as editor-in-chief, appeared in 1993.<ref name=""cfus""/>
 
 ==The Internet Encyclopedia of Ukraine==
-The Internet Encyclopedia of Ukraine is a work in progress. Many new entries need to be added, and many of the existing entries need to be expanded and updated in order to reflect the many changes that have occurred and continue to occur in Ukraine and the rest of eastern Europe and in order to incorporate previously inaccessible information. The editorial staff and subject editors will be collecting and processing information systematically from a variety of sources and providing it to the international public in the form of a reliable, constantly revised and updated Internet publication. 
+The ''[[Internet Encyclopedia of Ukraine]]'' is a work in progress. Many new entries need to be added, and many of the existing entries need to be expanded and updated in order to reflect the many changes that have occurred and continue to occur in Ukraine and the rest of eastern Europe and in order to incorporate previously inaccessible information. The editorial staff and subject editors will be collecting and processing information systematically from a variety of sources and providing it to the international public in the form of a reliable, constantly revised and updated Internet publication. 
 
 The Internet Encyclopedia of Ukraine is an ambitious and costly undertaking whose goal is to produce and maintain the best and most authoritative electronic source of information in English about Ukraine. 
 ",/* The Internet Encyclopedia of Ukraine */,128.100.82.135,2012-06-05T19:49:23Z,"Changed the formatting of ""Internet Encyclopedia of Ukraine"" to italicized text.

Not Weaponised. The change is purely stylistic and does not introduce any weaponised language or narratives related to cultural heritage.",Not Weaponised
"'''''Encyclopedia of Ukraine''''' - encyclopedia covering wide range of issues
on [[Ukraine]], including its history, people, geography, economy, culture etc. The resource is created and run by the Canadian Institute of Ukrainian Studies at the [[University of Alberta]] and the Shevchenko Scientific Society (Sarcelles, [[France]]).<ref>[http://www.ualberta.ca/CIUS/ CIUS Page]</ref><ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

The Encyclopedia has the online and printed variants. Its published edition consists of five volumes, almost 4,000 pages and some 12,500 alphabetical entries. 

It was called as ""the most comprehensive and balanced work in the English language on Ukraine and Ukrainians in the diaspora"" and a ""monumental publication"" by the [[Canadian Journal of History]].<ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

==References==
{{Reflist}}

==External links==
*[http://www.encyclopediaofukraine.com/ Encyclopedia of Ukraine online page]
{{Ukraine-stub}}

[[Category: Online encyclopedias]]","--- 
+++ 
@@ -11,7 +11,7 @@
 
 ==The Internet Encyclopedia of Ukraine==
 
-The Internet Encyclopedia of Ukraine is a work in progress. Many new entries need to be added, and many of the existing entries need to be expanded and updated in order to reflect the many changes that have occurred and continue to occur in Ukraine and Eastern Europe and in order to incorporate previously inaccessible information. The editorial staff and subject editors will be collecting and processing information systematically from a variety of sources and providing it to the international public in the form of a reliable, constantly revised and updated Internet publication. 
+The Internet Encyclopedia of Ukraine is a work in progress. Many new entries need to be added, and many of the existing entries need to be expanded and updated in order to reflect the many changes that have occurred and continue to occur in Ukraine and the rest of eastern Europe and in order to incorporate previously inaccessible information. The editorial staff and subject editors will be collecting and processing information systematically from a variety of sources and providing it to the international public in the form of a reliable, constantly revised and updated Internet publication. 
 
 The Internet Encyclopedia of Ukraine is an ambitious and costly undertaking whose goal is to produce and maintain the best and most authoritative electronic source of information in English about Ukraine. 
 ",/* The Internet Encyclopedia of Ukraine */,24.186.170.167,2008-05-26T21:05:47Z,"Changed ""Eastern Europe"" to ""the rest of eastern Europe"".

Not Weaponised. The change is a minor grammatical adjustment that does not introduce any weaponised language or narratives related to cultural heritage.",Not Weaponised
"'''''Encyclopedia of Ukraine''''' - encyclopedia covering wide range of issues
on [[Ukraine]], including its history, people, geography, economy, culture etc. The resource is created and run by the Canadian Institute of Ukrainian Studies at the [[University of Alberta]] and the Shevchenko Scientific Society (Sarcelles, [[France]]).<ref>[http://www.ualberta.ca/CIUS/ CIUS Page]</ref><ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

The Encyclopedia has the online and printed variants. Its published edition consists of five volumes, almost 4,000 pages and some 12,500 alphabetical entries. 

It was called as ""the most comprehensive and balanced work in the English language on Ukraine and Ukrainians in the diaspora"" and a ""monumental publication"" by the [[Canadian Journal of History]].<ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

==References==
{{Reflist}}

==External links==
*[http://www.encyclopediaofukraine.com/ Encyclopedia of Ukraine online page]
{{Ukraine-stub}}

[[Category: Online encyclopedias]]","--- 
+++ 
@@ -4,6 +4,9 @@
 The Encyclopedia has the online and printed variants. Its published edition consists of five volumes, almost 4,000 pages and some 12,500 alphabetical entries. 
 
 It was called as ""the most comprehensive and balanced work in the English language on Ukraine and Ukrainians in the diaspora"" and a ""monumental publication"" by the [[Canadian Journal of History]].<ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>
+
+[[Volodymyr Kubiyovych]] was the editor-in-chief of Volumes I and II (published in 1984 and 1988 respectively). The concluding three volumes with Danylo Husar Struk as editor-in-chief, appeared in 1993.<ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>
+
 
 ==References==
 {{Reflist}}",adding info on Kubiyovych,Ans-mo,2007-10-28T06:31:06Z,"Added information about Volodymyr Kubiyovych as the editor-in-chief of certain volumes.

Not Weaponised. The addition of factual information about an editor does not contain language that weaponizes cultural heritage or promotes a specific narrative.",Not Weaponised
"'''''Encyclopedia of Ukraine''''' - encyclopedia covering wide range of issues
on [[Ukraine]], including its history, people, geography, economy, culture etc. The resource is created and run by the Canadian Institute of Ukrainian Studies at the [[University of Alberta]] and the Shevchenko Scientific Society (Sarcelles, [[France]]).<ref>[http://www.ualberta.ca/CIUS/ CIUS Page]</ref><ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

The Encyclopedia has the online and printed variants. Its published edition consists of five volumes, almost 4,000 pages and some 12,500 alphabetical entries. 

It was called as ""the most comprehensive and balanced work in the English language on Ukraine and Ukrainians in the diaspora"" and a ""monumental publication"" by the [[Canadian Journal of History]].<ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

==References==
{{Reflist}}

==External links==
*[http://www.encyclopediaofukraine.com/ Encyclopedia of Ukraine online page]
{{Ukraine-stub}}

[[Category: Online encyclopedias]]","--- 
+++ 
@@ -1,16 +1,14 @@
-The '''Encyclopedia of Ukraine''' is an English language, free, online encyclopedia covering wide range of issues
-on [[Ukraine]], including its history, people, geography, economy, culture etc. 
+The '''Encyclopedia of Ukraine''' is an English language, free, online encyclopedia covering wide range of issues on [[Ukraine]], including its history, people, geography, economy, culture, etc. 
 
-The resource is created and run by the Canadian Institute of Ukrainian Studies at the [[University of Alberta]] and the Shevchenko Scientific Society (Sarcelles, [[France]]).<ref>[http://www.ualberta.ca/CIUS/ CIUS Page]</ref><ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref> (1984–93) and published by the University of Toronto Press.
+The resource is created and run by the Canadian Institute of Ukrainian Studies at the [[University of Alberta]] and the Shevchenko Scientific Society (Sarcelles, [[France]]) <ref>[http://www.ualberta.ca/CIUS/ CIUS Page]</ref><ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref> (1984–93) and published by the [[University of Toronto Press]].
 
-The Encyclopedia has the online and printed variants. Its published edition consists of five volumes, almost 4,000 pages and some 12,500 alphabetical entries. 
+The Encyclopedia has online and print variants. Its published edition consists of five volumes, almost 4,000 pages and some 12,500 alphabetical entries. 
 
-It was called as ""the most comprehensive and balanced work in the English language on Ukraine and Ukrainians in the diaspora"" and a ""monumental publication"" by the [[Canadian Journal of History]].<ref name=""cfus""/>
+It was called as ""the most comprehensive and balanced work in the English language on Ukraine and Ukrainians in the diaspora"" and a ""monumental publication"" by the ''[[Canadian Journal of History]]''.<ref name=""cfus""/>
 
-[[Volodymyr Kubiyovych]] was the editor-in-chief of Volumes I and II (published in 1984 and 1988 respectively). The concluding three volumes with Danylo Husar Struk as editor-in-chief, appeared in 1993.<ref name=""cfus""/>
+[[Volodymyr Kubiyovych]] was the editor-in-chief of Volumes I and II (published in 1984 and 1988 respectively). The concluding three volumes, with Danylo Husar Struk as editor-in-chief, appeared in 1993.<ref name=""cfus""/>
 
 ==The Internet Encyclopedia of Ukraine==
-
 The Internet Encyclopedia of Ukraine is a work in progress. Many new entries need to be added, and many of the existing entries need to be expanded and updated in order to reflect the many changes that have occurred and continue to occur in Ukraine and the rest of eastern Europe and in order to incorporate previously inaccessible information. The editorial staff and subject editors will be collecting and processing information systematically from a variety of sources and providing it to the international public in the form of a reliable, constantly revised and updated Internet publication. 
 
 The Internet Encyclopedia of Ukraine is an ambitious and costly undertaking whose goal is to produce and maintain the best and most authoritative electronic source of information in English about Ukraine. 
@@ -34,7 +32,6 @@
 [[Category:University of Alberta]]
 [[Category:Ukrainian studies]]
 
-
 {{Ukraine-stub}}
 
 [[pl:Encyclopedia of Ukraine]]",Some cleanup,Varlaam,2012-02-15T16:27:44Z,"Removed a line break and rephrased some sentences for clarity and conciseness.

Not Weaponised – The changes made are primarily grammatical and structural, with no introduction of weaponised language or narratives related to cultural heritage.",Not Weaponised
"'''''Encyclopedia of Ukraine''''' - encyclopedia covering wide range of issues
on [[Ukraine]], including its history, people, geography, economy, culture etc. The resource is created and run by the Canadian Institute of Ukrainian Studies at the [[University of Alberta]] and the Shevchenko Scientific Society (Sarcelles, [[France]]).<ref>[http://www.ualberta.ca/CIUS/ CIUS Page]</ref><ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

The Encyclopedia has the online and printed variants. Its published edition consists of five volumes, almost 4,000 pages and some 12,500 alphabetical entries. 

It was called as ""the most comprehensive and balanced work in the English language on Ukraine and Ukrainians in the diaspora"" and a ""monumental publication"" by the [[Canadian Journal of History]].<ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>

==References==
{{Reflist}}

==External links==
*[http://www.encyclopediaofukraine.com/ Encyclopedia of Ukraine online page]
{{Ukraine-stub}}

[[Category: Online encyclopedias]]","--- 
+++ 
@@ -1,5 +1,7 @@
 '''''Encyclopedia of Ukraine''''' - encyclopedia covering wide range of issues
-on [[Ukraine]], including its history, people, geography, economy, culture etc. The resource is created and run by the Canadian Institute of Ukrainian Studies at the [[University of Alberta]] and the Shevchenko Scientific Society (Sarcelles, [[France]]).<ref>[http://www.ualberta.ca/CIUS/ CIUS Page]</ref><ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>
+on [[Ukraine]], including its history, people, geography, economy, culture etc. 
+
+The resource is created and run by the Canadian Institute of Ukrainian Studies at the [[University of Alberta]] and the Shevchenko Scientific Society (Sarcelles, [[France]]).<ref>[http://www.ualberta.ca/CIUS/ CIUS Page]</ref><ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref> (1984-93) and published by the University of Toronto Press.
 
 The Encyclopedia has the online and printed variants. Its published edition consists of five volumes, almost 4,000 pages and some 12,500 alphabetical entries. 
 
@@ -7,6 +9,13 @@
 
 [[Volodymyr Kubiyovych]] was the editor-in-chief of Volumes I and II (published in 1984 and 1988 respectively). The concluding three volumes with Danylo Husar Struk as editor-in-chief, appeared in 1993.<ref name=""cfus"">[http://www.cfus.ca/encyclopedia.html Canadian Foundation of Ukrainian Studies]</ref>
 
+==The Internet Encyclopedia of Ukraine==
+
+The Internet Encyclopedia of Ukraine is a work in progress. Many new entries need to be added, and many of the existing entries need to be expanded and updated in order to reflect the many changes that have occurred and continue to occur in Ukraine and Eastern Europe and in order to incorporate previously inaccessible information. The editorial staff and subject editors will be collecting and processing information systematically from a variety of sources and providing it to the international public in the form of a reliable, constantly revised and updated Internet publication. 
+
+The Internet Encyclopedia of Ukraine is an ambitious and costly undertaking whose goal is to produce and maintain the best and most authoritative electronic source of information in English about Ukraine. 
+
+The current Encyclopedia team consists of Roman Senkus, Managing Editor, Dr. Marko R. Stech, Project Manager, Andrij Makuch, Senior Manuscript Editor, Mark Andryczyk, Editorial Assistant, and a team of subject editors. This site was designed by Jaroslaw Kiebalo; Walter Kiebalo acted as consulting designer. Maps were scanned and edited by Bohdan Skrobach and Jaroslaw Kiebalo.
 
 ==References==
 {{Reflist}}",Additions from site,Bandurist,2007-11-27T20:02:16Z,"The change made is the addition of several sentences that provide more information about the ""Internet Encyclopedia of Ukraine,"" including its purpose, goals, and the editorial team involved in its creation.

Weaponised: Not Weaponised. The additions focus on the informational aspect of the encyclopedia without employing any politically charged language or narratives that could be seen as weaponising cultural heritage.",Weaponised
