initial_version,changed_version,comment,user,date,llm_output,weaponised
#REDIRECT [[Human rights in Ukraine#Situation]],"--- 
+++ 
@@ -75,8 +75,6 @@
 ! 3 March
 | '''[[Yuriy Chechyk]]''', director of [[Radio Yuta]] in [[Poltava]], died under suspicious circumstances in a car crash. He was on the way to meet with executives of [[Radio Liberty]]'s Ukrainian Service, which is often critical of the [[Ukrainian government]], to hold talks on rebroadcasting the station's programmes on the more accessible FM band.<ref name=""killed"" /> 
 |}
-</div>
-
 
 ==See also==
 *[[Television in Ukraine]]",/* Timeline of reporters killed in Ukraine */ fixed space,Yulia Romero,2010-08-25T21:41:29Z,"Removed two lines of text related to the formatting of the article.

Not Weaponised – The change is purely structural and does not introduce or alter any content that could be interpreted as weaponising cultural heritage.",Not Weaponised
#REDIRECT [[Human rights in Ukraine#Situation]],"--- 
+++ 
@@ -16,3 +16,6 @@
 ==See also==
 *[[Television in Ukraine]]
 *[[List of newspapers in Ukraine]]
+
+==References==
+{{reflist}}",/* See also */ + reflist,Yulia Romero,2010-08-25T21:31:34Z,"Added a ""References"" section with a reflist template.

Not Weaponised. The change is a structural addition to the article and does not contain any language or terms that could be interpreted as weaponising cultural heritage.",Not Weaponised
#REDIRECT [[Human rights in Ukraine#Situation]],"--- 
+++ 
@@ -5,9 +5,11 @@
 Ukraine's ranking in [[Reporters Without Borders]]´s [[Press Freedom Index]] has in the latest years been around the 90th spot (89 in 2009<ref>[http://www.rsf.org/en-classement1003-2009.html Press Freedom Index 2009], [[Reporters Without Borders]]</ref>, 87 in 2008<ref>[http://www.rsf.org/en-classement794-2008.html Press Freedom Index 2008], [[Reporters Without Borders]]</ref>), while it occupied the 112th spot in 2002<ref>[http://www.rsf.org/en-classement298-2002.html Press Freedom Index 2002], [[Reporters Without Borders]]</ref> and even the 132th spot in 2004<ref>[http://www.rsf.org/en-classement450-2004.html Press Freedom Index 2004], [[Reporters Without Borders]]</ref>.
 
 ==History==
-The report [[Freedom in the World (report)|Freedom in the World]] rated Ukraine ""partly free"" since 1992<ref name=Kuchma/> till 2003, when it was rated ""not free"".<ref>[http://www.freedomhouse.org/template.cfm?page=251&year=2003 Map of Press Freedom 2004], [[Freedom House]]</ref> Since 2005 it is rated ""partly free"" again.<ref>[http://www.freedomhouse.org/template.cfm?page=251&year=2009 Map of Press Freedom 2009], [[Freedom House]]</ref>
+The report [[Freedom in the World (report)|Freedom in the World]] (by [[Freedom House]]) rated Ukraine ""partly free"" since 1992<ref name=Kuchma/> till 2003, when it was rated ""not free"".<ref>[http://www.freedomhouse.org/template.cfm?page=251&year=2003 Map of Press Freedom 2004], [[Freedom House]]</ref> Since 2005 it is rated ""partly free"" again.<ref>[http://www.freedomhouse.org/template.cfm?page=251&year=2009 Map of Press Freedom 2009], [[Freedom House]]</ref>
 
 In 1999 the [[Committee to Protect Journalists]] placed [[Ukrainian President]] [[Kuchma]] on the list of worst enemy's of the press.<ref name=Kuchma>[http://books.google.com/books?id=R6v0RN-KUUgC&pg=PA397&dq=press+freedom+Ukraine&hl=nl&ei=2pJ1TNfJGYuoOPH0rccG&sa=X&oi=book_result&ct=result&resnum=5&ved=0CEoQ6AEwBA#v=onepage&q=press%20freedom%20Ukraine&f=false Nations in Transit 2000-2001] by [[Adrian Karatnycky]], [[Alexander Motyl]], and [[Amanda Schnetzer]], [[Transaction Publishers]], 2001, ISBN-10: 0765808978/ISBN-13: 978-0765808974 (page 397)</ref> During his presidency several news-outlets critical to the him were forcefully closed.<ref name=Kuchma/>
+
+Freedom House stated in 2007 that Ukraine had the freest press of all [[post-Soviet states]] and had had achieved a level of freedom previously unthinkable.<ref>[http://books.google.com/books?id=1CcQj3DjrHAC&pg=PA39&dq=press+freedom+Ukraine&hl=nl&ei=-Jd1TOTTJOGkOJzD5KwG&sa=X&oi=book_result&ct=result&resnum=8&ved=0CFsQ6AEwBzge#v=onepage&q=press%20freedom%20Ukraine&f=false Ukraine (Country Guide)] by [[Sarah Johnstone]] and [[Greg Bloom]], [[Lonely Planet]], 2008, ISBN-10: 1741044812/ISBN-13: 978-1741044812 (page 39)</ref>
 
 ==Latest developments==
 In December 2009 during the [[Ukrainian presidential election, 2010|2010 Ukrainian presidential election]] campaign incumbent [[Prime Minister of Ukraine]] and presidential candidate<ref>[http://www.kyivpost.com/news/politics/detail/54511/ More women than men support Tymoshenko, poll shows], [[Kyiv Post]] (December 7, 2009)</ref> [[Yulia Tymoshenko]] complained Ukrainian TV channels are manipulating the consciousness of citizens in favor of financial and [[oligarchic]] groups.<ref>[http://www.kyivpost.com/news/nation/detail/54545/ Tymoshenko accuses central TV channels of manipulating people's consciousness in favor of oligarchs], [[Kyiv Post]] (December 8, 2009)</ref>",/* History */ good news!,Yulia Romero,2010-08-25T22:32:02Z,"Change: Added a statement about Freedom House's assessment of Ukraine's press freedom in 2007.

Weaponised: Not Weaponised. The addition provides factual information about press freedom without employing weaponisation terms or narratives that could be seen as politically charged or biased.",Weaponised
#REDIRECT [[Human rights in Ukraine#Situation]],"--- 
+++ 
@@ -19,3 +19,14 @@
 
 ==References==
 {{reflist}}
+
+{{Europe topic|Freedom of the press in}}
+
+{{DEFAULTSORT:Freedom Of The Press In Ukraine}}
+[[Category:Freedom of expression]]
+[[Category:Ukrainian media]]
+[[Category:Assassinated Ukrainian journalists| ]]
+[[Category:Crime in Ukraine|Murder victims]]
+[[Category:Ukrainian journalists| ]]
+[[Category:Human rights in Ukraine]]
+[[Category:Politics of Ukraine]]",/* References */ + cats,Yulia Romero,2010-08-25T21:36:00Z,"Added references related to freedom of the press in Ukraine and categories associated with Ukrainian media and journalists.

Not Weaponised. The changes focus on adding references and categories that pertain to freedom of expression and journalism in Ukraine, which do not contain weaponised language or narratives.",Not Weaponised
#REDIRECT [[Human rights in Ukraine#Situation]],"--- 
+++ 
@@ -1,4 +1,5 @@
 {{Underconstruction}}
+[[File:Reporters Without Borders 2009 Press Freedom Rankings Map.svg|400px|right|thumb|2009 [[Reporters Without Borders]] press freedom rankings]]
 In Ukraine’s provinces numerous, anonymous attacks<ref>[http://www.rsf.org/Local-newspaper-editor-badly,36900.html Local newspaper editor badly injured in assault], [[Reporters Without Borders]] (March 31, 2010)</ref> and threats persisted against journalists, who investigated or exposed corruption or other government misdeeds.<ref>[http://en.rsf.org/ukraine-disturbing-deterioration-in-press-15-04-2010,37027.html Disturbing deterioration in press freedom situation since new president took over], [[Reporters Without Borders]] (April 15, 2010)</ref><ref>[http://www.kyivpost.com/news/politics/detail/64793/ Media crackdown under way?], [[Kyiv Post]] (April 22, 2010)</ref> The US-based [[Committee to Protect Journalists]] concluded in 2007 that these attacks, and police reluctance in some cases to pursue the perpetrators, were “helping to foster an atmosphere of impunity against independent journalists.”<ref name=""hrw.org"">[http://hrw.org/englishwr2k7/docs/2007/01/11/ukrain14835.htm HRW]</ref><ref>[http://www.hrw.org/en/node/79345 HRW]</ref>
 
 Ukraine's ranking in [[Reporters Without Borders]]´s [[Press Freedom Index]] has in the latest years been around the 90th spot (89 in 2009<ref>[http://www.rsf.org/en-classement1003-2009.html Press Freedom Index 2009], [[Reporters Without Borders]]</ref>, 87 in 2008<ref>[http://www.rsf.org/en-classement794-2008.html Press Freedom Index 2008], [[Reporters Without Borders]]</ref>), while it occupied the 112th spot in 2002<ref>[http://www.rsf.org/en-classement298-2002.html Press Freedom Index 2002], [[Reporters Without Borders]]</ref> and even the 132th spot in 2004<ref>[http://www.rsf.org/en-classement450-2004.html Press Freedom Index 2004], [[Reporters Without Borders]]</ref>.
@@ -76,11 +77,12 @@
 | '''[[Yuriy Chechyk]]''', director of [[Radio Yuta]] in [[Poltava]], died under suspicious circumstances in a car crash. He was on the way to meet with executives of [[Radio Liberty]]'s Ukrainian Service, which is often critical of the [[Ukrainian government]], to hold talks on rebroadcasting the station's programmes on the more accessible FM band.<ref name=""killed"" /> 
 |}
 </div>
-
-
 ==See also==
 *[[Television in Ukraine]]
 *[[List of newspapers in Ukraine]]
+*[[Media of Ukraine]]
+*[[Telecommunications in Ukraine]]
+*[[Human rights in Ukraine]]
 
 ==References==
 {{reflist}}",+ pic and see alsos,Yulia Romero,2010-08-25T21:47:12Z,"Added a file reference and additional ""See also"" links.

Not Weaponised. The changes made are primarily structural, adding visual content and related topics without introducing any politically charged language or narratives that could be considered weaponisation of cultural heritage.",Not Weaponised
#REDIRECT [[Human rights in Ukraine#Situation]],"--- 
+++ 
@@ -1 +1 @@
-#REDIRECT [[Human rights in Ukraine#Situation]]
+#REDIRECT [[Human rights in Ukraine#Media Freedom and Freedom of Information]]",[[WP:AES|←]]Redirected page to [[Human rights in Ukraine#Media Freedom and Freedom of Information]],A.h. king,2010-06-22T16:48:30Z,"Changed the redirect from ""Human rights in Ukraine#Situation"" to ""Human rights in Ukraine#Media Freedom and Freedom of Information"".

Not Weaponised. The change is a technical edit related to the structure of the article and does not contain language that weaponizes cultural heritage or reflects a biased narrative.",Not Weaponised
#REDIRECT [[Human rights in Ukraine#Situation]],Initial revision,[[WP:AES|←]]Redirected page to [[Human rights in Ukraine#Situation]],Yulia Romero,2009-11-29T01:44:02Z,"Change: Redirected page to [[Human rights in Ukraine#Situation]].

Not Weaponised. The change appears to be a structural adjustment to the article rather than a shift in narrative or language that could be considered weaponisation of cultural heritage.",Not Weaponised
#REDIRECT [[Human rights in Ukraine#Situation]],"--- 
+++ 
@@ -53,7 +53,7 @@
 |-
 ! rowspan=""1"" | 2000
 ! 16 September
-| '''Georgiy Gongadze'''
+| '''[[Georgiy Gongadze]]''' co-founded a news website, Ukrayinska Pravda, killed in the [[Taraschanskyi Raion]] ([[Raion|district]]) after being kidnapped.
 |-
 ! rowspan=""2"" | 2001
 ! 24 June
@@ -79,6 +79,7 @@
 | '''[[Yuriy Chechyk]]''', director of [[Radio Yuta]] in [[Poltava]], died under suspicious circumstances in a car crash. He was on the way to meet with executives of [[Radio Liberty]]'s Ukrainian Service, which is often critical of the [[Ukrainian government]], to hold talks on rebroadcasting the station's programmes on the more accessible FM band.<ref name=""killed"" /> 
 |}
 </div>
+
 ==See also==
 *[[Television in Ukraine]]
 *[[List of newspapers in Ukraine]]",/* Timeline of reporters killed in Ukraine */ expand,Yulia Romero,2010-08-25T21:57:54Z,"Changed the description of Georgiy Gongadze to include his role in co-founding a news website and details about his death.

Not Weaponised. The change provides factual information about a journalist's background and circumstances of death without employing weaponised language or narratives.",Not Weaponised
#REDIRECT [[Human rights in Ukraine#Situation]],"--- 
+++ 
@@ -3,6 +3,9 @@
 In Ukraine’s provinces numerous, anonymous attacks<ref>[http://www.rsf.org/Local-newspaper-editor-badly,36900.html Local newspaper editor badly injured in assault], [[Reporters Without Borders]] (March 31, 2010)</ref> and threats persisted against journalists, who investigated or exposed corruption or other government misdeeds.<ref>[http://en.rsf.org/ukraine-disturbing-deterioration-in-press-15-04-2010,37027.html Disturbing deterioration in press freedom situation since new president took over], [[Reporters Without Borders]] (April 15, 2010)</ref><ref>[http://www.kyivpost.com/news/politics/detail/64793/ Media crackdown under way?], [[Kyiv Post]] (April 22, 2010)</ref> The US-based [[Committee to Protect Journalists]] concluded in 2007 that these attacks, and police reluctance in some cases to pursue the perpetrators, were “helping to foster an atmosphere of impunity against independent journalists.”<ref name=""hrw.org"">[http://hrw.org/englishwr2k7/docs/2007/01/11/ukrain14835.htm HRW]</ref><ref>[http://www.hrw.org/en/node/79345 HRW]</ref>
 
 Ukraine's ranking in [[Reporters Without Borders]]´s [[Press Freedom Index]] has in the latest years been around the 90th spot (89 in 2009<ref>[http://www.rsf.org/en-classement1003-2009.html Press Freedom Index 2009], [[Reporters Without Borders]]</ref>, 87 in 2008<ref>[http://www.rsf.org/en-classement794-2008.html Press Freedom Index 2008], [[Reporters Without Borders]]</ref>), while it occupied the 112th spot in 2002<ref>[http://www.rsf.org/en-classement298-2002.html Press Freedom Index 2002], [[Reporters Without Borders]]</ref> and even the 132th spot in 2004<ref>[http://www.rsf.org/en-classement450-2004.html Press Freedom Index 2004], [[Reporters Without Borders]]</ref>.
+
+==History==
+In 1999 the [[Committee to Protect Journalists]] placed [[Ukrainian President]] [[Kuchma]] on the list of worst enemy's of the press.<ref>[http://books.google.com/books?id=R6v0RN-KUUgC&pg=PA397&dq=press+freedom+Ukraine&hl=nl&ei=2pJ1TNfJGYuoOPH0rccG&sa=X&oi=book_result&ct=result&resnum=5&ved=0CEoQ6AEwBA#v=onepage&q=press%20freedom%20Ukraine&f=false Nations in Transit 2000-2001] by [[Adrian Karatnycky]], [[Alexander Motyl]], and [[Amanda Schnetzer]], [[Transaction Publishers]], 2001, ISBN-10: 0765808978/ISBN-13: 978-0765808974 (page 397)</ref>
 
 ==Latest developments==
 In December 2009 during the [[Ukrainian presidential election, 2010|2010 Ukrainian presidential election]] campaign incumbent [[Prime Minister of Ukraine]] and presidential candidate<ref>[http://www.kyivpost.com/news/politics/detail/54511/ More women than men support Tymoshenko, poll shows], [[Kyiv Post]] (December 7, 2009)</ref> [[Yulia Tymoshenko]] complained Ukrainian TV channels are manipulating the consciousness of citizens in favor of financial and [[oligarchic]] groups.<ref>[http://www.kyivpost.com/news/nation/detail/54545/ Tymoshenko accuses central TV channels of manipulating people's consciousness in favor of oligarchs], [[Kyiv Post]] (December 8, 2009)</ref>",+ history section,Yulia Romero,2010-08-25T22:07:19Z,"Added a ""History"" section detailing the placement of Ukrainian President Kuchma on a list of worst enemies of the press by the Committee to Protect Journalists in 1999.

Not Weaponised. The addition provides historical context regarding press freedom in Ukraine without employing weaponised language or narratives.",Not Weaponised
#REDIRECT [[Human rights in Ukraine#Situation]],"--- 
+++ 
@@ -75,6 +75,8 @@
 ! 3 March
 | '''[[Yuriy Chechyk]]''', director of [[Radio Yuta]] in [[Poltava]], died under suspicious circumstances in a car crash. He was on the way to meet with executives of [[Radio Liberty]]'s Ukrainian Service, which is often critical of the [[Ukrainian government]], to hold talks on rebroadcasting the station's programmes on the more accessible FM band.<ref name=""killed"" /> 
 |}
+</div>
+
 
 ==See also==
 *[[Television in Ukraine]]",Undid revision 380994421 by [[Special:Contributions/Mariah-Yulia|Mariah-Yulia]] ([[User talk:Mariah-Yulia|talk]]) --> created errosrs,Yulia Romero,2010-08-25T21:42:29Z,"Changed the content by adding a new section header ""See also"" and a link to ""Television in Ukraine"".

Not Weaponised – The change is a structural addition to the article without any loaded language or narratives that could be interpreted as weaponising cultural heritage.",Not Weaponised
