initial_version,changed_version,comment,user,date,llm_output,weaponised
"'''Evangelical Baptist Union of Ukraine''' (aka '''All-Ukrainian Union of Associations of Evangelical Christians Baptists'''; {{lang-ua|Всеукраїнський Союз об’єднань євангельських християн-баптистів}}) is the largest [[protestant]] union in [[Ukraine]]. 

According to the union, it is composed by over 2,800 churches and groups, with 150,000 conscious believers, and about 300,000 people that attend church services.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref>  According to the International Religious Freedom Report 2006 by the [[U.S. State Department]], there are possibly 500 thousand members of the union in more than 3 thousand churches.<ref>[http://www.state.gov/g/drl/rls/irf/2006/71415.htm International Religious Freedom Report 2006]</ref>

==External links==
*[http://www.ecbua.info/ Official website of the Baptist Union]

==References==
{{reflist}}

[[Category:Religion in Ukraine]]","--- 
+++ 
@@ -3,7 +3,7 @@
 
 
 ==History==
-The union was established in 1994 at the 22nd Convention of the ECB of Ukraine. Today, the union includes 3 [[seminary|seminaries]], 2 universities and 15 Bible colleges, and is estimated to have 150,000 conscious believers, and about 300,000 people that attend church services in more than 2,800 churches, with 3,160 clergy members.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref> The union is engaged in publishing activity and has an extended mass media network. The AUU AEB is governed by a council composed of senior presbyters (bishops) of regional associations headed by the president of the council. In 1990—2006 the council was headed by Hryhorii Komendant. From May 2006 it has been headed by Viacheslav Nesteruk. The union closely cooperates with Ukrainian Baptists in the diaspora. The AUU AEB is a member of the [[European Baptist Federation]] and the [[Baptist World Alliance]]. In addition, there are other associations of Baptists and Evangelical Christians, as well as individual communities and missions in Ukraine.
+The union was established in 1994 at the 22nd Convention of the ECB of Ukraine. Today, the union includes 3 [[seminary|seminaries]], 2 universities and 15 Bible colleges, and is estimated to have 150,000 conscious believers, and about 300,000 people that attend church services in more than 2,800 churches, with 3,160 [[clergy]] members.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref> The union is engaged in publishing activity and has an extended mass media network. The AUС EСB is governed by a council composed of senior presbyters (bishops) of regional associations headed by the president of the council. In 1990—2006 the council was headed by Hryhorii Komendant. From May 2006 it has been headed by Viacheslav Nesteruk. The union closely cooperates with Ukrainian Baptists in the diaspora. The AUС EСB is a member of the [[European Baptist Federation]] and the [[Baptist World Alliance]]. In addition, there are other associations of Baptists and Evangelical Christians, as well as individual communities and missions in Ukraine.
 
 ==External links==
 *[http://www.ecbua.info/ Official website of the Baptist Union]",/* History */,93.73.82.103,2011-01-08T08:54:04Z,"Changed ""clergy members"" to ""clergy"" and ""AUU AEB"" to ""AUС EСB"".

Not Weaponised. The changes appear to be minor edits for clarity and consistency in terminology without introducing any politically charged language or narratives.",Not Weaponised
"'''Evangelical Baptist Union of Ukraine''' (aka '''All-Ukrainian Union of Associations of Evangelical Christians Baptists'''; {{lang-ua|Всеукраїнський Союз об’єднань євангельських християн-баптистів}}) is the largest [[protestant]] union in [[Ukraine]]. 

According to the union, it is composed by over 2,800 churches and groups, with 150,000 conscious believers, and about 300,000 people that attend church services.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref>  According to the International Religious Freedom Report 2006 by the [[U.S. State Department]], there are possibly 500 thousand members of the union in more than 3 thousand churches.<ref>[http://www.state.gov/g/drl/rls/irf/2006/71415.htm International Religious Freedom Report 2006]</ref>

==External links==
*[http://www.ecbua.info/ Official website of the Baptist Union]

==References==
{{reflist}}

[[Category:Religion in Ukraine]]","--- 
+++ 
@@ -12,5 +12,6 @@
 {{reflist}}
 
 [[Category:Religion in Ukraine]]
+[[Category:Christianity in Ukraine]]
 
 [[ru:Всеукраинский союз церквей евангельских христиан-баптистов]]",,93.73.82.103,2011-01-08T08:56:53Z,"Added ""Christianity in Ukraine"" to the category list.

Not Weaponised. The change is a straightforward addition of a category and does not contain any language or narratives that could be interpreted as weaponizing cultural heritage.",Not Weaponised
"'''Evangelical Baptist Union of Ukraine''' (aka '''All-Ukrainian Union of Associations of Evangelical Christians Baptists'''; {{lang-ua|Всеукраїнський Союз об’єднань євангельських християн-баптистів}}) is the largest [[protestant]] union in [[Ukraine]]. 

According to the union, it is composed by over 2,800 churches and groups, with 150,000 conscious believers, and about 300,000 people that attend church services.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref>  According to the International Religious Freedom Report 2006 by the [[U.S. State Department]], there are possibly 500 thousand members of the union in more than 3 thousand churches.<ref>[http://www.state.gov/g/drl/rls/irf/2006/71415.htm International Religious Freedom Report 2006]</ref>

==External links==
*[http://www.ecbua.info/ Official website of the Baptist Union]

==References==
{{reflist}}

[[Category:Religion in Ukraine]]","--- 
+++ 
@@ -1,6 +1,6 @@
 '''Evangelical Baptist Union of Ukraine''' (aka '''All-Ukrainian Union of Churches of Evangelical Christian Baptists'''; {{lang-ua|Всеукраїнський союз церков євангельських християн-баптистів}}) is a union of [[Baptists in Ukraine]].  It is the largest [[protestant]] union in [[Ukraine]]. 
 
-According to the union, it is composed by over 2,800 churches and groups, with 150,000 conscious believers, and about 300,000 people that attend church services.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref>
+
 
 ==History==
 The union was established in 1994 at the 22nd Convention of the ECB of Ukraine. Today, the union includes 3 [[seminary|seminaries]], 2 universities and 15 Bible colleges, and is estimated to have 150,000 conscious believers, and about 300,000 people that attend church services in more than 2,800 churches, with 3,160 clergy members.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref> The union is engaged in publishing activity and has an extended mass media network. The AUU AEB is governed by a council composed of senior presbyters (bishops) of regional associations headed by the president of the council. In 1990—2006 the council was headed by Hryhorii Komendant. From May 2006 it has been headed by Viacheslav Nesteruk. The union closely cooperates with Ukrainian Baptists in the diaspora. The AUU AEB is a member of the [[European Baptist Federation]] and the [[Baptist World Alliance]]. In addition, there are other associations of Baptists and Evangelical Christians, as well as individual communities and missions in Ukraine.",,93.73.82.103,2011-01-08T08:35:31Z,"Changed the text to remove the specific numerical details about the composition of the union and restructured the sentence for clarity.

Not Weaponised. The changes appear to be focused on improving clarity and readability without introducing any politically charged language or narratives.",Not Weaponised
"'''Evangelical Baptist Union of Ukraine''' (aka '''All-Ukrainian Union of Associations of Evangelical Christians Baptists'''; {{lang-ua|Всеукраїнський Союз об’єднань євангельських християн-баптистів}}) is the largest [[protestant]] union in [[Ukraine]]. 

According to the union, it is composed by over 2,800 churches and groups, with 150,000 conscious believers, and about 300,000 people that attend church services.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref>  According to the International Religious Freedom Report 2006 by the [[U.S. State Department]], there are possibly 500 thousand members of the union in more than 3 thousand churches.<ref>[http://www.state.gov/g/drl/rls/irf/2006/71415.htm International Religious Freedom Report 2006]</ref>

==External links==
*[http://www.ecbua.info/ Official website of the Baptist Union]

==References==
{{reflist}}

[[Category:Religion in Ukraine]]","--- 
+++ 
@@ -1,4 +1,4 @@
-'''Evangelical Baptist Union of Ukraine''' (aka '''All-Ukrainian Union of Churches of Evangelical Christian Baptists AUC ECB'''; {{lang-ua|Всеукраїнський союз церков євангельських християн-баптистів}}) is a union of [[Baptists in Ukraine]].  It is the largest [[protestant]] union in [[Ukraine]]. 
+'''Evangelical Baptist Union of Ukraine''' aka '''All-Ukrainian Union of Churches of Evangelical Christian Baptists (AUC ECB)'''; {{lang-ua|Всеукраїнський союз церков євангельських християн-баптистів ЕХБ}} is a union of [[Baptists in Ukraine]].  It is the largest [[protestant]] union in [[Ukraine]]. 
 
 
 ",,93.73.82.103,2011-01-08T08:47:41Z,"Changed the formatting of the name of the union by removing ""aka"" from the parentheses and adjusting the placement of the abbreviation.

Not Weaponised. The change is purely a formatting adjustment without any political or cultural implications.",Not Weaponised
"'''Evangelical Baptist Union of Ukraine''' (aka '''All-Ukrainian Union of Associations of Evangelical Christians Baptists'''; {{lang-ua|Всеукраїнський Союз об’єднань євангельських християн-баптистів}}) is the largest [[protestant]] union in [[Ukraine]]. 

According to the union, it is composed by over 2,800 churches and groups, with 150,000 conscious believers, and about 300,000 people that attend church services.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref>  According to the International Religious Freedom Report 2006 by the [[U.S. State Department]], there are possibly 500 thousand members of the union in more than 3 thousand churches.<ref>[http://www.state.gov/g/drl/rls/irf/2006/71415.htm International Religious Freedom Report 2006]</ref>

==External links==
*[http://www.ecbua.info/ Official website of the Baptist Union]

==References==
{{reflist}}

[[Category:Religion in Ukraine]]","--- 
+++ 
@@ -10,4 +10,4 @@
 
 [[Category:Religion in Ukraine]]
 
-[[ru:Всеукраинский Союз Церквей евангельских христиан-баптистов]]
+[[ru:Всеукраинский союз церквей евангельских христиан-баптистов]]",robot Modifying: [[ru:Всеукраинский союз церквей евангельских христиан-баптистов]],VolkovBot,2010-03-17T22:54:51Z,"Changed the capitalization of ""Союз"" to ""союз"" in the link to the Russian article on the All-Ukrainian Union of Evangelical Christian Baptists.

Not Weaponised – The change is purely a stylistic adjustment in capitalization and does not carry any political or cultural implications.",Not Weaponised
"'''Evangelical Baptist Union of Ukraine''' (aka '''All-Ukrainian Union of Associations of Evangelical Christians Baptists'''; {{lang-ua|Всеукраїнський Союз об’єднань євангельських християн-баптистів}}) is the largest [[protestant]] union in [[Ukraine]]. 

According to the union, it is composed by over 2,800 churches and groups, with 150,000 conscious believers, and about 300,000 people that attend church services.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref>  According to the International Religious Freedom Report 2006 by the [[U.S. State Department]], there are possibly 500 thousand members of the union in more than 3 thousand churches.<ref>[http://www.state.gov/g/drl/rls/irf/2006/71415.htm International Religious Freedom Report 2006]</ref>

==External links==
*[http://www.ecbua.info/ Official website of the Baptist Union]

==References==
{{reflist}}

[[Category:Religion in Ukraine]]","--- 
+++ 
@@ -1,6 +1,9 @@
 '''Evangelical Baptist Union of Ukraine''' (aka '''All-Ukrainian Union of Churches of Evangelical Christian Baptists'''; {{lang-ua|Всеукраїнський союз церков євангельських християн-баптистів}}) is a union of [[Baptists in Ukraine]].  It is the largest [[protestant]] union in [[Ukraine]]. 
 
 According to the union, it is composed by over 2,800 churches and groups, with 150,000 conscious believers, and about 300,000 people that attend church services.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref>
+
+==History==
+The union was established in 1994 at the 22nd Convention of the ECB of Ukraine. Today, the union includes 3 [[seminary|seminaries]], 2 universities and 15 Bible colleges, and is estimated to have 150,000 conscious believers, and about 300,000 people that attend church services in more than 2,800 churches, with 3,160 clergy members.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref> The union is engaged in publishing activity and has an extended mass media network. The AUU AEB is governed by a council composed of senior presbyters (bishops) of regional associations headed by the president of the council. In 1990—2006 the council was headed by Hryhorii Komendant. From May 2006 it has been headed by Viacheslav Nesteruk. The union closely cooperates with Ukrainian Baptists in the diaspora. The AUU AEB is a member of the [[European Baptist Federation]] and the [[Baptist World Alliance]]. In addition, there are other associations of Baptists and Evangelical Christians, as well as individual communities and missions in Ukraine.
 
 ==External links==
 *[http://www.ecbua.info/ Official website of the Baptist Union]",,93.73.82.103,2011-01-08T08:30:54Z,"Added a ""History"" section detailing the establishment of the union, its structure, and leadership changes.

Not Weaponised. The changes provide factual historical context about the Evangelical Baptist Union of Ukraine without employing any language that could be interpreted as weaponising cultural heritage.",Not Weaponised
"'''Evangelical Baptist Union of Ukraine''' (aka '''All-Ukrainian Union of Associations of Evangelical Christians Baptists'''; {{lang-ua|Всеукраїнський Союз об’єднань євангельських християн-баптистів}}) is the largest [[protestant]] union in [[Ukraine]]. 

According to the union, it is composed by over 2,800 churches and groups, with 150,000 conscious believers, and about 300,000 people that attend church services.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref>  According to the International Religious Freedom Report 2006 by the [[U.S. State Department]], there are possibly 500 thousand members of the union in more than 3 thousand churches.<ref>[http://www.state.gov/g/drl/rls/irf/2006/71415.htm International Religious Freedom Report 2006]</ref>

==External links==
*[http://www.ecbua.info/ Official website of the Baptist Union]

==References==
{{reflist}}

[[Category:Religion in Ukraine]]","--- 
+++ 
@@ -23,13 +23,10 @@
 
 
 ==History==
-The union was established in 1994 at the 22nd Convention of the ECB of Ukraine. Today, the union includes 3 [[seminary|seminaries]], 2 universities and 15 Bible colleges, and is estimated to have 150,000 conscious believers, and about 300,000 people that attend church services in more than 2,800 churches, with 3,160 [[clergy]] members.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref> The union is engaged in publishing activity and has an extended mass media network. The AUС EСB is governed by a council composed of senior presbyters (bishops) of regional associations headed by the president of the council. In 1990—2006 the council was headed by Hryhorii Komendant. From May 2006 it has been headed by Viacheslav Nesteruk. The union closely cooperates with Ukrainian Baptists in the diaspora. The AUС EСB is a member of the [[European Baptist Federation]] and the [[Baptist World Alliance]]. In addition, there are other associations of Baptists and Evangelical Christians, as well as individual communities and missions in Ukraine.
+The union was established in 1994 at the 22nd Convention of the ECB of Ukraine. Today, the union includes 3 [[seminary|seminaries]], 2 universities and 15 Bible colleges, and is estimated to have 150,000 conscious believers, and about 300,000 people that attend church services in more than 2,800 churches, with 3,160 [[clergy]] members. The union is engaged in publishing activity and has an extended mass media network. The AUС EСB is governed by a council composed of senior presbyters (bishops) of regional associations headed by the president of the council. In 1990—2006 the council was headed by Hryhorii Komendant. From May 2006 it has been headed by Viacheslav Nesteruk. The union closely cooperates with Ukrainian Baptists in the diaspora. The AUС EСB is a member of the [[European Baptist Federation]] and the [[Baptist World Alliance]]. In addition, there are other associations of Baptists and Evangelical Christians, as well as individual communities and missions in Ukraine.
 
 ==External links==
 *[http://www.ecbua.info/ Official website of the Baptist Union]
-
-==References==
-{{reflist}}
 
 [[Category:Religion in Ukraine]]
 [[Category:Christianity in Ukraine]]","removed reference link, as it is already mentioned two times",Ans-mo,2011-01-12T07:23:00Z,"Removed a reference link and the ""References"" section.

Not Weaponised – The change is administrative in nature, focusing on the removal of redundant content without altering the narrative or introducing any weaponised language.",Not Weaponised
"'''Evangelical Baptist Union of Ukraine''' (aka '''All-Ukrainian Union of Associations of Evangelical Christians Baptists'''; {{lang-ua|Всеукраїнський Союз об’єднань євангельських християн-баптистів}}) is the largest [[protestant]] union in [[Ukraine]]. 

According to the union, it is composed by over 2,800 churches and groups, with 150,000 conscious believers, and about 300,000 people that attend church services.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref>  According to the International Religious Freedom Report 2006 by the [[U.S. State Department]], there are possibly 500 thousand members of the union in more than 3 thousand churches.<ref>[http://www.state.gov/g/drl/rls/irf/2006/71415.htm International Religious Freedom Report 2006]</ref>

==External links==
*[http://www.ecbua.info/ Official website of the Baptist Union]

==References==
{{reflist}}

[[Category:Religion in Ukraine]]","--- 
+++ 
@@ -1,4 +1,4 @@
-'''Evangelical Baptist Union of Ukraine''' (aka '''All-Ukrainian Union of Churches of Evangelical Christian Baptists'''; {{lang-ua|Всеукраїнський союз церков євангельських християн-баптистів}}) is a union of [[Baptists in Ukraine]].  It is the largest [[protestant]] union in [[Ukraine]]. 
+'''Evangelical Baptist Union of Ukraine''' (aka '''All-Ukrainian Union of Churches of Evangelical Christian Baptists AUC ECB'''; {{lang-ua|Всеукраїнський союз церков євангельських християн-баптистів}}) is a union of [[Baptists in Ukraine]].  It is the largest [[protestant]] union in [[Ukraine]]. 
 
 
 ",,93.73.82.103,2011-01-08T08:37:08Z,"Changed the name of the union to include ""AUC ECB"" in the description.

Not Weaponised. The change is a simple addition of an abbreviation for clarity and does not carry any political or cultural implications.",Not Weaponised
"'''Evangelical Baptist Union of Ukraine''' (aka '''All-Ukrainian Union of Associations of Evangelical Christians Baptists'''; {{lang-ua|Всеукраїнський Союз об’єднань євангельських християн-баптистів}}) is the largest [[protestant]] union in [[Ukraine]]. 

According to the union, it is composed by over 2,800 churches and groups, with 150,000 conscious believers, and about 300,000 people that attend church services.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref>  According to the International Religious Freedom Report 2006 by the [[U.S. State Department]], there are possibly 500 thousand members of the union in more than 3 thousand churches.<ref>[http://www.state.gov/g/drl/rls/irf/2006/71415.htm International Religious Freedom Report 2006]</ref>

==External links==
*[http://www.ecbua.info/ Official website of the Baptist Union]

==References==
{{reflist}}

[[Category:Religion in Ukraine]]","--- 
+++ 
@@ -1,4 +1,4 @@
-'''Evangelical Baptist Union of Ukraine''' aka '''All-Ukrainian Union of Churches of Evangelical Christian Baptists (AUC ECB)'''; {{lang-ua|Всеукраїнський союз церков євангельських християн-баптистів ЕХБ}} is a union of [[Baptists in Ukraine]].  It is the largest [[protestant]] union in [[Ukraine]]. 
+'''Evangelical Baptist Union of Ukraine''' aka '''All-Ukrainian Union of Churches of Evangelical Christian Baptists (AUC ECB)'''; {{lang-ua|Всеукраїнський союз церков євангельських християн-баптистів ЕХБ}}; {{lang-ru|Всеукраинский союз церквей евангельских христиан-баптистов}} is a union of [[Baptists in Ukraine]].  It is the largest [[protestant]] union in [[Ukraine]]. 
 
 
 ",,93.73.82.103,2011-01-08T09:10:23Z,"Changed the text to include the Russian language version of the name for the Evangelical Baptist Union of Ukraine.

Not Weaponised. The addition of the Russian language version does not inherently carry a weaponised narrative; it simply provides linguistic inclusivity without promoting a specific political agenda.",Not Weaponised
"'''Evangelical Baptist Union of Ukraine''' (aka '''All-Ukrainian Union of Associations of Evangelical Christians Baptists'''; {{lang-ua|Всеукраїнський Союз об’єднань євангельських християн-баптистів}}) is the largest [[protestant]] union in [[Ukraine]]. 

According to the union, it is composed by over 2,800 churches and groups, with 150,000 conscious believers, and about 300,000 people that attend church services.<ref>[http://www.ecbua.info/index.php?option=com_content&task=view&id=13&Itemid=30&lang=en Structure of the Union]</ref>  According to the International Religious Freedom Report 2006 by the [[U.S. State Department]], there are possibly 500 thousand members of the union in more than 3 thousand churches.<ref>[http://www.state.gov/g/drl/rls/irf/2006/71415.htm International Religious Freedom Report 2006]</ref>

==External links==
*[http://www.ecbua.info/ Official website of the Baptist Union]

==References==
{{reflist}}

[[Category:Religion in Ukraine]]","--- 
+++ 
@@ -13,5 +13,7 @@
 
 [[Category:Religion in Ukraine]]
 [[Category:Christianity in Ukraine]]
+[[Category:Baptist denominations in Europe]]
+[[Category:Baptist denominations and unions established in the 20th century]]
 
 [[ru:Всеукраинский союз церквей евангельских христиан-баптистов]]",,93.73.82.103,2011-01-08T09:00:43Z,"Added two categories: ""Baptist denominations in Europe"" and ""Baptist denominations and unions established in the 20th century"".

Not Weaponised. The changes are neutral and pertain to categorization without any political or cultural implications.",Not Weaponised
