initial_version,changed_version,comment,user,date,llm_output,weaponised
"[[Image:Ukraine_coa.png|right|]]

The '''coat of arms of [[Ukraine]]''' features the same colors found on the [[Flag of Ukraine|Ukrainian flag]]: a blue shield with yellow [[trident]], supported by a crowned lion on the left and a figure in traditional dress on the right.

{{msg:stub}}",Initial revision,description from [[Wikipedia_talk:Alternate_text_for_images/Examples]],Joy,2004-05-25T17:52:15Z,"Change: Added ""Initial revision"".

Not Weaponised. The change is a neutral addition indicating the beginning of the article's history and does not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised
"[[Image:Ukraine_coa.png|right|]]

The '''coat of arms of [[Ukraine]]''' features the same colors found on the [[Flag of Ukraine|Ukrainian flag]]: a blue shield with yellow [[trident]], supported by a crowned lion on the left and a figure in traditional dress on the right.

{{msg:stub}}","--- 
+++ 
@@ -4,4 +4,6 @@
 
 {{stub}}
 
+[[Category:Ukraine]]
+
 [[pl:God&#322;o Ukrainy]]",adding [[Category:Ukraine]],D6,2004-11-06T20:02:42Z,"Added category tag for ""Ukraine"".

Not Weaponised. The change simply adds a category for organizational purposes without introducing any loaded language or narratives that could be seen as weaponizing cultural heritage.",Not Weaponised
"[[Image:Ukraine_coa.png|right|]]

The '''coat of arms of [[Ukraine]]''' features the same colors found on the [[Flag of Ukraine|Ukrainian flag]]: a blue shield with yellow [[trident]], supported by a crowned lion on the left and a figure in traditional dress on the right.

{{msg:stub}}","--- 
+++ 
@@ -3,3 +3,5 @@
 The '''[[Coat of Arms]] of [[Ukraine]]''' features the same colors found on the [[Flag of Ukraine|Ukrainian flag]]: a blue [[shield]] with yellow [[trident]] -- the symbol of ancient tribes that once lived in Ukraine, later adopted [[Ruthenians|Ruthenian]] rulers. The shield is supported by a crowned lion from the [[Galicia (Central Europe)|Galician]] Coat of Arms on the left and a [[cossack]] in traditional dress, wielding a [[musket]], the symbol of the [[hetmanate]] on the right. The Coat of Arms is crowned with the crown of [[Volodymyr the Great]], symbolizing Ukrainian [[sovereignty]], and decorated with red fruits and wheat at the bottom.
 
 {{msg:stub}}
+
+[[pl:God&#322;o Ukrainy]]",,212.76.39.1,2004-06-04T14:11:39Z,"Added a link to the Polish Wikipedia page for ""Godło Ukrainy"".

Not Weaponised. The change is a simple addition of a link to a related topic and does not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised
"[[Image:Ukraine_coa.png|right|]]

The '''coat of arms of [[Ukraine]]''' features the same colors found on the [[Flag of Ukraine|Ukrainian flag]]: a blue shield with yellow [[trident]], supported by a crowned lion on the left and a figure in traditional dress on the right.

{{msg:stub}}","--- 
+++ 
@@ -2,7 +2,7 @@
 
 The '''[[Coat of Arms]] of [[Ukraine]]''' features the same colors found on the [[Flag of Ukraine|Ukrainian flag]]: a blue [[shield]] with yellow [[trident]]&mdash;the symbol of ancient tribes that once lived in Ukraine, later adopted by [[Ruthenians|Ruthenian]] rulers. 
 
-In the most popular (but never officially adopted) variant, the Great Coat of Arms, the shield is supported by a crowned lion from the [[Galicia (Central Europe)|Galician]] Coat of Arms on the left and a [[cossack]] in traditional dress, wielding a [[musket]], the symbol of the [[hetmanate]] on the right. The Coat of Arms is crowned with the crown of [[Volodymyr the Great]], symbolizing Ukrainian [[sovereignty]], and decorated with red fruits and wheat at the bottom.
+In the most popular (but never officially adopted) variant, the Great Coat of Arms, the shield is supported by a crowned lion from the [[Galicia (Central Europe)|Galician]] Coat of Arms on the left and a [[cossack]] in traditional dress, wielding a [[musket]], the symbol of the [[Cossack Hetmanate]] on the right. The Coat of Arms is crowned with the crown of [[Volodymyr the Great]], symbolizing Ukrainian [[sovereignty]], and decorated with red fruits and wheat at the bottom.
 
 One of the alleged spellings out of the trident is &#1042;&#1054;&#1051;&#1071;, which means ""freedom"" in [[Ukrainian language|Ukrainian]]. 
 ",hetmanate -> [[Cossack Hetmanate]],Mzajac,2005-05-28T00:01:39Z,"Changed ""hetmanate"" to ""Cossack Hetmanate"".

Not Weaponised. The change is a clarification of terminology without introducing any politically charged language or narratives.",Not Weaponised
"[[Image:Ukraine_coa.png|right|]]

The '''coat of arms of [[Ukraine]]''' features the same colors found on the [[Flag of Ukraine|Ukrainian flag]]: a blue shield with yellow [[trident]], supported by a crowned lion on the left and a figure in traditional dress on the right.

{{msg:stub}}","--- 
+++ 
@@ -11,4 +11,5 @@
 [[Category:Ukraine]]
 [[Category:National coats of arms|Ukraine]]
 
+[[de:Wappen der Ukraine]]
 [[pl:God&#322;o Ukrainy]]",warnfile  Adding:de,FlaBot,2005-04-30T05:56:26Z,"Added a link to the German Wikipedia page for the coat of arms of Ukraine.

Not Weaponised. The change is a simple addition of a language link and does not contain any loaded or politically charged language.",Not Weaponised
"[[Image:Ukraine_coa.png|right|]]

The '''coat of arms of [[Ukraine]]''' features the same colors found on the [[Flag of Ukraine|Ukrainian flag]]: a blue shield with yellow [[trident]], supported by a crowned lion on the left and a figure in traditional dress on the right.

{{msg:stub}}","--- 
+++ 
@@ -5,6 +5,6 @@
 {{stub}}
 
 [[Category:Ukraine]]
-[[Category:Coat of Arms]]
+[[Category:Coats of arms|Ukraine]]
 
 [[pl:God&#322;o Ukrainy]]",recat,Ashley Y,2004-11-21T01:22:43Z,"Changed the category from ""[[Category:Coat of Arms]]"" to ""[[Category:Coats of arms|Ukraine]]"".

Not Weaponised. The change is a technical adjustment to the categorization of the article and does not contain any language that could be interpreted as weaponizing cultural heritage.",Not Weaponised
"[[Image:Ukraine_coa.png|right|]]

The '''coat of arms of [[Ukraine]]''' features the same colors found on the [[Flag of Ukraine|Ukrainian flag]]: a blue shield with yellow [[trident]], supported by a crowned lion on the left and a figure in traditional dress on the right.

{{msg:stub}}","--- 
+++ 
@@ -1,6 +1,6 @@
 [[Image:Ukraine_coa.png|right|]]
 
-The '''[[Coat of Arms]] of [[Ukraine]]''' features the same colors found on the [[Flag of Ukraine|Ukrainian flag]]: a blue [[shield]] with yellow [[trident]] -- the symbol of ancient tribes that once lived in Ukraine, later adopted [[Ruthenians|Ruthenian]] rulers. The shield is supported by a crowned lion from the [[Galicia (Central Europe)|Galician]] Coat of Arms on the left and a [[cossack]] in traditional dress, wielding a [[musket]], the symbol of the [[hetmanate]] on the right. The Coat of Arms is crowned with the crown of [[Volodymyr the Great]], symbolizing Ukrainian [[sovereignty]], and decorated with red fruits and wheat at the bottom.
+The '''[[Coat of Arms]] of [[Ukraine]]''' features the same colors found on the [[Flag of Ukraine|Ukrainian flag]]: a blue [[shield]] with yellow [[trident]] -- the symbol of ancient tribes that once lived in Ukraine, later adopted by [[Ruthenians|Ruthenian]] rulers. The shield is supported by a crowned lion from the [[Galicia (Central Europe)|Galician]] Coat of Arms on the left and a [[cossack]] in traditional dress, wielding a [[musket]], the symbol of the [[hetmanate]] on the right. The Coat of Arms is crowned with the crown of [[Volodymyr the Great]], symbolizing Ukrainian [[sovereignty]], and decorated with red fruits and wheat at the bottom.
 
 {{stub}}
 ",grammatical error,203.200.54.68,2004-08-02T09:31:09Z,"Changed ""adopted [[Ruthenians|Ruthenian]]"" to ""adopted by [[Ruthenians|Ruthenian]]"".

Not Weaponised – The change is a grammatical correction and does not introduce any weaponised language or narratives.",Not Weaponised
"[[Image:Ukraine_coa.png|right|]]

The '''coat of arms of [[Ukraine]]''' features the same colors found on the [[Flag of Ukraine|Ukrainian flag]]: a blue shield with yellow [[trident]], supported by a crowned lion on the left and a figure in traditional dress on the right.

{{msg:stub}}","--- 
+++ 
@@ -5,5 +5,6 @@
 {{stub}}
 
 [[Category:Ukraine]]
+[[Category:Coat of Arms]]
 
 [[pl:God&#322;o Ukrainy]]",cat:,Man vyi,2004-11-19T18:34:11Z,"Added ""Category:Coat of Arms"".

Not Weaponised. The change is a simple categorization addition and does not contain any language or narrative that could be interpreted as weaponizing cultural heritage.",Not Weaponised
"[[Image:Ukraine_coa.png|right|]]

The '''coat of arms of [[Ukraine]]''' features the same colors found on the [[Flag of Ukraine|Ukrainian flag]]: a blue shield with yellow [[trident]], supported by a crowned lion on the left and a figure in traditional dress on the right.

{{msg:stub}}","--- 
+++ 
@@ -5,6 +5,6 @@
 {{stub}}
 
 [[Category:Ukraine]]
-[[Category:Coats of arms|Ukraine]]
+[[Category:National coats of arms|Ukraine]]
 
 [[pl:God&#322;o Ukrainy]]",recat,Ashley Y,2004-12-15T13:13:12Z,"Changed the category from ""Coats of arms"" to ""National coats of arms"".

Not Weaponised. The change is a categorization adjustment that does not introduce any politically charged language or narratives related to cultural heritage.",Not Weaponised
"[[Image:Ukraine_coa.png|right|]]

The '''coat of arms of [[Ukraine]]''' features the same colors found on the [[Flag of Ukraine|Ukrainian flag]]: a blue shield with yellow [[trident]], supported by a crowned lion on the left and a figure in traditional dress on the right.

{{msg:stub}}","--- 
+++ 
@@ -1,6 +1,6 @@
 [[Image:Ukraine_coa.png|right|]]
 
-The '''[[Coat of Arms]] of [[Ukraine]]''' features the same colors found on the [[Flag of Ukraine|Ukrainian flag]]: a blue [[shield]] with yellow [[trident]] -- the symbol of ancient tribes that once lived in Ukraine, later adopted by [[Ruthenians|Ruthenian]] rulers. The shield is supported by a crowned lion from the [[Galicia (Central Europe)|Galician]] Coat of Arms on the left and a [[cossack]] in traditional dress, wielding a [[musket]], the symbol of the [[hetmanate]] on the right. The Coat of Arms is crowned with the crown of [[Volodymyr the Great]], symbolizing Ukrainian [[sovereignty]], and decorated with red fruits and wheat at the bottom.
+The '''[[Coat of Arms]] of [[Ukraine]]''' features the same colors found on the [[Flag of Ukraine|Ukrainian flag]]: a blue [[shield]] with yellow [[trident]] -- the symbol of ancient tribes that once lived in Ukraine, later adopted by [[Ruthenians|Ruthenian]] rulers. The trident actually spells out &#1042;&#1054;&#1051;&#1071;, which means ""freedom"" in [[Ukrainian language|Ukrainian]]. The shield is supported by a crowned lion from the [[Galicia (Central Europe)|Galician]] Coat of Arms on the left and a [[cossack]] in traditional dress, wielding a [[musket]], the symbol of the [[hetmanate]] on the right. The Coat of Arms is crowned with the crown of [[Volodymyr the Great]], symbolizing Ukrainian [[sovereignty]], and decorated with red fruits and wheat at the bottom.
 
 {{stub}}
 ",meaning of trident,24.20.211.90,2004-09-24T15:43:36Z,"Changed the description of the Coat of Arms of Ukraine by adding information about the trident spelling out ""freedom"" in Ukrainian.

Not Weaponised. The addition provides cultural context without promoting a specific political narrative or weaponizing the heritage.",Not Weaponised
