initial_version,changed_version,comment,user,date,llm_output,weaponised
"'''Crimean Tatar language''' is a language of '''[[Crimean Tatars]]''', sometimes considered as dialect of [[Tatar language]]. This language is something meiddle of Kazan Tatar and Turkish. Total spokers: nearly 400,000: 250,000 in [[Republic of Crimea]], ~ 200,000 was in [[Uzbekistan]] before [[ethnic cleans]], nealy 3,000 in [[Russia]]. More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in 19th century. Crimean Tatars of Turkey mostly can speak Crimean Tatar.

Crimean Tatar in native language of [[Çobanzade]].

==Links==
[[http://tatar.net]]

{{stub}}","--- 
+++ 
@@ -35,6 +35,8 @@
 <!-- cut this: It is spoken by nearly 400,000 people; 250,000 of those in the [[Crimea|Autonomous Republic of Crimea]], about 200,000 were in [[Uzbekistan]] before the [[ethnic cleansing]]s, nearly 3,000 in [[Russia]]. -->
 More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in the [[19th century]]. Crimean Tatars in Turkey can usually speak Crimean Tatar.
 
+About 40,000 Crimean Tatars live in [[Romania]].
+
 == History, dialects and alphabet ==
 
 The spoken language of the Crimean Tatars is known since the [[13th century]] and divides into three main dialects: ""Kypshak-Tatar"" from the Crimea; ""Kypchak-Nogay"" from the northern steppes; and the coastal ""Crimea-Osman"". The [[Chagatai language]] also served the Crimean Tatar as a [[Dachsprache]]. Since the islamification these people wrote with a Persian-Arab script.",/* Number of speakers */,141.154.39.73,2004-11-08T07:56:38Z,"Added information about the number of Crimean Tatars living in Romania.

Not Weaponised. The change provides demographic information without invoking any contentious narratives or perspectives related to the ongoing conflict over Crimea.",Not Weaponised
"'''Crimean Tatar language''' is a language of '''[[Crimean Tatars]]''', sometimes considered as dialect of [[Tatar language]]. This language is something meiddle of Kazan Tatar and Turkish. Total spokers: nearly 400,000: 250,000 in [[Republic of Crimea]], ~ 200,000 was in [[Uzbekistan]] before [[ethnic cleans]], nealy 3,000 in [[Russia]]. More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in 19th century. Crimean Tatars of Turkey mostly can speak Crimean Tatar.

Crimean Tatar in native language of [[Çobanzade]].

==Links==
[[http://tatar.net]]

{{stub}}",Initial revision,,Untifler,2004-07-14T18:07:14Z,"Changed to ""Initial revision"".

Not Weaponised – The change is a neutral statement indicating the beginning of the article's history and does not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised
"'''Crimean Tatar language''' is a language of '''[[Crimean Tatars]]''', sometimes considered as dialect of [[Tatar language]]. This language is something meiddle of Kazan Tatar and Turkish. Total spokers: nearly 400,000: 250,000 in [[Republic of Crimea]], ~ 200,000 was in [[Uzbekistan]] before [[ethnic cleans]], nealy 3,000 in [[Russia]]. More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in 19th century. Crimean Tatars of Turkey mostly can speak Crimean Tatar.

Crimean Tatar in native language of [[Çobanzade]].

==Links==
[[http://tatar.net]]

{{stub}}","--- 
+++ 
@@ -5,7 +5,10 @@
 Crimean Tatar in native language of [[Çobanzade]].
 
 ==Links==
+[http://www.qurultay.org Q&#305;r&#305;m Tatar Milliy Meclisi]
+
 [http://tatar.net Tatar.Net]
+
 [http://www.vatankirim.org VatanK&#305;r&#305;m]
 
 {{stub}}",,Untifler,2004-07-14T18:14:56Z,"Added three links to external resources related to Crimean Tatar culture.

Not Weaponised. The changes involve adding links to external websites without any language that promotes a specific political narrative or weaponizes cultural heritage.",Not Weaponised
"'''Crimean Tatar language''' is a language of '''[[Crimean Tatars]]''', sometimes considered as dialect of [[Tatar language]]. This language is something meiddle of Kazan Tatar and Turkish. Total spokers: nearly 400,000: 250,000 in [[Republic of Crimea]], ~ 200,000 was in [[Uzbekistan]] before [[ethnic cleans]], nealy 3,000 in [[Russia]]. More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in 19th century. Crimean Tatars of Turkey mostly can speak Crimean Tatar.

Crimean Tatar in native language of [[Çobanzade]].

==Links==
[[http://tatar.net]]

{{stub}}","--- 
+++ 
@@ -18,3 +18,4 @@
 {{stub}}
 
 [[tt:Q%C4%B1r%C4%B1m%C3%A7a]]
+[[Category:Turkic languages]]",added category,Burschik,2004-08-25T12:42:26Z,"Added category ""Turkic languages"".

Not Weaponised. The change is a neutral addition of a category that does not imply any political or cultural bias.",Not Weaponised
"'''Crimean Tatar language''' is a language of '''[[Crimean Tatars]]''', sometimes considered as dialect of [[Tatar language]]. This language is something meiddle of Kazan Tatar and Turkish. Total spokers: nearly 400,000: 250,000 in [[Republic of Crimea]], ~ 200,000 was in [[Uzbekistan]] before [[ethnic cleans]], nealy 3,000 in [[Russia]]. More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in 19th century. Crimean Tatars of Turkey mostly can speak Crimean Tatar.

Crimean Tatar in native language of [[Çobanzade]].

==Links==
[[http://tatar.net]]

{{stub}}","--- 
+++ 
@@ -1,11 +1,11 @@
 '''Crimean Tatar language''' is a language of '''[[Crimean Tatar]]s''', sometimes considered as dialect of [[Tatar language]]. This language is something meiddle of Kazan Tatar and Turkish. Total spokers: nearly 400,000: 250,000 in [[Republic of Crimea]], ~ 200,000 was in [[Uzbekistan]] before [[ethnic cleans]], nealy 3,000 in [[Russia]]. More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in 19th century. Crimean Tatars of Turkey mostly can speak Crimean Tatar.
 
-The Crimean Tatar alphabet is [[Turkish alphabet]] plus [[Ñ]]ñ.
+The Crimean Tatar alphabet is [[Turkish alphabet]] plus [[Ñ]] ñ and [[Q]] q.
 
 Crimean Tatar in native language of [[Çobanzade]].
 
 ==Links==
-[[http://tatar.net Tatar.Net]]
-[[http://www.vatankirim.org VatanK&#305;r&#305;m]]
+[http://tatar.net Tatar.Net]
+[http://www.vatankirim.org VatanK&#305;r&#305;m]
 
 {{stub}}",,Untifler,2004-07-14T18:12:37Z,"Changed the Crimean Tatar alphabet description by adding ""and [[Q]] q"".

Not Weaponised. The change is a technical correction regarding the alphabet and does not carry any political or cultural implications.",Not Weaponised
"'''Crimean Tatar language''' is a language of '''[[Crimean Tatars]]''', sometimes considered as dialect of [[Tatar language]]. This language is something meiddle of Kazan Tatar and Turkish. Total spokers: nearly 400,000: 250,000 in [[Republic of Crimea]], ~ 200,000 was in [[Uzbekistan]] before [[ethnic cleans]], nealy 3,000 in [[Russia]]. More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in 19th century. Crimean Tatars of Turkey mostly can speak Crimean Tatar.

Crimean Tatar in native language of [[Çobanzade]].

==Links==
[[http://tatar.net]]

{{stub}}","--- 
+++ 
@@ -4,7 +4,7 @@
 
 Literary language for all dialects became in 1930's. Used Arabic script. Latinized in 1928, cyrillized in 1939. After repatriation of Crimean Tatars it was Latinizwd again. The Crimean Tatar alphabet is [[Turkish alphabet]] plus [[Ñ]] ñ and [[Q]] q.
 
-Crimean Tatar is/was spoken by Crimean Greeks, Gypsies, Jews.
+Crimean Tatar is/was spoken by Crimean Greeks, Gypsies, Jews, Karaims.
 
 Crimean Tatar in native language of [[Çobanzade]].
 ",,Björn-Isak Rosendahl,2004-09-23T10:20:12Z,"Changed the list of groups that speak Crimean Tatar by adding ""Karaims"".

Not Weaponised. The change is a factual addition to the demographic information without any loaded language or implications related to cultural heritage weaponisation.",Not Weaponised
"'''Crimean Tatar language''' is a language of '''[[Crimean Tatars]]''', sometimes considered as dialect of [[Tatar language]]. This language is something meiddle of Kazan Tatar and Turkish. Total spokers: nearly 400,000: 250,000 in [[Republic of Crimea]], ~ 200,000 was in [[Uzbekistan]] before [[ethnic cleans]], nealy 3,000 in [[Russia]]. More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in 19th century. Crimean Tatars of Turkey mostly can speak Crimean Tatar.

Crimean Tatar in native language of [[Çobanzade]].

==Links==
[[http://tatar.net]]

{{stub}}","--- 
+++ 
@@ -58,7 +58,7 @@
 
 Crimean Tatar has been spoken by Crimean [[Greeks]], [[Gypsies]], [[Jews]], and [[Karaims]].
 
-Crimean Tatar is the native language of the Crimean Tatar poet Bekir Sidki Çobanzade. <-- best guess -->
+Crimean Tatar is the native language of the Crimean Tatar poet Bekir Sidki Çobanzade. <!-- best guess -->
 
 The language code is CRH.
 ",fix comment opening,Nickj,2004-10-29T03:32:43Z,"Changed a comment tag from ""<-- best guess -->"" to ""<!-- best guess -->"".

Not Weaponised. The change is a minor formatting correction that does not alter the content or introduce any weaponised language.",Not Weaponised
"'''Crimean Tatar language''' is a language of '''[[Crimean Tatars]]''', sometimes considered as dialect of [[Tatar language]]. This language is something meiddle of Kazan Tatar and Turkish. Total spokers: nearly 400,000: 250,000 in [[Republic of Crimea]], ~ 200,000 was in [[Uzbekistan]] before [[ethnic cleans]], nealy 3,000 in [[Russia]]. More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in 19th century. Crimean Tatars of Turkey mostly can speak Crimean Tatar.

Crimean Tatar in native language of [[Çobanzade]].

==Links==
[[http://tatar.net]]

{{stub}}","--- 
+++ 
@@ -1,8 +1,11 @@
-'''Crimean Tatar language''' is a language of '''[[Crimean Tatars]]''', sometimes considered as dialect of [[Tatar language]]. This language is something meiddle of Kazan Tatar and Turkish. Total spokers: nearly 400,000: 250,000 in [[Republic of Crimea]], ~ 200,000 was in [[Uzbekistan]] before [[ethnic cleans]], nealy 3,000 in [[Russia]]. More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in 19th century. Crimean Tatars of Turkey mostly can speak Crimean Tatar.
+'''Crimean Tatar language''' is a language of '''[[Crimean Tatar]]s''', sometimes considered as dialect of [[Tatar language]]. This language is something meiddle of Kazan Tatar and Turkish. Total spokers: nearly 400,000: 250,000 in [[Republic of Crimea]], ~ 200,000 was in [[Uzbekistan]] before [[ethnic cleans]], nealy 3,000 in [[Russia]]. More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in 19th century. Crimean Tatars of Turkey mostly can speak Crimean Tatar.
+
+The Crimean Tatar alphabet is [[Turkish alphabet]] plus [[Ñ]]ñ.
 
 Crimean Tatar in native language of [[Çobanzade]].
 
 ==Links==
-[[http://tatar.net]]
+[[http://tatar.net Tatar.Net]]
+[[http://www.vatankirim.org VatanK&#305;r&#305;m]]
 
 {{stub}}",,Untifler,2004-07-14T18:11:33Z,"**Change Description:** Added a sentence about the Crimean Tatar alphabet and made minor adjustments to the formatting of links.

**Weaponisation Status:** Not Weaponised. The changes are primarily factual and do not invoke any specific narratives or terms that could be seen as weaponizing cultural heritage.",Not Weaponised
"'''Crimean Tatar language''' is a language of '''[[Crimean Tatars]]''', sometimes considered as dialect of [[Tatar language]]. This language is something meiddle of Kazan Tatar and Turkish. Total spokers: nearly 400,000: 250,000 in [[Republic of Crimea]], ~ 200,000 was in [[Uzbekistan]] before [[ethnic cleans]], nealy 3,000 in [[Russia]]. More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in 19th century. Crimean Tatars of Turkey mostly can speak Crimean Tatar.

Crimean Tatar in native language of [[Çobanzade]].

==Links==
[[http://tatar.net]]

{{stub}}","--- 
+++ 
@@ -1,4 +1,4 @@
-'''Crimean Tatar language''' is a language of '''[[Crimean Tatar]]s''', sometimes considered as dialect of [[Tatar language]]. This language is something meiddle of Kazan Tatar and Turkish. Total spokers: nearly 400,000: 250,000 in [[Republic of Crimea]], ~ 200,000 was in [[Uzbekistan]] before [[ethnic cleans]], nealy 3,000 in [[Russia]]. More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in 19th century. Crimean Tatars of Turkey mostly can speak Crimean Tatar.
+'''Crimean Tatar language''' is a language of '''[[Crimean Tatar]]s''', sometimes considered as dialect of [[Tatar language]]. This language is something meiddle of Kazan Tatar and Turkish. Total spokers: nearly 400,000: 250,000 in [[Republic of Crimea]], ~ 200,000 was in [[Uzbekistan]] before [[ethnic cleanings]], nealy 3,000 in [[Russia]]. More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in 19th century. Crimean Tatars of Turkey mostly can speak Crimean Tatar.
 
 The Crimean Tatar alphabet is [[Turkish alphabet]] plus [[Ñ]] ñ and [[Q]] q.
 
@@ -12,3 +12,5 @@
 [http://www.vatankirim.org VatanK&#305;r&#305;m]
 
 {{stub}}
+
+[[tt:Q%C4%B1r%C4%B1m%C3%A7a]]",,Untifler,2004-07-19T18:27:06Z,"The change made in this revision is the correction of the term ""ethnic cleans"" to ""ethnic cleanings"" in the context of the Crimean Tatar language description. Additionally, a new link to the Crimean Tatar language in the Tatar language Wikipedia has been added.

Weaponised: Not Weaponised. The changes are primarily grammatical and do not introduce any weaponisation terms or narratives related to cultural heritage.",Weaponised
"'''Crimean Tatar language''' is a language of '''[[Crimean Tatars]]''', sometimes considered as dialect of [[Tatar language]]. This language is something meiddle of Kazan Tatar and Turkish. Total spokers: nearly 400,000: 250,000 in [[Republic of Crimea]], ~ 200,000 was in [[Uzbekistan]] before [[ethnic cleans]], nealy 3,000 in [[Russia]]. More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in 19th century. Crimean Tatars of Turkey mostly can speak Crimean Tatar.

Crimean Tatar in native language of [[Çobanzade]].

==Links==
[[http://tatar.net]]

{{stub}}","--- 
+++ 
@@ -35,19 +35,30 @@
 <!-- cut this: It is spoken by nearly 400,000 people; 250,000 of those in the [[Crimea|Autonomous Republic of Crimea]], about 200,000 were in [[Uzbekistan]] before the [[ethnic cleansing]]s, nearly 3,000 in [[Russia]]. -->
 More than 1,500,000 inhabitants of [[Turkey]] are Turkish-speaking Crimean Tatars emigrated in the [[19th century]]. Crimean Tatars in Turkey can usually speak Crimean Tatar.
 
-<!-- more soon...
-Geschichte, Dialekte und Alphabete
+== History, dialects and alphabet ==
 
-Die Sprachen der Krimtataren ist uns seit dem 13. Jahrhundert bekannt und zerfiel in drei große Dialekte: ""Kyptschak-Tatarisch"" auf der eigentlichen Krim, ""Kyptschak-Nogaiisch"" in den nördlichen Steppengebieten und an den Küstenläufen ""Krim-Osmanisch"". Als Dachsprache diente auch den Krimtataren das Tschagataiische. Seit der Islamisierung schrieb diese Volksgruppe mit persisch-arabischen Schriftzeichen.
+The spoken language of the Crimean Tatars is known since the [[13th century]] and divides into three main dialects: ""Kypshak-Tatar"" from the Crimea; ""Kypchak-Nogay"" from the northern steppes; and the coastal ""Crimea-Osman"". The [[Chagatai language]] also served the Crimean Tatar as a [[Dachsprache]]. Since the islamification these people wrote with a Persian-Arab script.
+
+In [[1876]] the completely different Turkish Crimean dialects were made into a uniform written language, with a preference given to the more southern dialect  in order to break the link between the Tatar and the Turkish of the [[Ottoman Empire]].
+
+In [[1928]] the alphabet was replaced with the then [[Uniform Turkisch Alphabet]] (a combination of the [[Latin alphabet]] and the [[Cyrillic alphabet]]), which however was in 1938 itself replaced with a modified Cyrillic Alphabet.
+
+After the repatriation of the Crimean Tatars it was Latinized again.
+
+In [[1992]]/[[1993|93]] Crimean Tatar was made the third official language of the peninsula, as by then its speakers made up 10% of the population.
+
+The Crimean Tatar alphabet is the same as the [[Turkish alphabet]] with two additional characters: [[Ñ]] ñ and [[Q]] q.
+
+Since 2002 the Crimean Tatars have been writing with a new [[Turkish alphabet]],
+that was jointly developed from Turkish and Crimean Tatar students at the 
+[[University of Istanbul]] for the Crimean Tatar language.
+
+<!-- cannot translate this: Krimtatarisch wurde Als engste Verwandte der Krimtataren gelten die Türken und die jüdischen Krimtschaken.
 -->
 
-Crimean Tatar has 3 dialects.
+Crimean Tatar has been spoken by Crimean [[Greeks]], [[Gypsies]], [[Jews]], and [[Karaims]].
 
-Literary language for all dialects became in 1930's. Used Arabic script. Latinized in 1928, cyrillized in 1939. After repatriation of Crimean Tatars it was Latinized again. The Crimean Tatar alphabet is [[Turkish alphabet]] plus [[Ñ]] ñ and [[Q]] q.
-
-Crimean Tatar is/was spoken by Crimean Greeks, Gypsies, Jews, Karaims.
-
-Crimean Tatar in native language of [[Çobanzade]].
+Crimean Tatar is the native language of the Crimean Tatar poet Bekir Sidki Çobanzade. <-- best guess -->
 
 The language code is CRH.
 ","/* Number of speakers */ section History, dialects and alphabet",Wikibob,2004-09-26T14:43:56Z,"The change made in this revision involves the addition of detailed historical context regarding the Crimean Tatar language, including its dialects, writing systems, and the sociolinguistic dynamics surrounding it. Specifically, the revision added information about the historical development of the language, its dialects, and the changes in its writing system over time.

Weaponised: Not Weaponised. The content appears to provide factual historical and linguistic information without promoting a specific political narrative or agenda.",Weaponised
