type_of_change_extracted	significance_extracted	detected_before	detected_after	category_extracted_clean	propaganda_similarity	category_extracted_mapped	clean_before	clean_after
rephrasing and addition of descriptive terms	The use of terms like 'bloodless' and 'bloody civil war' introduces a biased narrative that can influence public perception of the legitimacy and severity of the events, potentially framing the conflict in a way that serves specific political agendas.	A referendum in the largely ethnic Russian [[Autonomous Republic of Crimea|Ukrainian autonomous region]] of [[Crimea]] resulted in the [[Annexation of Crimea by the Russian Federation|annexation of Crimea by Russia]] on 18 March 2014.	A referendum in the largely ethnic Russian [[Autonomous Republic of Crimea|Ukrainian autonomous region]] of [[Crimea]] resulted in the bloodless [[Annexation of Crimea by the Russian Federation|annexation of Crimea by Russia]] on 18 March 2014.	Terminology Manipulation	0.4183960556983948	Obfuscation, intentional vagueness	A referendum in the largely ethnic Russian Ukrainian autonomous region of Crimea resulted in the annexation of Crimea by Russia on 18 March 2014.	A referendum in the largely ethnic Russian Ukrainian autonomous region of Crimea resulted in the bloodless annexation of Crimea by Russia on 18 March 2014.
synonym swap	The change from 'Lamenting the dead. Kerch, the Crimea.' to 'Lamenting the dead. German massacre at Kerch, the Crimea.' shifts the focus from a neutral description of mourning to a specific accusation of atrocity. This can influence readers' perceptions by framing the narrative in a way that emphasizes German culpability, potentially serving contemporary political agendas and shaping collective memory.	"The war between Germany and the Soviet Union during [[World War II]]

==Major Conflicts==
* [[Operation Barbarossa]]
* [[Siege of Leningrad]]
* [[Battle of Stalingrad]]
* [[Battle of Kursk]]
* [[Battle of Moscow]]
* [[First Battle of Kharkov]]
* [[Second Battle of Kharkov]]

==See Also==
* [[List of World War II Theatres and Campaigns]]"	"--- 
+++ 
@@ -120,7 +120,7 @@
 
 ===Moscow and Rostov: Autumn 1941===
 {{Main|Operation Typhoon|Battle of Rostov (1941)}}
-[[Image:Lamenting the dead.jpg|thumb|left|200px|Lamenting the dead. [[Kerch]], the [[Crimea]].]] 
+[[Image:Lamenting the dead.jpg|thumb|left|200px|Lamenting the dead. German massacre at [[Kerch]], the [[Crimea]].]] 
 Hitler then decided to resume the advance to Moscow, re-designating the panzer groups as panzer armies for the occasion. [[Operation Typhoon]], which was set in motion on [[30 September]], saw 2nd Panzer Army rush along the paved road from [[Orel]] (captured [[5 October]]) to the [[Oka river]] at [[Plavskoye]], while the 4th Panzer Army (transferred from Army Group North to Centre) and 3rd Panzer armies surrounded the Soviet forces in two huge pockets at [[Vyazma]] and [[Bryansk]]. Army Group North positioned itself in front of [[Saint Petersburg|Leningrad]] and attempted to cut the rail link at [[Tikhvin]] to the east. Thus began the 900-day [[Siege of Leningrad]]. North of the [[Arctic Circle]], a German-Finnish force set out for [[Murmansk]] but could get no further than the [[Litsa river]], where they settled down.
 
 Army Group South pushed down from the Dnieper to the [[Sea of Azov]] coast, also advancing through [[Kharkov]], [[Kursk]], and [[Stalino]]. The 11th Army moved into the [[Crimea]] and had taken control of all of the [[peninsula]] by autumn (except [[Battle of Sevastopol|Sevastopol]], which held out until [[3 July]] [[1942]]). On [[21 November]] the Germans [[Battle of Rostov (1941)|took Rostov]], the gateway to the [[Caucasus]]. However, the German lines were over-extended and the Soviet defenders counterattacked the 1st Panzer Army's spearhead from the north, forcing them to pull out of the city and behind the [[Mius River]]; the first significant German [[Withdrawal (military)|withdrawal]] of the war."	Terminology Manipulation	0.4183960556983948	Obfuscation, intentional vagueness	"The war between Germany and the Soviet Union during World War II
* Operation Barbarossa
* Siege of Leningrad
* Battle of Stalingrad
* Battle of Kursk
* Battle of Moscow
* First Battle of Kharkov
* Second Battle of Kharkov
* List of World War II Theatres and Campaigns"	"--- 
+++ 
@@ -120,7 +120,7 @@
 
 ===Moscow and Rostov: Autumn 1941===
 
-thumb|left|200px|Lamenting the dead. [[Kerch, the Crimea.]] 
+thumb|left|200px|Lamenting the dead. German massacre at [[Kerch, the Crimea.]] 
 Hitler then decided to resume the advance to Moscow, re-designating the panzer groups as panzer armies for the occasion. Operation Typhoon, which was set in motion on 30 September, saw 2nd Panzer Army rush along the paved road from Orel (captured 5 October) to the Oka river at Plavskoye, while the 4th Panzer Army (transferred from Army Group North to Centre) and 3rd Panzer armies surrounded the Soviet forces in two huge pockets at Vyazma and Bryansk. Army Group North positioned itself in front of Leningrad and attempted to cut the rail link at Tikhvin to the east. Thus began the 900-day Siege of Leningrad. North of the Arctic Circle, a German-Finnish force set out for Murmansk but could get no further than the Litsa river, where they settled down.
 
 Army Group South pushed down from the Dnieper to the Sea of Azov coast, also advancing through Kharkov, Kursk, and Stalino. The 11th Army moved into the Crimea and had taken control of all of the peninsula by autumn (except Sevastopol, which held out until 3 July 1942). On 21 November the Germans took Rostov, the gateway to the Caucasus. However, the German lines were over-extended and the Soviet defenders counterattacked the 1st Panzer Army's spearhead from the north, forcing them to pull out of the city and behind the Mius River; the first significant German withdrawal of the war."
rewording and addition of context	The change from 'annex' to 'invade and occupy' shifts the tone from a potentially neutral description to one that emphasizes aggression and illegitimacy, which can influence public perception and historical interpretation. Additionally, attributing the conflict in the early 1990s to the 'Russian Federation' adds a layer of blame that may polarize views on the events, reflecting a narrative that could serve contemporary political agendas.	"In 1940, after securing the assent of Nazi Germany through the [[Molotov-Ribbentrop Pact]], the Soviet Union pressured Romania, under threat of war<ref name=""Rothschild77"">Joseph Rothschild, ''[https://books.google.com/books?id=ytc-muwFT_IC&pg=PA314 East Central Europe between the two World Wars]'' University of Washington Press, Seattle, 1977; {{ISBN|0-295953-57-8}}, p.314</ref>, into withdrawing from Bessarabia, allowing the [[Red Army]] to [[Soviet occupation of Bessarabia and Northern Bukovina|annex the region]]."	"In 1940, after securing the assent of Nazi Germany through the [[Molotov-Ribbentrop Pact]], the Soviet Union pressured Romania, under threat of war<ref name=""Rothschild77"">Joseph Rothschild, ''[https://books.google.com/books?id=ytc-muwFT_IC&pg=PA314 East Central Europe between the two World Wars]'' University of Washington Press, Seattle, 1977; {{ISBN|0-295953-57-8}}, p.314</ref>, into withdrawing from Bessarabia, allowing the [[Red Army]] to [[Soviet occupation of Bessarabia and Northern Bukovina| invade and occupy the region]]."	Terminology Manipulation	0.4183960556983948	Obfuscation, intentional vagueness	In 1940, after securing the assent of Nazi Germany through the Molotov-Ribbentrop Pact, the Soviet Union pressured Romania, under threat of war, into withdrawing from Bessarabia, allowing the Red Army to annex the region.	In 1940, after securing the assent of Nazi Germany through the Molotov-Ribbentrop Pact, the Soviet Union pressured Romania, under threat of war, into withdrawing from Bessarabia, allowing the Red Army to  invade and occupy the region.
addition of a phrase	The addition of 'the policies of Rumanization were carried in the interwar period' introduces a loaded term that emphasizes the Romanian state's assimilation efforts towards Ukrainians. This can frame historical narratives in a way that highlights grievances and cultural suppression, potentially influencing contemporary discussions about national identity and minority rights.	Although local Ukrainians have unsuccesfully attempted to incorporate parts of northern Bukovina into the short living [[West Ukrainian National Republic]], the Romanian control of the province was finally formalized in the [[Treaty of St. Germain]] in [[1919]].	Although local Ukrainians have unsuccesfully attempted to incorporate parts of northern Bukovina into the short living [[West Ukrainian National Republic]], the Romanian control of the province was finally formalized in the [[Treaty of St. Germain]] in [[1919]] and the policies of Rumanization were carried in the interwar period.	Terminology Manipulation	0.4183960556983948	Obfuscation, intentional vagueness	Although local Ukrainians have unsuccesfully attempted to incorporate parts of northern Bukovina into the short living West Ukrainian National Republic, the Romanian control of the province was finally formalized in the Treaty of St. Germain in 1919.	Although local Ukrainians have unsuccesfully attempted to incorporate parts of northern Bukovina into the short living West Ukrainian National Republic, the Romanian control of the province was finally formalized in the Treaty of St. Germain in 1919 and the policies of Rumanization were carried in the interwar period.
addition and deletion of content	The addition of the term 'Russian invasion' serves to frame the narrative in a way that emphasizes aggression and occupation, aligning with Ukraine's perspective on the conflict. This change can influence readers' perceptions and reinforce a narrative of victimhood, thereby delegitimizing Russia's actions.	"{{current|date=March 2014}}
'''Crimea's accession to Russia''' is an ongoing process of accession of the [[Crimea|Republic of Crimea]] and the town of [[Sevastopol]] to [[Russian Federation|Russia]], which started after the [[2014 Ukrainian revolution]].

The next day after the [[Crimean referendum, 2014|2014 Crimean referendum]], the parliament of Crimea asked the Russian Federation ""to admit the Republic of Crimea as a new subject with the status of a republic"".<ref>{{cite news|url=http://www.theguardian.com/world/2014/mar/17/ukraine-crimea-russia-referendum-complain-result|title=Crimea applies to be part of Russian Federation after vote to leave Ukraine|publisher=[[Guardia]]|date=2014-03-17}}</ref>

According to the media, Russia is expected to allow Crimea to join the country.<ref>{{cite news|url=http://www.reuters.com/article/2014/03/17/us-ukraine-crisis-duma-legislation-idUSBREA2G05K20140317|title=Russia to pass laws on Crimea's accession as quickly as possible|publisher=[[Reuters]]|date=2014-03-17}}</ref><ref>{{cite news|url=http://ria.ru/world/20140317/999845926.html|title=Присоединение Крыма к РФ займет несколько месяцев, считает эксперт|publisher=[[RIA Novosti]]}}</ref><ref>{{cite news|url=http://www.bbc.co.uk/russian/russia/2014/03/140317_crimea_future_analysis.shtml|title=Присоединение Крыма: Москва выбирает жесткий сценарий?|publisher=[[BBC Russian]]|date=2014-01-17}}</ref>

== References ==
{{reflist}}

{{2014 Crimean crisis}}

[[Category:2014 Crimean crisis]]
[[Category:2014 in Ukraine]]"	"--- 
+++ 
@@ -12,10 +12,8 @@
 | place        = [[Crimea]]
 | coordinates  =
 | causes       =
-* yevromaydan coup followed by erase of constitution , installation of yatsenyuk turcinov poroshenko , kolomoysky & co maphia thugs , prosecution of berkut , odesa mariupol korsun bus assault and other similiar events , witchhunt against ""suspected"" civilians , azov aydar svoboda pravy sektor and others action , decay and unfinancing the peninsula only sought as a cash machine
-* geopolitical aspects , nato relentless encroaching , baltic black sea caucaus ""belt"" to deter and further on starting frammenting Russia , Black Sea Fleets ports Air Bases , Kerch strait choke , positioning (USA NATO) air forces army navy and radars early warning EW jamming hardware along SAM and ABM systems including VLS capable of firing AShCM and LACM making inland a GLCM
-* energetics aspects , oil gas and pipelines 
-* Opposition by Russia to the [[2014 Ukrainian revolution]] <ref name=""Seccession calls in pro-Russian south"">{{cite news |url=https://www.theguardian.com/world/2014/feb/23/ukraine-crisis-secession-russian-crimea|script-title=en:Ukraine crisis fuels secession calls in pro-Russian south|language=en|agency[[The Guardian]]|date=23 February 2014|accessdate=26 May 2016}}</ref>
+* Russian invasion
+* Opposition by Russia to the [[2014 Ukrainian revolution]]<ref name=""Seccession calls in pro-Russian south"" />
 | status       =
 | result       =
 * [[Little green men (Ukrainian crisis)|Russian masked troops]] invade and occupy key Crimean locations, including airports and military bases, following [[Vladimir Putin|Putin]]'s orders.<ref name=FT15Mar15>{{cite news|author=Courtney Weaver|url=http://www.ft.com/cms/s/0/41873ed2-cb60-11e4-8ad9-00144feab7de.html|title=Putin was ready to put nuclear weapons on alert in Crimea crisis|work=Financial Times|date=15 March 2015|accessdate=1 January 2016|subscription=true}}</ref><ref name=""airport_seizure"">{{cite news |url=http://www.ukrinform.ua/rubric-politycs/1624895-avakov_nazvav_zahoplennya_aeroportiv_v_krimu_ozbroe_nim_vtorgnennyam_i_okupatsie_yu_1912872.html|script-title=uk:Аваков назвав захоплення аеропортів в Криму озброєним вторгненням і окупацією|trans-title=Avakov called the seizure of airports in Crimea an armed invasion and occupation|language=uk|agency=[[Ukrinform]]|date=28 February 2014|accessdate=1 January 2016}}</ref>"	Terminology Manipulation	0.4183960556983948	Obfuscation, intentional vagueness	"'''Crimea's accession to Russia''' is an ongoing process of accession of the Republic of Crimea and the town of Sevastopol to Russia, which started after the 2014 Ukrainian revolution.
The next day after the 2014 Crimean referendum, the parliament of Crimea asked the Russian Federation ""to admit the Republic of Crimea as a new subject with the status of a republic"".
According to the media, Russia is expected to allow Crimea to join the country.
Category:2014 Crimean crisis
Category:2014 in Ukraine"	"--- 
+++ 
@@ -12,10 +12,8 @@
 | place        = Crimea
 | coordinates  =
 | causes       =
-* yevromaydan coup followed by erase of constitution , installation of yatsenyuk turcinov poroshenko , kolomoysky & co maphia thugs , prosecution of berkut , odesa mariupol korsun bus assault and other similiar events , witchhunt against ""suspected"" civilians , azov aydar svoboda pravy sektor and others action , decay and unfinancing the peninsula only sought as a cash machine
-* geopolitical aspects , nato relentless encroaching , baltic black sea caucaus ""belt"" to deter and further on starting frammenting Russia , Black Sea Fleets ports Air Bases , Kerch strait choke , positioning (USA NATO) air forces army navy and radars early warning EW jamming hardware along SAM and ABM systems including VLS capable of firing AShCM and LACM making inland a GLCM
-* energetics aspects , oil gas and pipelines 
-* Opposition by Russia to the 2014 Ukrainian revolution 
+* Russian invasion
+* Opposition by Russia to the 2014 Ukrainian revolution"
synonym swap	This change shifts the attribution of expertise from a specific location (London) to a broader category (Western), which may dilute the perceived credibility of the sources and could be interpreted as an attempt to undermine the legitimacy of the claims made by those experts. This aligns with narratives that seek to challenge or discredit perspectives that are critical of Russian actions.	"London-based military experts said the soldiers were likely Russian special forces (possibly including [[Spetsnaz]] commandos) and airborne units,<ref name=""GNews"">{{cite news |url=http://gulfnews.com/news/world/other-world/russian-special-forces-on-crimea-frontline-experts-1.1299168 |title=Russian special forces on Crimea frontline: experts |date=4 March 2014 |accessdate=4 March 2014 |work=Gulf News }}</ref>"	"Western-based military experts said the soldiers were likely Russian special forces (possibly including [[Spetsnaz]] commandos) and airborne units,<ref name=""GNews"">{{cite news |url=http://gulfnews.com/news/world/other-world/russian-special-forces-on-crimea-frontline-experts-1.1299168 |title=Russian special forces on Crimea frontline: experts |date=4 March 2014 |accessdate=4 March 2014 |work=Gulf News }}</ref>"	Terminology Manipulation	0.4183960556983948	Obfuscation, intentional vagueness	London-based military experts said the soldiers were likely Russian special forces (possibly including Spetsnaz commandos) and airborne units,	Western-based military experts said the soldiers were likely Russian special forces (possibly including Spetsnaz commandos) and airborne units,
replacement of terms	This change shifts the focus from the genocide of Jews during the Holocaust to a narrative that emphasizes Ukrainian suffering, which can distort historical understanding and downplay the specific atrocities faced by Jewish communities. Such manipulation can serve political agendas that seek to elevate one group's victimhood while marginalizing another's, potentially fostering division and conflict.	The Nazi administrators of conquered Soviet territories made little attempt to exploit the population's possible dissatisfaction with Soviet political and economic policies. Instead, the Nazis preserved the collective-farm system, systematically carried out genocidal policies against Jews, and deported many Ukrainians to forced labour in Germany.	The Nazi administrators of conquered Soviet territories made little attempt to exploit the population's possible dissatisfaction with Soviet political and economic policies. Instead, the Nazis preserved the collective-farm system, systematically carried out genocidal policies against Ukrainians, and deported many to forced labour in Germany.	Terminology Manipulation	0.4183960556983948	Obfuscation, intentional vagueness	The Nazi administrators of conquered Soviet territories made little attempt to exploit the population's possible dissatisfaction with Soviet political and economic policies. Instead, the Nazis preserved the collective-farm system, systematically carried out genocidal policies against Jews, and deported many Ukrainians to forced labour in Germany.	The Nazi administrators of conquered Soviet territories made little attempt to exploit the population's possible dissatisfaction with Soviet political and economic policies. Instead, the Nazis preserved the collective-farm system, systematically carried out genocidal policies against Ukrainians, and deported many to forced labour in Germany.
deletion	This change removes a perspective that suggests alternative historical narratives regarding the founding of Kiev, which could undermine the complexity of its historical identity and promote a singular, potentially nationalistic viewpoint.	Some western historians (e.g. Kevin Alan Brook) speculate that the city was founded by [[Khazars]] or [[Hungarians|Magyars]]. Brook posits that ''Kyiv'' is a Turkic place name (''Küi'' = riverbank + ''ev'' = settlement). However, the ''[[Primary Chronicle]]'' (a main source of information about the early history of the area) mentions Slavic Kievans telling [[Askold and Dir]] that they lived without a local ruler and paid tribute to the Khazars - an event attributed to the 9th century. Brook believes that during the 8th and 9th centuries the city functioned as an outpost of the Khazar empire.	The non-legendary time of the founding of the city is harder to ascertain, but it has been determined via archaeology that the region was not settled until the late 9th century.	Selective Omission	0.4210464656352997	Red herring	Some western historians (e.g. Kevin Alan Brook) speculate that the city was founded by Khazars or Magyars. Brook posits that ''Kyiv'' is a Turkic place name (''Küi'' = riverbank + ''ev'' = settlement). However, the ''Primary Chronicle'' (a main source of information about the early history of the area) mentions Slavic Kievans telling Askold and Dir that they lived without a local ruler and paid tribute to the Khazars - an event attributed to the 9th century. Brook believes that during the 8th and 9th centuries the city functioned as an outpost of the Khazar empire.	The non-legendary time of the founding of the city is harder to ascertain, but it has been determined via archaeology that the region was not settled until the late 9th century.
synonym swap	The change from 'Ukrainian National Republic (UNR)' to 'Ukrainian People's Republic (UPR)' alters the historical context and implications of Ukrainian statehood. This shift emphasizes a narrative of legitimacy and sovereignty for Ukraine, which is significant in the ongoing geopolitical conflict with Russia. It reflects an effort to frame Ukrainian identity and historical struggles in a way that resonates with contemporary issues of national sovereignty and resistance against perceived imperialism.	Warfare ensued against the Ukrainian National Republic (UNR) for the installation of the Soviet regime in the country and with the direct support from [[Union of Soviet Socialist Republics|Soviet Russia]] the Ukrainian National forces were practically overran.	Warfare ensued against the Ukrainian People's Republic (UPR) for the installation of the Soviet regime in the country and with the direct support from [[Union of Soviet Socialist Republics|Soviet Russia]] the Ukrainian National forces were practically overran.	Terminology Manipulation	0.4183960556983948	Obfuscation, intentional vagueness	Warfare ensued against the Ukrainian National Republic (UNR) for the installation of the Soviet regime in the country and with the direct support from Soviet Russia the Ukrainian National forces were practically overran.	Warfare ensued against the Ukrainian People's Republic (UPR) for the installation of the Soviet regime in the country and with the direct support from Soviet Russia the Ukrainian National forces were practically overran.
rephrasing	The change from 'Zbrucz' to 'Zbruch River' emphasizes a Ukrainian perspective on the geographical significance of the river, potentially reinforcing nationalistic narratives regarding territorial claims and identity in the context of historical conflicts.	"{{msg:stub}}

''Massacres of Poles in [[Volhynia]]'' was ordered by the authorities of [[Ukrainian Rebellion Army]] in [[1943]]. The number of victims is estimated on 100,000-300,000. Recently there are efforts to reconciliate [[Poles]] and [[Ukrainians]]."	"--- 
+++ 
@@ -30,7 +30,7 @@
 
 As the Austro-Hungarian government collapsed following [[World War I]], Poles and Ukrainians struggled for the control over the city of [[Lemberg]] (today Lviv), populated mostly by Poles,<ref name=Subtelny367>[[Orest Subtelny]], ''[http://books.google.com/books?vid=ISBN0802083900&id=HNIs9O3EmtQC&dq=0802083900 Ukraine: a history]'', pp. 367-368, University of Toronto Press, 2000, ISBN 0-8020-8390-0</ref> but surrounded by a Ukrainian majority.<ref>Timothy Snyder. (2003). ''The Reconstruction of Nations.'' New Haven: Yale University Press.  pg. 123 and pg. 145</ref> Until 1772 the area belonged to the [[Polish–Lithuanian Commonwealth]], but later, with the [[Partitions of Poland]], was annexed to [[Habsburg Monarchy|Austria]]. The conflict, known as the [[Polish–Ukrainian War]], spilled over to Volhynia with the Ukrainian leader [[Symon Petlura]] attempting to expand Ukrainian claims westward. The war was conducted by professional forces on both sides, resulting in a relatively minimal number of civilian deaths. On July 17, 1919, a ceasefire was signed. On November 21, 1919, the Paris Peace Conference granted Eastern Galicia to Poland. The lost war left a generation of frustrated western Ukrainian veterans convinced that Poland was Ukraine's principal enemy.<ref>Timothy Snyder. (2003) ''The Reconstruction of Nations.'' New Haven: Yale University Press. pp.138-139</ref>
 
-Even though Polish statehood had just been re-established by the [[Treaty of Versailles]] after a century of [[Partitions of Poland|partitions]], the frontiers between Poland and Soviet Russia had not been defined by the Treaty. As a result the [[Polish-Soviet war]] of 1920 broke out with the Soviets claiming both Ukraine and [[Belarus]], which they viewed as a part of the [[Russian Empire]], currently under [[Russian Civil War|civil war]].<ref name=""Google Print, p. 106"">''The Unknown Lenin'', ed. [[Richard Pipes]], [[Yale University Press]], ISBN 0-300-06919-7 Document 59, [http://books.google.com/books?id=UBnv9I_guMUC&pg=PA106&lpg=PA106&sig=Kx2R6N_kphgp_VyBXehkjlxJcQw Google Print, p. 106].</ref> The Soviets forced Ukrainian forces to retreat to [[Podolia]], and  the Ukrainian leader Symon Petlura decided to ally with Poland's [[Józef Piłsudski]]. On April 21, 1920, Piłsudski and Petlura signed [[Treaty of Warsaw (1920)|a military alliance]] accepting the Polish-Ukrainian border on the river [[Zbrucz]].<ref name=""Google Print, p. 106""/> Following this agreement, the government of the West Ukrainian National Republic went into exile in Vienna,<ref>Paul Robert Magocsi, A History of Ukraine, University of Toronto Press: Toronto 1996, ISBN 0-8020-0830-5</ref> viewing it as betrayal. At the end of the Polish-Ukrainian war with the Soviets, the [[Peace of Riga]] was signed with [[Vladimir Lenin]] in 1921. Volhynia and Eastern Galicia were eventually joined to the [[Second Polish Republic]], whilst the rest of contemporary Ukraine, known as the [[Ukrainian Soviet Socialist Republic]] became part of the [[USSR]]. Meanwhile, the exiled Ukrainian government was disbanded on March 14, 1923, by the Council of Ambassadors at the League of Nations. After a long series of negotiations, on March 14, 1923, the League of Nations decided that eastern Galicia would be incorporated into Poland, thus ""taking into consideration that Poland has recognized that in regard to the eastern part of Galicia ethnographic conditions fully deserve its autonomous status.""<ref name=Encyclopedia>{{cite book| author=Kubijovic, V. | title=Ukraine: A Concise Encyclopedia| location= Toronto | publisher= University of Toronto Press | year = 1963 }}</ref> Their promise was not fulfilled by the Polish government. In the following years, the historical discourse between Polish and Ukrainian researchers has often been based on historical stereotypes stemming from ethnic conflicts during the First World War and the interwar period, making it difficult to draw an objective account of bilateral Polish-Ukrainian relations during World War II.<ref>http://www.utoronto.ca/cius/excerpts/shumuk/introxviii-xix.pdf</ref>
+Even though Polish statehood had just been re-established by the [[Treaty of Versailles]] after a century of [[Partitions of Poland|partitions]], the frontiers between Poland and Soviet Russia had not been defined by the Treaty. As a result the [[Polish-Soviet war]] of 1920 broke out with the Soviets claiming both Ukraine and [[Belarus]], which they viewed as a part of the [[Russian Empire]], currently under [[Russian Civil War|civil war]].<ref name=""Google Print, p. 106"">''The Unknown Lenin'', ed. [[Richard Pipes]], [[Yale University Press]], ISBN 0-300-06919-7 Document 59, [http://books.google.com/books?id=UBnv9I_guMUC&pg=PA106&lpg=PA106&sig=Kx2R6N_kphgp_VyBXehkjlxJcQw Google Print, p. 106].</ref> The Soviets forced Ukrainian forces to retreat to [[Podolia]], and  the Ukrainian leader Symon Petlura decided to ally with Poland's [[Józef Piłsudski]]. On April 21, 1920, Piłsudski and Petlura signed [[Treaty of Warsaw (1920)|a military alliance]] accepting the Polish-Ukrainian border on the river [[Zbruch River|Zbruch]].<ref name=""Google Print, p. 106""/> Following this agreement, the government of the West Ukrainian National Republic went into exile in Vienna,<ref>Paul Robert Magocsi, A History of Ukraine, University of Toronto Press: Toronto 1996, ISBN 0-8020-0830-5</ref> viewing it as betrayal. At the end of the Polish-Ukrainian war with the Soviets, the [[Peace of Riga]] was signed with [[Vladimir Lenin]] in 1921. Volhynia and Eastern Galicia were eventually joined to the [[Second Polish Republic]], whilst the rest of contemporary Ukraine, known as the [[Ukrainian Soviet Socialist Republic]] became part of the [[USSR]]. Meanwhile, the exiled Ukrainian government was disbanded on March 14, 1923, by the Council of Ambassadors at the League of Nations. After a long series of negotiations, on March 14, 1923, the League of Nations decided that eastern Galicia would be incorporated into Poland, thus ""taking into consideration that Poland has recognized that in regard to the eastern part of Galicia ethnographic conditions fully deserve its autonomous status.""<ref name=Encyclopedia>{{cite book| author=Kubijovic, V. | title=Ukraine: A Concise Encyclopedia| location= Toronto | publisher= University of Toronto Press | year = 1963 }}</ref> Their promise was not fulfilled by the Polish government. In the following years, the historical discourse between Polish and Ukrainian researchers has often been based on historical stereotypes stemming from ethnic conflicts during the First World War and the interwar period, making it difficult to draw an objective account of bilateral Polish-Ukrainian relations during World War II.<ref>http://www.utoronto.ca/cius/excerpts/shumuk/introxviii-xix.pdf</ref>
 
 ===The rise of the Organization of Ukrainian Nationalists===
 ====OUN-B===="	Terminology Manipulation	0.4183960556983948	Obfuscation, intentional vagueness	''Massacres of Poles in Volhynia'' was ordered by the authorities of Ukrainian Rebellion Army in 1943. The number of victims is estimated on 100,000-300,000. Recently there are efforts to reconciliate Poles and Ukrainians.	"--- 
+++ 
@@ -30,7 +30,7 @@
 
 As the Austro-Hungarian government collapsed following World War I, Poles and Ukrainians struggled for the control over the city of Lemberg (today Lviv), populated mostly by Poles, but surrounded by a Ukrainian majority. Until 1772 the area belonged to the Polish–Lithuanian Commonwealth, but later, with the Partitions of Poland, was annexed to Austria. The conflict, known as the Polish–Ukrainian War, spilled over to Volhynia with the Ukrainian leader Symon Petlura attempting to expand Ukrainian claims westward. The war was conducted by professional forces on both sides, resulting in a relatively minimal number of civilian deaths. On July 17, 1919, a ceasefire was signed. On November 21, 1919, the Paris Peace Conference granted Eastern Galicia to Poland. The lost war left a generation of frustrated western Ukrainian veterans convinced that Poland was Ukraine's principal enemy.
 
-Even though Polish statehood had just been re-established by the Treaty of Versailles after a century of partitions, the frontiers between Poland and Soviet Russia had not been defined by the Treaty. As a result the Polish-Soviet war of 1920 broke out with the Soviets claiming both Ukraine and Belarus, which they viewed as a part of the Russian Empire, currently under civil war. The Soviets forced Ukrainian forces to retreat to Podolia, and  the Ukrainian leader Symon Petlura decided to ally with Poland's Józef Piłsudski. On April 21, 1920, Piłsudski and Petlura signed a military alliance accepting the Polish-Ukrainian border on the river Zbrucz. viewing it as betrayal. At the end of the Polish-Ukrainian war with the Soviets, the Peace of Riga was signed with Vladimir Lenin in 1921. Volhynia and Eastern Galicia were eventually joined to the Second Polish Republic, whilst the rest of contemporary Ukraine, known as the Ukrainian Soviet Socialist Republic became part of the USSR. Meanwhile, the exiled Ukrainian government was disbanded on March 14, 1923, by the Council of Ambassadors at the League of Nations. After a long series of negotiations, on March 14, 1923, the League of Nations decided that eastern Galicia would be incorporated into Poland, thus ""taking into consideration that Poland has recognized that in regard to the eastern part of Galicia ethnographic conditions fully deserve its autonomous status."" Their promise was not fulfilled by the Polish government. In the following years, the historical discourse between Polish and Ukrainian researchers has often been based on historical stereotypes stemming from ethnic conflicts during the First World War and the interwar period, making it difficult to draw an objective account of bilateral Polish-Ukrainian relations during World War II.
+Even though Polish statehood had just been re-established by the Treaty of Versailles after a century of partitions, the frontiers between Poland and Soviet Russia had not been defined by the Treaty. As a result the Polish-Soviet war of 1920 broke out with the Soviets claiming both Ukraine and Belarus, which they viewed as a part of the Russian Empire, currently under civil war. The Soviets forced Ukrainian forces to retreat to Podolia, and  the Ukrainian leader Symon Petlura decided to ally with Poland's Józef Piłsudski. On April 21, 1920, Piłsudski and Petlura signed a military alliance accepting the Polish-Ukrainian border on the river Zbruch. viewing it as betrayal. At the end of the Polish-Ukrainian war with the Soviets, the Peace of Riga was signed with Vladimir Lenin in 1921. Volhynia and Eastern Galicia were eventually joined to the Second Polish Republic, whilst the rest of contemporary Ukraine, known as the Ukrainian Soviet Socialist Republic became part of the USSR. Meanwhile, the exiled Ukrainian government was disbanded on March 14, 1923, by the Council of Ambassadors at the League of Nations. After a long series of negotiations, on March 14, 1923, the League of Nations decided that eastern Galicia would be incorporated into Poland, thus ""taking into consideration that Poland has recognized that in regard to the eastern part of Galicia ethnographic conditions fully deserve its autonomous status."" Their promise was not fulfilled by the Polish government. In the following years, the historical discourse between Polish and Ukrainian researchers has often been based on historical stereotypes stemming from ethnic conflicts during the First World War and the interwar period, making it difficult to draw an objective account of bilateral Polish-Ukrainian relations during World War II.
 
 ===The rise of the Organization of Ukrainian Nationalists===
 ====OUN-B===="
