initial_version,changed_version,comment,user,date,llm_output,weaponised
"{{Belarusians}}
Ethnic [[Belarusians]] have settlements in the Ukraine where they make up a significant minority.

== Location and number ==
In [[Ukraine]], the number of Belarusians is estimated at over 275,000 (the [[Ukrainian Census (2001)|2001 Ukrainian Census]]<ref>http://2001.ukrcensus.gov.ua/results/general/nationality/</ref> Most of the Belarusians diaspora in Ukraine appeared as a result of the migration of Belarusians to the [[Ukrainian SSR]] during the [[Soviet Union]]. [[Lviv]] has been an important center of Belarusian social and cultural life during the [[Russian Empire]] and [[interwar Poland]]. There are now Belarusian organizations in major cities like Lviv, [[Sevastopol]] in the [[Crimea]], and others. A notable Ukrainian of Belarusian descent is [[Viktor Yanukovych]], the fourth president of [[Ukraine]].

==References==
<references/>

[[Category:Belarusian diaspora|Ukraine]]
[[Category:Ethnic groups in Ukraine]]
[[Category:Belarusian minorities|Ukraine]]","--- 
+++ 
@@ -60,3 +60,4 @@
 
 [[Category:Belarusian diaspora|Ukraine]]
 [[Category:Ethnic groups in Ukraine]]
+[[Category:Ukrainian people of Belarusian descent]]",/* References */ update,Aleksandr Grigoryev,2014-09-22T02:50:54Z,"Added a category for ""Ukrainian people of Belarusian descent"".

Not Weaponised. The change is a straightforward addition of a category and does not contain any language or narratives that could be interpreted as weaponising cultural heritage.",Not Weaponised
"{{Belarusians}}
Ethnic [[Belarusians]] have settlements in the Ukraine where they make up a significant minority.

== Location and number ==
In [[Ukraine]], the number of Belarusians is estimated at over 275,000 (the [[Ukrainian Census (2001)|2001 Ukrainian Census]]<ref>http://2001.ukrcensus.gov.ua/results/general/nationality/</ref> Most of the Belarusians diaspora in Ukraine appeared as a result of the migration of Belarusians to the [[Ukrainian SSR]] during the [[Soviet Union]]. [[Lviv]] has been an important center of Belarusian social and cultural life during the [[Russian Empire]] and [[interwar Poland]]. There are now Belarusian organizations in major cities like Lviv, [[Sevastopol]] in the [[Crimea]], and others. A notable Ukrainian of Belarusian descent is [[Viktor Yanukovych]], the fourth president of [[Ukraine]].

==References==
<references/>

[[Category:Belarusian diaspora|Ukraine]]
[[Category:Ethnic groups in Ukraine]]
[[Category:Belarusian minorities|Ukraine]]","--- 
+++ 
@@ -2,7 +2,11 @@
 | group = Belarusians in Ukraine <br>білоруси <br>''bilorusy''
 | image =
 {{image array|perrow=5|width=60|height=70
-| image1 = | caption1 = 
+| image1 = Viktor Yanukovych 27 April 2010-1.jpeg| caption1 = [[Viktor Yanukovych]]
+| image2 = | caption2 = 
+| image3 = | caption3 = 
+| image4 = | caption4 = 
+| image5 = | caption5 = 
 }}
 | caption    =
 | poptime    = '''275,763''' ([[2001 Ukrainian Census|2001]])",update,Aleksandr Grigoryev,2014-09-22T02:48:15Z,"Changed the image entry to include an image of Viktor Yanukovych and updated the caption.

Not Weaponised. The change is a simple addition of an image and does not contain any language or narrative that could be interpreted as weaponising cultural heritage.",Not Weaponised
"{{Belarusians}}
Ethnic [[Belarusians]] have settlements in the Ukraine where they make up a significant minority.

== Location and number ==
In [[Ukraine]], the number of Belarusians is estimated at over 275,000 (the [[Ukrainian Census (2001)|2001 Ukrainian Census]]<ref>http://2001.ukrcensus.gov.ua/results/general/nationality/</ref> Most of the Belarusians diaspora in Ukraine appeared as a result of the migration of Belarusians to the [[Ukrainian SSR]] during the [[Soviet Union]]. [[Lviv]] has been an important center of Belarusian social and cultural life during the [[Russian Empire]] and [[interwar Poland]]. There are now Belarusian organizations in major cities like Lviv, [[Sevastopol]] in the [[Crimea]], and others. A notable Ukrainian of Belarusian descent is [[Viktor Yanukovych]], the fourth president of [[Ukraine]].

==References==
<references/>

[[Category:Belarusian diaspora|Ukraine]]
[[Category:Ethnic groups in Ukraine]]
[[Category:Belarusian minorities|Ukraine]]","--- 
+++ 
@@ -40,11 +40,7 @@
 | pop10      = 77,416 ([[2001 Ukrainian Census|2001]])
 | ref5       = 
 | langs      = [[Russian language|Russian]] (62.5%) [[Belarusian language|Belarusian]] (19.8%)
-| rels       = 
-<div style=""text-align:left"">
-;Of the total
-;Of the religious
-</div>
+| rels       = [[Eastern Orthodoxy]]
 | related = [[Slavic people]] ([[West Slavs]], [[East Slavs]], [[South Slavs]])
 }}
 {{Belarusians}}",,95.104.215.177,2014-11-07T18:30:41Z,"Removed religious context details and added a specific religious affiliation (Eastern Orthodoxy).

Not Weaponised. The change appears to be a straightforward update to the religious affiliation without introducing any politically charged language or narratives.",Not Weaponised
"{{Belarusians}}
Ethnic [[Belarusians]] have settlements in the Ukraine where they make up a significant minority.

== Location and number ==
In [[Ukraine]], the number of Belarusians is estimated at over 275,000 (the [[Ukrainian Census (2001)|2001 Ukrainian Census]]<ref>http://2001.ukrcensus.gov.ua/results/general/nationality/</ref> Most of the Belarusians diaspora in Ukraine appeared as a result of the migration of Belarusians to the [[Ukrainian SSR]] during the [[Soviet Union]]. [[Lviv]] has been an important center of Belarusian social and cultural life during the [[Russian Empire]] and [[interwar Poland]]. There are now Belarusian organizations in major cities like Lviv, [[Sevastopol]] in the [[Crimea]], and others. A notable Ukrainian of Belarusian descent is [[Viktor Yanukovych]], the fourth president of [[Ukraine]].

==References==
<references/>

[[Category:Belarusian diaspora|Ukraine]]
[[Category:Ethnic groups in Ukraine]]
[[Category:Belarusian minorities|Ukraine]]","--- 
+++ 
@@ -57,4 +57,4 @@
 [[Category:Belarusian diaspora|Ukraine]]
 [[Category:Ethnic groups in Ukraine]]
 [[Category:Ukrainian people of Belarusian descent]]
-[[Category:Belarusian expatriates in Ukraine]]
+[[Category:Belarusian expatriates in Ukraine|*]]",/* References */,178.93.162.6,2014-12-27T15:57:58Z,"Changed the category for ""Belarusian expatriates in Ukraine"" to include a wildcard character.

Not Weaponised – The change appears to be a technical adjustment to a category label without any evident political or cultural implications.",Not Weaponised
"{{Belarusians}}
Ethnic [[Belarusians]] have settlements in the Ukraine where they make up a significant minority.

== Location and number ==
In [[Ukraine]], the number of Belarusians is estimated at over 275,000 (the [[Ukrainian Census (2001)|2001 Ukrainian Census]]<ref>http://2001.ukrcensus.gov.ua/results/general/nationality/</ref> Most of the Belarusians diaspora in Ukraine appeared as a result of the migration of Belarusians to the [[Ukrainian SSR]] during the [[Soviet Union]]. [[Lviv]] has been an important center of Belarusian social and cultural life during the [[Russian Empire]] and [[interwar Poland]]. There are now Belarusian organizations in major cities like Lviv, [[Sevastopol]] in the [[Crimea]], and others. A notable Ukrainian of Belarusian descent is [[Viktor Yanukovych]], the fourth president of [[Ukraine]].

==References==
<references/>

[[Category:Belarusian diaspora|Ukraine]]
[[Category:Ethnic groups in Ukraine]]
[[Category:Belarusian minorities|Ukraine]]","--- 
+++ 
@@ -7,5 +7,7 @@
 ==References==
 <references/>
 
+{{National minorities of Ukraine}}
+
 [[Category:Belarusian diaspora|Ukraine]]
 [[Category:Ethnic groups in Ukraine]]",update,Aleksandr Grigoryev,2014-09-21T19:10:57Z,"Added ""{{National minorities of Ukraine}}"" and a category link for the Belarusian diaspora in Ukraine.

Not Weaponised. The changes appear to be administrative, adding a template and a category without any loaded language or narratives that could be interpreted as weaponising cultural heritage.",Not Weaponised
"{{Belarusians}}
Ethnic [[Belarusians]] have settlements in the Ukraine where they make up a significant minority.

== Location and number ==
In [[Ukraine]], the number of Belarusians is estimated at over 275,000 (the [[Ukrainian Census (2001)|2001 Ukrainian Census]]<ref>http://2001.ukrcensus.gov.ua/results/general/nationality/</ref> Most of the Belarusians diaspora in Ukraine appeared as a result of the migration of Belarusians to the [[Ukrainian SSR]] during the [[Soviet Union]]. [[Lviv]] has been an important center of Belarusian social and cultural life during the [[Russian Empire]] and [[interwar Poland]]. There are now Belarusian organizations in major cities like Lviv, [[Sevastopol]] in the [[Crimea]], and others. A notable Ukrainian of Belarusian descent is [[Viktor Yanukovych]], the fourth president of [[Ukraine]].

==References==
<references/>

[[Category:Belarusian diaspora|Ukraine]]
[[Category:Ethnic groups in Ukraine]]
[[Category:Belarusian minorities|Ukraine]]","--- 
+++ 
@@ -13,7 +13,7 @@
 | popplace   = 
 | region1    = [[Donetsk Oblast]]
 | pop1       = 44,525 ([[2001 Ukrainian Census|2001]])
-| region2    = [[Crimea]] <br>(w/[[Sevastopol]])</small>
+| region2    = [[Crimea]] <br>(w/ [[Sevastopol]])
 | pop2       =  35,157 ([[2001 Ukrainian Census|2001]])
 | ref2       = 
 | region3    = [[Dnipropetrovsk Oblast]]",,Frietjes,2015-07-22T17:58:30Z,"Changed the spacing in the reference to Crimea and Sevastopol.

Not Weaponised. The change is purely a formatting adjustment without any ideological implications or weaponisation of cultural heritage.",Not Weaponised
"{{Belarusians}}
Ethnic [[Belarusians]] have settlements in the Ukraine where they make up a significant minority.

== Location and number ==
In [[Ukraine]], the number of Belarusians is estimated at over 275,000 (the [[Ukrainian Census (2001)|2001 Ukrainian Census]]<ref>http://2001.ukrcensus.gov.ua/results/general/nationality/</ref> Most of the Belarusians diaspora in Ukraine appeared as a result of the migration of Belarusians to the [[Ukrainian SSR]] during the [[Soviet Union]]. [[Lviv]] has been an important center of Belarusian social and cultural life during the [[Russian Empire]] and [[interwar Poland]]. There are now Belarusian organizations in major cities like Lviv, [[Sevastopol]] in the [[Crimea]], and others. A notable Ukrainian of Belarusian descent is [[Viktor Yanukovych]], the fourth president of [[Ukraine]].

==References==
<references/>

[[Category:Belarusian diaspora|Ukraine]]
[[Category:Ethnic groups in Ukraine]]
[[Category:Belarusian minorities|Ukraine]]",Initial revision,"[[WP:AES|←]]Created page with '{{Belarusians}} Ethnic [[Belarusians]] have settlements in the Ukraine where they make up a significant minority.  == Location and number == In [[Ukraine]], the...'",Orestek,2014-03-29T22:12:36Z,"Change: ""Created page with '{{Belarusians}} Ethnic [[Belarusians]] have settlements in the Ukraine where they make up a significant minority. == Location and number == In [[Ukraine]], the...'""

Weaponised: Not Weaponised. The content appears to be a neutral description of the Belarusian ethnic group in Ukraine without any loaded language or narratives that could be considered weaponisation of cultural heritage.",Weaponised
"{{Belarusians}}
Ethnic [[Belarusians]] have settlements in the Ukraine where they make up a significant minority.

== Location and number ==
In [[Ukraine]], the number of Belarusians is estimated at over 275,000 (the [[Ukrainian Census (2001)|2001 Ukrainian Census]]<ref>http://2001.ukrcensus.gov.ua/results/general/nationality/</ref> Most of the Belarusians diaspora in Ukraine appeared as a result of the migration of Belarusians to the [[Ukrainian SSR]] during the [[Soviet Union]]. [[Lviv]] has been an important center of Belarusian social and cultural life during the [[Russian Empire]] and [[interwar Poland]]. There are now Belarusian organizations in major cities like Lviv, [[Sevastopol]] in the [[Crimea]], and others. A notable Ukrainian of Belarusian descent is [[Viktor Yanukovych]], the fourth president of [[Ukraine]].

==References==
<references/>

[[Category:Belarusian diaspora|Ukraine]]
[[Category:Ethnic groups in Ukraine]]
[[Category:Belarusian minorities|Ukraine]]","--- 
+++ 
@@ -1,5 +1,50 @@
+{{Infobox ethnic group
+| group = Belarusians in Ukraine <br>білоруси <br>''bilorusy''
+| image =
+{{image array|perrow=5|width=60|height=70
+| image1 = | caption1 = 
+}}
+| caption    =
+| poptime    = '''275,763''' ([[2001 Ukrainian Census|2001]])
+| popplace   = 
+| region1    = [[Donetsk Oblast]]
+| pop1       = 44,525 ([[2001 Ukrainian Census|2001]])
+| region2    = [[Crimea]] <br>(w/[[Sevastopol]])</small>
+| pop2       =  35,157 ([[2001 Ukrainian Census|2001]])
+| ref2       = 
+| region3    = [[Dnipropetrovsk Oblast]]
+| pop3       = 29,528 ([[2001 Ukrainian Census|2001]])
+| ref3       = 
+| region4    = [[Luhansk Oblast]]
+| pop4       = 20,587 ([[2001 Ukrainian Census|2001]])
+| ref4       = 
+| region5    = [[Kyiv]]
+| pop5       = 16,549 ([[2001 Ukrainian Census|2001]])
+| ref5       = 
+| region6    = [[Kharkiv Oblast]]
+| pop6       = 14,752 ([[2001 Ukrainian Census|2001]])
+| region7    = [[Odessa Oblast]]
+| pop7       =  12,767 ([[2001 Ukrainian Census|2001]])
+| ref2       = 
+| region8    = [[Zaporizhia Oblast]]
+| pop8       = 12,655 ([[2001 Ukrainian Census|2001]])
+| ref3       = 
+| region9    = [[Rivne Oblast]]
+| pop9       = 11,827 ([[2001 Ukrainian Census|2001]])
+| ref4       = 
+| region10   = other regions of Ukraine
+| pop10      = 77,416 ([[2001 Ukrainian Census|2001]])
+| ref5       = 
+| langs      = [[Russian language|Russian]] (62.5%) [[Belarusian language|Belarusian]] (19.8%)
+| rels       = 
+<div style=""text-align:left"">
+;Of the total
+;Of the religious
+</div>
+| related = [[Slavic people]] ([[West Slavs]], [[East Slavs]], [[South Slavs]])
+}}
 {{Belarusians}}
-Ethnic '''[[Belarusians]]''' have settlements in '''Ukraine''' where they make up a significant minority.
+'''[[Belarusians]]''' in '''Ukraine''' is the second biggest minority after [[Russians in Ukraine|Russians]]. Unlike many other ethnic groups Belarusians do not have any particular concentration in the country, but spread out more-less evenly across all regions.
 
 == Location and number ==
 In [[Ukraine]], the number of Belarusians is estimated at over 275,000 (the [[Ukrainian Census (2001)|2001 Ukrainian Census]])<ref>http://2001.ukrcensus.gov.ua/results/general/nationality/</ref> Most of the Belarusians diaspora in Ukraine appeared as a result of the migration of Belarusians to the [[Ukrainian SSR]] during the [[Soviet Union]]. [[Lviv]] has been an important center of Belarusian social and cultural life during the [[Russian Empire]] and [[interwar Poland]]. There are now Belarusian organizations in major cities like Lviv, [[Sevastopol]] in the [[Crimea]], and others. A notable Ukrainian of Belarusian descent is [[Viktor Yanukovych]], the fourth president of [[Ukraine]].",update,Aleksandr Grigoryev,2014-09-22T02:46:33Z,"Added an infobox for ""Belarusians in Ukraine"" and expanded the content regarding the Belarusian population in Ukraine.

Not Weaponised. The changes provide demographic information and context about the Belarusian community in Ukraine without employing any politically charged or weaponised language.",Not Weaponised
"{{Belarusians}}
Ethnic [[Belarusians]] have settlements in the Ukraine where they make up a significant minority.

== Location and number ==
In [[Ukraine]], the number of Belarusians is estimated at over 275,000 (the [[Ukrainian Census (2001)|2001 Ukrainian Census]]<ref>http://2001.ukrcensus.gov.ua/results/general/nationality/</ref> Most of the Belarusians diaspora in Ukraine appeared as a result of the migration of Belarusians to the [[Ukrainian SSR]] during the [[Soviet Union]]. [[Lviv]] has been an important center of Belarusian social and cultural life during the [[Russian Empire]] and [[interwar Poland]]. There are now Belarusian organizations in major cities like Lviv, [[Sevastopol]] in the [[Crimea]], and others. A notable Ukrainian of Belarusian descent is [[Viktor Yanukovych]], the fourth president of [[Ukraine]].

==References==
<references/>

[[Category:Belarusian diaspora|Ukraine]]
[[Category:Ethnic groups in Ukraine]]
[[Category:Belarusian minorities|Ukraine]]","--- 
+++ 
@@ -29,16 +29,16 @@
 | pop6       = 14,752 ([[2001 Ukrainian Census|2001]])
 | region7    = [[Odessa Oblast]]
 | pop7       =  12,767 ([[2001 Ukrainian Census|2001]])
-| ref2       = 
+| ref7       = 
 | region8    = [[Zaporizhia Oblast]]
 | pop8       = 12,655 ([[2001 Ukrainian Census|2001]])
-| ref3       = 
+| ref8       = 
 | region9    = [[Rivne Oblast]]
 | pop9       = 11,827 ([[2001 Ukrainian Census|2001]])
-| ref4       = 
+| ref9       = 
 | region10   = other regions of Ukraine
 | pop10      = 77,416 ([[2001 Ukrainian Census|2001]])
-| ref5       = 
+| ref10      = 
 | langs      = [[Russian language|Russian]] (62.5%) [[Belarusian language|Belarusian]] (19.8%)
 | rels       = [[Eastern Orthodoxy]]
 | related = [[Slavic people]] ([[West Slavs]], [[East Slavs]], [[South Slavs]])",,Frietjes,2015-07-22T17:58:05Z,"Changed references in the demographic data section by removing old reference markers (ref2, ref3, ref4, ref5) and adding new reference markers (ref7, ref8, ref9, ref10).

Not Weaponised. The changes are purely structural and do not introduce any politically charged language or narratives related to cultural heritage.",Not Weaponised
"{{Belarusians}}
Ethnic [[Belarusians]] have settlements in the Ukraine where they make up a significant minority.

== Location and number ==
In [[Ukraine]], the number of Belarusians is estimated at over 275,000 (the [[Ukrainian Census (2001)|2001 Ukrainian Census]]<ref>http://2001.ukrcensus.gov.ua/results/general/nationality/</ref> Most of the Belarusians diaspora in Ukraine appeared as a result of the migration of Belarusians to the [[Ukrainian SSR]] during the [[Soviet Union]]. [[Lviv]] has been an important center of Belarusian social and cultural life during the [[Russian Empire]] and [[interwar Poland]]. There are now Belarusian organizations in major cities like Lviv, [[Sevastopol]] in the [[Crimea]], and others. A notable Ukrainian of Belarusian descent is [[Viktor Yanukovych]], the fourth president of [[Ukraine]].

==References==
<references/>

[[Category:Belarusian diaspora|Ukraine]]
[[Category:Ethnic groups in Ukraine]]
[[Category:Belarusian minorities|Ukraine]]","--- 
+++ 
@@ -9,4 +9,3 @@
 
 [[Category:Belarusian diaspora|Ukraine]]
 [[Category:Ethnic groups in Ukraine]]
-[[Category:Belarusian minorities|Ukraine]]",,Orestek,2014-03-29T22:13:03Z,"Removed the category tag for ""Belarusian minorities"" in the context of Ukraine.

Not Weaponised. The change appears to be a simple categorization adjustment without any evident political or cultural implications.",Not Weaponised
