initial_version,changed_version,comment,user,date,llm_output,weaponised
"The '''Brotherhood of Independent Baptist Churches and Ministries of Ukraine''' was officially founded and registered in [[Ukraine]] in 1993. 

==Structure==
The foundation of this new Baptist Union was organized and initiated by a group of churches, which for nearly thirty years had been active members of the Union of Churches movement. Among these churches-initiators there were churches of the Union of Baptist Churches in [[Kiev]], [[Zhitomir]], Khartsyzsk, [[Kharkov]], [[Rovno]], Zdolbunov, etc. Today the Brotherhood include more than 100 communities and about 11,000 members.

==External Links==
*[http://www.bibcm.org/ Official website of the Brotherhood of Independent Baptist Churches of Ukraine]","--- 
+++ 
@@ -8,7 +8,6 @@
 *[http://www.bibcm.org/ Official website of the Brotherhood of Independent Baptist Churches of Ukraine]
 
 {{DEFAULTSORT:Brotherhood Of Independent Baptist Churches And Ministries Of Ukraine}}
-[[Category:Religion in Ukraine]]
 [[Category:Christianity in Ukraine]]
 [[Category:Ukrainian Protestants]]
 [[Category:Baptist denominations in Europe]]",removed [[Category:Religion in Ukraine]] using [[WP:HC|HotCat]],Marmig,2012-01-09T15:26:59Z,"Removed the category [[Category:Religion in Ukraine]].

Not Weaponised. The change is a simple categorization adjustment without any loaded language or implications related to cultural heritage weaponization.",Not Weaponised
"The '''Brotherhood of Independent Baptist Churches and Ministries of Ukraine''' was officially founded and registered in [[Ukraine]] in 1993. 

==Structure==
The foundation of this new Baptist Union was organized and initiated by a group of churches, which for nearly thirty years had been active members of the Union of Churches movement. Among these churches-initiators there were churches of the Union of Baptist Churches in [[Kiev]], [[Zhitomir]], Khartsyzsk, [[Kharkov]], [[Rovno]], Zdolbunov, etc. Today the Brotherhood include more than 100 communities and about 11,000 members.

==External Links==
*[http://www.bibcm.org/ Official website of the Brotherhood of Independent Baptist Churches of Ukraine]","--- 
+++ 
@@ -4,8 +4,13 @@
 ==Structure==
 The foundation of this new Baptist Union was organized and initiated by a group of churches, which for nearly thirty years had been active members of the Union of Churches movement. Among these churches-initiators there were churches of the Union of Baptist Churches in [[Kiev]], [[Zhitomir]], Khartsyzsk, [[Kharkov]], [[Rovno]], Zdolbunov, etc. Today the Brotherhood include more than 100 communities and about 11,000 members.
 
+==See Also==
+* [[Evangelical Baptist Union of Ukraine]]
+* [[List of Baptist denominations]]
+* [[Ukrainian Evangelical Baptist Convention of Canada]]
+
 ==External links==
-*[http://www.bibcm.org/ Official website of the Brotherhood of Independent Baptist Churches of Ukraine]
+* [http://www.bibcm.org/ Official website of the Brotherhood of Independent Baptist Churches of Ukraine]
 
 {{Christianity-stub}}
 {{Ukraine-stub}}",/* External links */,Sanya3,2013-01-18T01:45:17Z,"Added ""See Also"" section with links to related Baptist organizations.

Not Weaponised. The changes made are administrative in nature, focusing on adding links to related organizations without any politically charged language or narratives.",Not Weaponised
"The '''Brotherhood of Independent Baptist Churches and Ministries of Ukraine''' was officially founded and registered in [[Ukraine]] in 1993. 

==Structure==
The foundation of this new Baptist Union was organized and initiated by a group of churches, which for nearly thirty years had been active members of the Union of Churches movement. Among these churches-initiators there were churches of the Union of Baptist Churches in [[Kiev]], [[Zhitomir]], Khartsyzsk, [[Kharkov]], [[Rovno]], Zdolbunov, etc. Today the Brotherhood include more than 100 communities and about 11,000 members.

==External Links==
*[http://www.bibcm.org/ Official website of the Brotherhood of Independent Baptist Churches of Ukraine]","--- 
+++ 
@@ -7,6 +7,9 @@
 ==External links==
 *[http://www.bibcm.org/ Official website of the Brotherhood of Independent Baptist Churches of Ukraine]
 
+{{Protestant-stub}}
+{{Ukraine-reli-stub}}
+
 {{DEFAULTSORT:Brotherhood Of Independent Baptist Churches And Ministries Of Ukraine}}
 [[Category:Christianity in Ukraine]]
 [[Category:Protestantism in Ukraine]]",,Sanya3,2013-01-16T06:28:38Z,"Added stubs for Protestant and Ukrainian religious categories.

Not Weaponised. The changes are administrative in nature, adding stubs for categorization without any loaded language or narratives that could be interpreted as weaponizing cultural heritage.",Not Weaponised
"The '''Brotherhood of Independent Baptist Churches and Ministries of Ukraine''' was officially founded and registered in [[Ukraine]] in 1993. 

==Structure==
The foundation of this new Baptist Union was organized and initiated by a group of churches, which for nearly thirty years had been active members of the Union of Churches movement. Among these churches-initiators there were churches of the Union of Baptist Churches in [[Kiev]], [[Zhitomir]], Khartsyzsk, [[Kharkov]], [[Rovno]], Zdolbunov, etc. Today the Brotherhood include more than 100 communities and about 11,000 members.

==External Links==
*[http://www.bibcm.org/ Official website of the Brotherhood of Independent Baptist Churches of Ukraine]","--- 
+++ 
@@ -1,3 +1,4 @@
+{{Baptist}}
 The '''Brotherhood of Independent Baptist Churches and Ministries of Ukraine''' was officially founded and registered in [[Ukraine]] in 1993.
 
 ==Structure==",,Kepper66,2011-02-15T07:07:19Z,"Added ""{{Baptist}}"" template at the beginning of the article.

Not Weaponised. The change is a simple addition of a template that does not contain any language or narrative that could be interpreted as weaponising cultural heritage.",Not Weaponised
"The '''Brotherhood of Independent Baptist Churches and Ministries of Ukraine''' was officially founded and registered in [[Ukraine]] in 1993. 

==Structure==
The foundation of this new Baptist Union was organized and initiated by a group of churches, which for nearly thirty years had been active members of the Union of Churches movement. Among these churches-initiators there were churches of the Union of Baptist Churches in [[Kiev]], [[Zhitomir]], Khartsyzsk, [[Kharkov]], [[Rovno]], Zdolbunov, etc. Today the Brotherhood include more than 100 communities and about 11,000 members.

==External Links==
*[http://www.bibcm.org/ Official website of the Brotherhood of Independent Baptist Churches of Ukraine]","--- 
+++ 
@@ -4,7 +4,7 @@
 ==Structure==
 The foundation of this new Baptist Union was organized and initiated by a group of churches, which for nearly thirty years had been active members of the Union of Churches movement. Among these churches-initiators there were churches of the Union of Baptist Churches in [[Kiev]], [[Zhitomir]], Khartsyzsk, [[Kharkov]], [[Rovno]], Zdolbunov, etc. Today the Brotherhood include more than 100 communities and about 11,000 members.
 
-==See Also==
+==See also==
 * [[Baptists in Ukraine]]
 * [[Evangelical Baptist Union of Ukraine]]
 * [[List of Baptist denominations]]",Bot: [[Wikipedia:Manual of Style/Layout#Standard appendices and footers|standard sections headers]],FrescoBot,2013-02-26T01:26:28Z,"Changed ""See Also"" to ""See also"".

Not Weaponised. The change is a stylistic adjustment to adhere to Wikipedia's manual of style and does not carry any cultural or political implications.",Not Weaponised
"The '''Brotherhood of Independent Baptist Churches and Ministries of Ukraine''' was officially founded and registered in [[Ukraine]] in 1993. 

==Structure==
The foundation of this new Baptist Union was organized and initiated by a group of churches, which for nearly thirty years had been active members of the Union of Churches movement. Among these churches-initiators there were churches of the Union of Baptist Churches in [[Kiev]], [[Zhitomir]], Khartsyzsk, [[Kharkov]], [[Rovno]], Zdolbunov, etc. Today the Brotherhood include more than 100 communities and about 11,000 members.

==External Links==
*[http://www.bibcm.org/ Official website of the Brotherhood of Independent Baptist Churches of Ukraine]",Initial revision,[[WP:AES|←]]Created page with 'The '''Brotherhood of Independent Baptist Churches and Ministries of Ukraine''' was officially founded and registered in [[Ukraine]] in 1993.   ==Structure== The fo...',Kepper66,2011-01-14T20:48:54Z,"Added content about the ""Brotherhood of Independent Baptist Churches and Ministries of Ukraine"" and its founding in 1993.

Not Weaponised. The content appears to be a neutral introduction to a religious organization without any language that could be interpreted as weaponizing cultural heritage.",Not Weaponised
"The '''Brotherhood of Independent Baptist Churches and Ministries of Ukraine''' was officially founded and registered in [[Ukraine]] in 1993. 

==Structure==
The foundation of this new Baptist Union was organized and initiated by a group of churches, which for nearly thirty years had been active members of the Union of Churches movement. Among these churches-initiators there were churches of the Union of Baptist Churches in [[Kiev]], [[Zhitomir]], Khartsyzsk, [[Kharkov]], [[Rovno]], Zdolbunov, etc. Today the Brotherhood include more than 100 communities and about 11,000 members.

==External Links==
*[http://www.bibcm.org/ Official website of the Brotherhood of Independent Baptist Churches of Ukraine]","--- 
+++ 
@@ -17,7 +17,6 @@
 {{Ukraine-stub}}
 
 {{DEFAULTSORT:Brotherhood Of Independent Baptist Churches And Ministries Of Ukraine}}
-[[Category:Christianity in Ukraine]]
 [[Category:Protestantism in Ukraine]]
 [[Category:Baptist denominations in Europe]]
 [[Category:Baptist denominations established in the 20th century]]",removed [[Category:Christianity in Ukraine]] using [[WP:HC|HotCat]]already diffused to protestantism in U,Laurel Lodged,2015-03-29T18:32:18Z,"Removed the category ""[[Category:Christianity in Ukraine]]"".

Not Weaponised. The change appears to be a categorization adjustment without any language that suggests a political or cultural agenda.",Not Weaponised
"The '''Brotherhood of Independent Baptist Churches and Ministries of Ukraine''' was officially founded and registered in [[Ukraine]] in 1993. 

==Structure==
The foundation of this new Baptist Union was organized and initiated by a group of churches, which for nearly thirty years had been active members of the Union of Churches movement. Among these churches-initiators there were churches of the Union of Baptist Churches in [[Kiev]], [[Zhitomir]], Khartsyzsk, [[Kharkov]], [[Rovno]], Zdolbunov, etc. Today the Brotherhood include more than 100 communities and about 11,000 members.

==External Links==
*[http://www.bibcm.org/ Official website of the Brotherhood of Independent Baptist Churches of Ukraine]","--- 
+++ 
@@ -9,5 +9,6 @@
 
 [[Category:Religion in Ukraine]]
 [[Category:Christianity in Ukraine]]
+[[Category:Ukrainian Protestants]]
 [[Category:Baptist denominations in Europe]]
 [[Category:Baptist denominations and unions established in the 20th century]]",,Kepper66,2011-01-20T15:50:12Z,"Added ""Ukrainian Protestants"" category.

Not Weaponised. The change is a straightforward addition of a category related to a religious group without any loaded language or implications that could be seen as weaponising cultural heritage.",Not Weaponised
"The '''Brotherhood of Independent Baptist Churches and Ministries of Ukraine''' was officially founded and registered in [[Ukraine]] in 1993. 

==Structure==
The foundation of this new Baptist Union was organized and initiated by a group of churches, which for nearly thirty years had been active members of the Union of Churches movement. Among these churches-initiators there were churches of the Union of Baptist Churches in [[Kiev]], [[Zhitomir]], Khartsyzsk, [[Kharkov]], [[Rovno]], Zdolbunov, etc. Today the Brotherhood include more than 100 communities and about 11,000 members.

==External Links==
*[http://www.bibcm.org/ Official website of the Brotherhood of Independent Baptist Churches of Ukraine]","--- 
+++ 
@@ -7,8 +7,8 @@
 ==External links==
 *[http://www.bibcm.org/ Official website of the Brotherhood of Independent Baptist Churches of Ukraine]
 
-{{Protestantism-stub}}
-{{Ukraine-reli-stub}}
+{{Christianity-stub}}
+{{Ukraine-stub}}
 
 {{DEFAULTSORT:Brotherhood Of Independent Baptist Churches And Ministries Of Ukraine}}
 [[Category:Christianity in Ukraine]]",/* External links */,Sanya3,2013-01-16T06:29:19Z,"Changed the stubs from ""{{Protestantism-stub}}"" and ""{{Ukraine-reli-stub}}"" to ""{{Christianity-stub}}"" and ""{{Ukraine-stub}}"".

Not Weaponised. The changes are administrative in nature, focusing on categorization without introducing any politically charged language or narratives.",Not Weaponised
"The '''Brotherhood of Independent Baptist Churches and Ministries of Ukraine''' was officially founded and registered in [[Ukraine]] in 1993. 

==Structure==
The foundation of this new Baptist Union was organized and initiated by a group of churches, which for nearly thirty years had been active members of the Union of Churches movement. Among these churches-initiators there were churches of the Union of Baptist Churches in [[Kiev]], [[Zhitomir]], Khartsyzsk, [[Kharkov]], [[Rovno]], Zdolbunov, etc. Today the Brotherhood include more than 100 communities and about 11,000 members.

==External Links==
*[http://www.bibcm.org/ Official website of the Brotherhood of Independent Baptist Churches of Ukraine]","--- 
+++ 
@@ -1,12 +1,12 @@
-The '''Brotherhood of Independent Baptist Churches and Ministries of Ukraine''' was officially founded and registered in [[Ukraine]] in 1993. 
+The '''Brotherhood of Independent Baptist Churches and Ministries of Ukraine''' was officially founded and registered in [[Ukraine]] in 1993.
 
 ==Structure==
 The foundation of this new Baptist Union was organized and initiated by a group of churches, which for nearly thirty years had been active members of the Union of Churches movement. Among these churches-initiators there were churches of the Union of Baptist Churches in [[Kiev]], [[Zhitomir]], Khartsyzsk, [[Kharkov]], [[Rovno]], Zdolbunov, etc. Today the Brotherhood include more than 100 communities and about 11,000 members.
 
-==External Links==
+==External links==
 *[http://www.bibcm.org/ Official website of the Brotherhood of Independent Baptist Churches of Ukraine]
 
-
+{{DEFAULTSORT:Brotherhood Of Independent Baptist Churches And Ministries Of Ukraine}}
 [[Category:Religion in Ukraine]]
 [[Category:Christianity in Ukraine]]
 [[Category:Ukrainian Protestants]]",Correct cap in header and/or general fixes.,SmackBot,2011-02-02T10:59:58Z,"Changed capitalization in the header and the section title from ""External Links"" to ""External links"".

Not Weaponised – The changes are purely stylistic and do not alter the content or introduce any weaponised narratives.",Not Weaponised
