initial_version,changed_version,comment,user,date,llm_output,weaponised
"#REDIRECT [[Communist Party of the Soviet Union]]

",Initial revision,*,62.253.64.xxx,2001-11-29T13:53:14Z,Baseline version loaded – no judgment needed.,Unknown
"#REDIRECT [[Communist Party of the Soviet Union]]

",No changes,Automated conversion,Conversion script,2002-02-25T15:51:15Z,Baseline version loaded – no judgment needed.,Unknown
"#REDIRECT [[Communist Party of the Soviet Union]]

","--- 
+++ 
@@ -1,14 +1,7 @@
 Political party formed in 1898 as the Russian Social Democratic Labor Party.
-
-
 
 ...
 
-
-
-In February 1990 the CPSU called for the end of its constitutional guarantee of power. In March, the [[Congress of Peoples Deputies]] repealed Article six of the Soviet Constitution, which had guaranteed monopoly political power for the party/
-
-
+In February 1990 the CPSU called for the end of its constitutional guarantee of power. In March, the [[Congress of Peoples Deputies]] repealed Article six of the Soviet Constitution, which had guaranteed monopoly political power for the party.
 
 Currently the Communist Party of the Russian Federation.
-",*,62.253.64.xxx,2001-11-29T13:57:56Z,"Removed several line breaks and added a period at the end of a sentence.

Not Weaponised. The changes are purely structural and grammatical, with no indication of cultural or political bias.",Not Weaponised
"#REDIRECT [[Communist Party of the Soviet Union]]

","--- 
+++ 
@@ -4,7 +4,7 @@
 
 The Marxist-Leninist structure of the CPSU was copied by many other communist parties such as the [[Chinese Communist Party]].
 
-In February 1990 the CPSU called for the end of its constitutional guarantee of power. In March, the [[Congress of Peoples Deputies]] repealed Article six of the Soviet Constitution, which had guaranteed monopoly political power for the party.
+In February 1990 the CPSU called for the end of its constitutional guarantee of power. In March, the [[Congress of Peoples Deputies]] repealed Article Six of the Soviet Constitution, which had guaranteed monopoly political power for the party.
 
 Currently the Communist Party of the Russian Federation.
 ",,210.49.196.232,2002-11-24T23:05:08Z,"Changed ""Article six"" to ""Article Six"".

Not Weaponised. The change is a minor grammatical adjustment that does not alter the meaning or introduce any weaponised language related to cultural heritage.",Not Weaponised
"#REDIRECT [[Communist Party of the Soviet Union]]

","--- 
+++ 
@@ -1,6 +1,8 @@
 [[pl:Komunistyczna_Partia_Zwi%C4%85zku_Radzieckiego]][[de:KPdSU]]
 
 The '''Communist Party''' of the [[Soviet Union]] was the name used by the [[Russian Social Democratic Labour Party]] following the [[Russian Revolution]]. The party had split into two factions, the [[Bolshevik]]s and the [[Menshevik]]s, primarily over the issue of party membership. Bolsheviks favored a closed membership of strictly full time professional revolutionaries; whereas the Mensheviks favored open party membership. The Bolsheviks seized power in October of [[1917]] (by the [[Julian calendar]] still in use in [[Russia]] at that time). Soon after, they banned the Mensheviks (and all other opposition political organizations) and changed their own name to the ""Communist Party"".
+
+A name change had been first mooted in [[Lenin's April Theses]], which articulated Lenin's sense that the term [[Social-Democracy]] had become devalued, a notion he articulated in his pamphlet ''Socialism and War'' ([[1915]]) where he talked of the pro-war Social-Democrats as ''[[Social-Chauvinists]]''.
 
 The [[Leninism|Marxist-Leninist]] structure of the CPSU was copied by many other [[Communist Party|Communist parties]] ''(c.f.)''.
 ",,195.92.168.168,2003-08-05T13:09:23Z,"**Added context about Lenin's April Theses and the devaluation of the term Social-Democracy.**

Not Weaponised. The addition provides historical context regarding Lenin's views without promoting a specific narrative that could be seen as weaponizing cultural heritage.",Not Weaponised
"#REDIRECT [[Communist Party of the Soviet Union]]

","--- 
+++ 
@@ -1,4 +1,6 @@
-The '''Communist Party''' of the [[Soviet Union]] was the name used by the [[Russian Social Democratic Labor Party]] following the [[Russian Revolution]]. The party had split into two factions, the [[Bolshevik]]s and the [[Menshevik]]s, primarily over the issue of party membership. Bolsheviks favored a closed membership of strictly full time professional revolutionaries; whereas the Mensheviks favored open party membership. The Bolsheviks seized power in October of [[1917]] (by the [[Julian calendar]] still in use in [[Russia]] at that time). Soon after, they banned the Mensheviks (and all other opposition political organizations) and changed their own name to the ""Communist Party"".
+[[pl:Komunistyczna_Partia_Zwi%C4%85zku_Radzieckiego]]
+
+The '''Communist Party''' of the [[Soviet Union]] was the name used by the [[Russian Social Democratic Labour Party]] following the [[Russian Revolution]]. The party had split into two factions, the [[Bolshevik]]s and the [[Menshevik]]s, primarily over the issue of party membership. Bolsheviks favored a closed membership of strictly full time professional revolutionaries; whereas the Mensheviks favored open party membership. The Bolsheviks seized power in October of [[1917]] (by the [[Julian calendar]] still in use in [[Russia]] at that time). Soon after, they banned the Mensheviks (and all other opposition political organizations) and changed their own name to the ""Communist Party"".
 
 The [[Leninism|Marxist-Leninist]] structure of the CPSU was copied by many other [[Communist Party|Communist parties]] ''(c.f.)''.
 ","pl: , redirect to target switch",Matusz,2003-04-04T20:01:36Z,"Added a Polish language link for the Communist Party of the Soviet Union article.

Not Weaponised. The change is a technical edit to include a language link and does not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised
"#REDIRECT [[Communist Party of the Soviet Union]]

","--- 
+++ 
@@ -10,4 +10,4 @@
 
 After the [[collapse of the Soviet Union]], the organization became known as the [[Communist Party of the Russian Federation]].
 
-''See also:'' [[Organization of the Communist Party of the USSR]], [[Communist Party]], [[Soviet Union]]
+''See also:'' [[Organization of the Communist Party of the USSR]], [[Communist Party]]",,Olivier,2003-11-20T10:47:47Z,"Removed the link to [[Soviet Union]] from the ""See also"" section.

Not Weaponised – The change is a simple removal of a link without any context suggesting a shift in narrative or perspective related to cultural heritage.",Not Weaponised
"#REDIRECT [[Communist Party of the Soviet Union]]

","--- 
+++ 
@@ -1,11 +1,9 @@
-Political party formed in 1898 as the Russian Social Democratic Labor Party.
+The '''Communist Party''' of the [[Soviet Union]] was the name used by the [[Russian Social Democratic Labor Party]] following the [[Russian Revolution]]. The party had split into two factions, the [[Bolshevik]]s and the [[Menshevik]]s, primarily over the issue of party membership. Bolsheviks favored a closed membership of strictly full time professional revolutionaries; whereas the Mensheviks favored open party membership. The Bolsheviks seized power in October of [[1917]] (by the [[Julian calendar]] still in use in [[Russia]] at that time). Soon after, they banned the Mensheviks (and all other opposition political organizations) and changed their own name to the ""Communist Party"".
 
-...
+The [[Leninism|Marxist-Leninist]] structure of the CPSU was copied by many other [[Communist Party|Communist parties]] ''(c.f.)''.
 
-The Marxist-Leninist structure of the CPSU was copied by many other communist parties such as the [[Chinese Communist Party]].
+In February of [[1990]], the CPSU called for the end of its constitutional guarantee of power. In March, the [[Congress of Peoples Deputies]] repealed Article Six of the Soviet Constitution, which had guaranteed monopoly political power for the party.
 
-In February 1990 the CPSU called for the end of its constitutional guarantee of power. In March, the [[Congress of Peoples Deputies]] repealed Article Six of the Soviet Constitution, which had guaranteed monopoly political power for the party.
+After the [[collapse of the Soviet Union]], the organization became known as the [[Communist Party of the Russian Federation]].
 
-Currently the Communist Party of the Russian Federation.
-
-See also: [[Organization of the Communist Party of the USSR]], [[Communist Party]], [[Soviet Union]]
+''See also:'' [[Organization of the Communist Party of the USSR]], [[Communist Party]], [[Soviet Union]]","copyediting, new info",Kwertii,2003-01-09T03:35:30Z,"Changed the description of the Communist Party's history, including details about its factions, power dynamics, and subsequent name change after the Soviet Union's collapse.

Not Weaponised – The changes provide historical context and factual information about the Communist Party without employing any weaponised narratives or terms related to cultural heritage.",Not Weaponised
"#REDIRECT [[Communist Party of the Soviet Union]]

","--- 
+++ 
@@ -8,7 +8,7 @@
 
 In February of [[1990]], the CPSU called for the end of its constitutional guarantee of power. In March, the [[Congress of Peoples Deputies]] repealed Article Six of the [[Soviet Constitution]], which had guaranteed monopoly political power for the party.
 
-Following the August coup in 1991, the CPSU was banned by Boris Yeltsin on all Russian soil. The KGB was disbanded as were other CPSU-related agencies and organisations. Yeltsin's action was later declared unconstitutional but by this time the USSR had ceased to exist.
+Following the [[August coup]] in 1991, the CPSU was banned by [[Boris Yeltsin]] on all [[Russian]] soil. The [[KGB]] was disbanded as were other CPSU-related agencies and organisations. Yeltsin's action was later declared unconstitutional but by this time the USSR had ceased to exist.
 
 After the [[collapse of the Soviet Union]], the organization became known as the [[Communist Party of the Russian Federation]].
 ",,217.136.23.14,2004-01-05T18:38:42Z,"Rephrased the phrase ""August coup"" to include brackets around it.

Not Weaponised. The change is a minor formatting adjustment that does not alter the meaning or introduce any weaponised language.",Not Weaponised
"#REDIRECT [[Communist Party of the Soviet Union]]

","--- 
+++ 
@@ -1,2 +1,14 @@
-#REDIRECT [[Communist Party of the Soviet Union]]
+Political party formed in 1898 as the Russian Social Democratic Labor Party.
 
+
+
+...
+
+
+
+In February 1990 the CPSU called for the end of its constitutional guarantee of power. In March, the [[Congress of Peoples Deputies]] repealed Article six of the Soviet Constitution, which had guaranteed monopoly political power for the party/
+
+
+
+Currently the Communist Party of the Russian Federation.
+",*,62.253.64.xxx,2001-11-29T13:57:41Z,"Changed the content from a redirect to a detailed description of the Communist Party, including its historical context and current status.

Not Weaponised. The changes provide historical information without employing any politically charged language or narratives that could be seen as weaponizing cultural heritage.",Not Weaponised
