initial_version,changed_version,comment,user,date,llm_output,weaponised
"The Evangelical Presbyterian Church of Ukraine was particuarlized as an independent denomination on April 16th, 2008.  At the time of particuarlization, 8 fully fledged Presbyterian Churches were active across Ukraine.

Partner Organizations include the 
The Evangelical Reformed Seminary of Ukraine[http://evrefsem.com/cross/]
and Mission to The World [http://www.mtwukraine.org/index.php?option=com_wrapper&Itemid=71]
Churches within the denomination include: Nikolayev church [http://nikchurch.narod.ru/]
Izmail Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74],
	Odessa Church [http://www.odessachurch.org]
Solomensky Reformed Presbyterian Church [http://www.sprchurch.org.ua/]
Belgorod Church [http://www.christianclinic.org/cgi-bin/clinic.cgi?category=300&]
Kharkov Church [http://www.kharkov-church.narod.ru/]
Kherson Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74]
	Holy Trinity Church [http://holytrinity.inet-ua.ws/index-eng.htm]","--- 
+++ 
@@ -13,3 +13,4 @@
 	The Presbyterian Church of the Holy Trinity (Kiev) [http://holytrinity.inet-ua.ws/index-eng.htm]
 
 [[Category: Christianity-related_lists]]
+[[Category: Presbyterian denominations]]",,Alister T,2008-06-26T08:44:54Z,"Added a category tag for ""Presbyterian denominations"".

Not Weaponised – The change is a simple categorization addition that does not carry any political or cultural implications.",Not Weaponised
"The Evangelical Presbyterian Church of Ukraine was particuarlized as an independent denomination on April 16th, 2008.  At the time of particuarlization, 8 fully fledged Presbyterian Churches were active across Ukraine.

Partner Organizations include the 
The Evangelical Reformed Seminary of Ukraine[http://evrefsem.com/cross/]
and Mission to The World [http://www.mtwukraine.org/index.php?option=com_wrapper&Itemid=71]
Churches within the denomination include: Nikolayev church [http://nikchurch.narod.ru/]
Izmail Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74],
	Odessa Church [http://www.odessachurch.org]
Solomensky Reformed Presbyterian Church [http://www.sprchurch.org.ua/]
Belgorod Church [http://www.christianclinic.org/cgi-bin/clinic.cgi?category=300&]
Kharkov Church [http://www.kharkov-church.narod.ru/]
Kherson Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74]
	Holy Trinity Church [http://holytrinity.inet-ua.ws/index-eng.htm]","--- 
+++ 
@@ -12,4 +12,4 @@
 Kherson Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74]
 	The Presbyterian Church of the Holy Trinity (Kiev) [http://holytrinity.inet-ua.ws/index-eng.htm]
 
-[[Category: prebyterianism]]
+[[Category: Christianity-related_lists]]",,Monfortmonfort,2008-05-15T08:40:51Z,"Changed the category from ""prebyterianism"" to ""Christianity-related_lists"".

Not Weaponised – The change is a categorization adjustment that does not carry any political or cultural implications.",Not Weaponised
"The Evangelical Presbyterian Church of Ukraine was particuarlized as an independent denomination on April 16th, 2008.  At the time of particuarlization, 8 fully fledged Presbyterian Churches were active across Ukraine.

Partner Organizations include the 
The Evangelical Reformed Seminary of Ukraine[http://evrefsem.com/cross/]
and Mission to The World [http://www.mtwukraine.org/index.php?option=com_wrapper&Itemid=71]
Churches within the denomination include: Nikolayev church [http://nikchurch.narod.ru/]
Izmail Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74],
	Odessa Church [http://www.odessachurch.org]
Solomensky Reformed Presbyterian Church [http://www.sprchurch.org.ua/]
Belgorod Church [http://www.christianclinic.org/cgi-bin/clinic.cgi?category=300&]
Kharkov Church [http://www.kharkov-church.narod.ru/]
Kherson Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74]
	Holy Trinity Church [http://holytrinity.inet-ua.ws/index-eng.htm]",Initial revision,"[[WP:Automatic edit summaries|←]]Created page with 'The Evangelical Presbyterian Church of Ukraine was particuarlized as an independent denomination on April 16th, 2008.  At the time of particuar...'",Monfortmonfort,2008-03-24T07:55:07Z,"Added initial revision of the article.

Not Weaponised. The content appears to be a neutral introduction to a religious denomination without any language that could be interpreted as weaponizing cultural heritage.",Not Weaponised
"The Evangelical Presbyterian Church of Ukraine was particuarlized as an independent denomination on April 16th, 2008.  At the time of particuarlization, 8 fully fledged Presbyterian Churches were active across Ukraine.

Partner Organizations include the 
The Evangelical Reformed Seminary of Ukraine[http://evrefsem.com/cross/]
and Mission to The World [http://www.mtwukraine.org/index.php?option=com_wrapper&Itemid=71]
Churches within the denomination include: Nikolayev church [http://nikchurch.narod.ru/]
Izmail Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74],
	Odessa Church [http://www.odessachurch.org]
Solomensky Reformed Presbyterian Church [http://www.sprchurch.org.ua/]
Belgorod Church [http://www.christianclinic.org/cgi-bin/clinic.cgi?category=300&]
Kharkov Church [http://www.kharkov-church.narod.ru/]
Kherson Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74]
	Holy Trinity Church [http://holytrinity.inet-ua.ws/index-eng.htm]","--- 
+++ 
@@ -1,4 +1,4 @@
-The Evangelical Presbyterian Church of Ukraine was particuarlized as an independent denomination on April 16th, 2008.  At the time of particuarlization, 8 fully fledged Presbyterian Churches were active across Ukraine.
+The Evangelical Presbyterian Church of Ukraine was particuarlized as an independent denomination on April 16th, 2008.{{fact}}  At the time of particuarlization, 8 fully fledged Presbyterian Churches were active across Ukraine.
 
 Partner Organizations include the 
 The Evangelical Reformed Seminary of Ukraine[http://evrefsem.com/cross/]",this date hasn't even happened yet,Tb,2008-03-24T15:08:54Z,"Changed the text by adding a citation request (""{{fact}}"") after the date mentioned.

Not Weaponised – The change does not introduce any language or narrative that could be interpreted as weaponizing cultural heritage; it simply requests a citation for a specific claim.",Not Weaponised
"The Evangelical Presbyterian Church of Ukraine was particuarlized as an independent denomination on April 16th, 2008.  At the time of particuarlization, 8 fully fledged Presbyterian Churches were active across Ukraine.

Partner Organizations include the 
The Evangelical Reformed Seminary of Ukraine[http://evrefsem.com/cross/]
and Mission to The World [http://www.mtwukraine.org/index.php?option=com_wrapper&Itemid=71]
Churches within the denomination include: Nikolayev church [http://nikchurch.narod.ru/]
Izmail Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74],
	Odessa Church [http://www.odessachurch.org]
Solomensky Reformed Presbyterian Church [http://www.sprchurch.org.ua/]
Belgorod Church [http://www.christianclinic.org/cgi-bin/clinic.cgi?category=300&]
Kharkov Church [http://www.kharkov-church.narod.ru/]
Kherson Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74]
	Holy Trinity Church [http://holytrinity.inet-ua.ws/index-eng.htm]","--- 
+++ 
@@ -13,4 +13,3 @@
 	The Presbyterian Church of the Holy Trinity (Kiev) [http://holytrinity.inet-ua.ws/index-eng.htm]
 
 [[Category: Christianity-related_lists]]
-[[Category: Reformed Presbyterian Church (denominational group)]]",This isn't in the same group,Nyttend,2008-06-14T16:57:09Z,"Removed the category ""Reformed Presbyterian Church (denominational group)"".

Not Weaponised. The change appears to be a categorization adjustment without any language that suggests a political or cultural narrative.",Not Weaponised
"The Evangelical Presbyterian Church of Ukraine was particuarlized as an independent denomination on April 16th, 2008.  At the time of particuarlization, 8 fully fledged Presbyterian Churches were active across Ukraine.

Partner Organizations include the 
The Evangelical Reformed Seminary of Ukraine[http://evrefsem.com/cross/]
and Mission to The World [http://www.mtwukraine.org/index.php?option=com_wrapper&Itemid=71]
Churches within the denomination include: Nikolayev church [http://nikchurch.narod.ru/]
Izmail Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74],
	Odessa Church [http://www.odessachurch.org]
Solomensky Reformed Presbyterian Church [http://www.sprchurch.org.ua/]
Belgorod Church [http://www.christianclinic.org/cgi-bin/clinic.cgi?category=300&]
Kharkov Church [http://www.kharkov-church.narod.ru/]
Kherson Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74]
	Holy Trinity Church [http://holytrinity.inet-ua.ws/index-eng.htm]","--- 
+++ 
@@ -1,3 +1,5 @@
+{{deadend|date=May 2008}}
+
 The Evangelical Presbyterian Church of Ukraine (EPCU) was recognised as an independent national denomination on April 16th, 2008 in Odessa, Ukraine.[http://www.epcu.org.ua/]  As of the time of organisation, the denomination is comprised of one presbytery of 3 particularised churches and 8 mission churches located across Ukraine.
 
 Partner Organizations include the 
@@ -11,3 +13,5 @@
 Kharkov Church [http://www.kharkov-church.narod.ru/]
 Kherson Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74]
 	The Presbyterian Church of the Holy Trinity (Kiev) [http://holytrinity.inet-ua.ws/index-eng.htm]
+
+{{Uncategorized|date=May 2008}}","Tagging and Fixing, added [[:Category:Category needed|uncategorised]] tag, added [[:Category:Dead-end pages|deadend]] tag",Addbot,2008-05-10T15:24:03Z,"Added categorization tags for ""deadend"" and ""uncategorised"".

Not Weaponised. The changes are administrative in nature, focusing on tagging for organization purposes without introducing any politically charged language or narratives.",Not Weaponised
"The Evangelical Presbyterian Church of Ukraine was particuarlized as an independent denomination on April 16th, 2008.  At the time of particuarlization, 8 fully fledged Presbyterian Churches were active across Ukraine.

Partner Organizations include the 
The Evangelical Reformed Seminary of Ukraine[http://evrefsem.com/cross/]
and Mission to The World [http://www.mtwukraine.org/index.php?option=com_wrapper&Itemid=71]
Churches within the denomination include: Nikolayev church [http://nikchurch.narod.ru/]
Izmail Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74],
	Odessa Church [http://www.odessachurch.org]
Solomensky Reformed Presbyterian Church [http://www.sprchurch.org.ua/]
Belgorod Church [http://www.christianclinic.org/cgi-bin/clinic.cgi?category=300&]
Kharkov Church [http://www.kharkov-church.narod.ru/]
Kherson Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74]
	Holy Trinity Church [http://holytrinity.inet-ua.ws/index-eng.htm]","--- 
+++ 
@@ -12,4 +12,4 @@
 Kherson Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74]
 	The Presbyterian Church of the Holy Trinity (Kiev) [http://holytrinity.inet-ua.ws/index-eng.htm]
 
-[[Category: Religion, Ukraine, denominations]]
+[[Category: Religion; Ukraine; Denominations]]",,Monfortmonfort,2008-05-15T08:36:57Z,"Changed the category formatting from ""Religion, Ukraine, denominations"" to ""Religion; Ukraine; Denominations"".

Not Weaponised. The change is purely structural and does not introduce any loaded language or narratives related to cultural heritage.",Not Weaponised
"The Evangelical Presbyterian Church of Ukraine was particuarlized as an independent denomination on April 16th, 2008.  At the time of particuarlization, 8 fully fledged Presbyterian Churches were active across Ukraine.

Partner Organizations include the 
The Evangelical Reformed Seminary of Ukraine[http://evrefsem.com/cross/]
and Mission to The World [http://www.mtwukraine.org/index.php?option=com_wrapper&Itemid=71]
Churches within the denomination include: Nikolayev church [http://nikchurch.narod.ru/]
Izmail Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74],
	Odessa Church [http://www.odessachurch.org]
Solomensky Reformed Presbyterian Church [http://www.sprchurch.org.ua/]
Belgorod Church [http://www.christianclinic.org/cgi-bin/clinic.cgi?category=300&]
Kharkov Church [http://www.kharkov-church.narod.ru/]
Kherson Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74]
	Holy Trinity Church [http://holytrinity.inet-ua.ws/index-eng.htm]","--- 
+++ 
@@ -1,4 +1,4 @@
-The Evangelical Presbyterian Church of Ukraine (EPCU) was recognised as an independent national denomination on April 16th, 2008 in Odessa, Ukraine.[http://www.epcu.org.ua/]  As of the time of organisation, the denomination is comprised of one presbytery of 3 particularised churches and 8 mission churches located across Ukraine.
+The Evangelical Presbyterian Church of Ukraine (EPCU) was recognised as an independent national denomination on April 16th, 2008 in Odessa, Ukraine.[http://www.epcu.org.ua/]  As of the time of organisation, the denomination comprises one presbytery of 3 particularised churches and 8 mission churches located across Ukraine.
 
 Partner Organizations include the 
 The Evangelical Reformed Seminary of Ukraine[http://evrefsem.com/cross/]","fix ""comprised of""",Giraffedata,2008-05-26T06:28:26Z,"Rephrased ""comprised of"" to ""comprises"".

Not Weaponised – The change is a grammatical correction and does not introduce any cultural or political narratives.",Not Weaponised
"The Evangelical Presbyterian Church of Ukraine was particuarlized as an independent denomination on April 16th, 2008.  At the time of particuarlization, 8 fully fledged Presbyterian Churches were active across Ukraine.

Partner Organizations include the 
The Evangelical Reformed Seminary of Ukraine[http://evrefsem.com/cross/]
and Mission to The World [http://www.mtwukraine.org/index.php?option=com_wrapper&Itemid=71]
Churches within the denomination include: Nikolayev church [http://nikchurch.narod.ru/]
Izmail Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74],
	Odessa Church [http://www.odessachurch.org]
Solomensky Reformed Presbyterian Church [http://www.sprchurch.org.ua/]
Belgorod Church [http://www.christianclinic.org/cgi-bin/clinic.cgi?category=300&]
Kharkov Church [http://www.kharkov-church.narod.ru/]
Kherson Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74]
	Holy Trinity Church [http://holytrinity.inet-ua.ws/index-eng.htm]","--- 
+++ 
@@ -1,4 +1,4 @@
-The Evangelical Presbyterian Church of Ukraine was particuarlized as an independent denomination on April 16th, 2008.{{fact}}  At the time of particuarlization, 8 fully fledged Presbyterian Churches were active across Ukraine.
+The Evangelical Presbyterian Church of Ukraine was particuarlized as an independent denomination on April 16th, 2008.{{Fact|date=March 2008}}  At the time of particuarlization, 8 fully fledged Presbyterian Churches were active across Ukraine.
 
 Partner Organizations include the 
 The Evangelical Reformed Seminary of Ukraine[http://evrefsem.com/cross/]",Date the maintenance tags or general  fixes,SmackBot,2008-03-26T19:12:44Z,"Changed the citation format for a fact regarding the Evangelical Presbyterian Church of Ukraine.

Not Weaponised – The change is a standard maintenance update to include a date in the citation, which does not carry any cultural or political implications.",Not Weaponised
"The Evangelical Presbyterian Church of Ukraine was particuarlized as an independent denomination on April 16th, 2008.  At the time of particuarlization, 8 fully fledged Presbyterian Churches were active across Ukraine.

Partner Organizations include the 
The Evangelical Reformed Seminary of Ukraine[http://evrefsem.com/cross/]
and Mission to The World [http://www.mtwukraine.org/index.php?option=com_wrapper&Itemid=71]
Churches within the denomination include: Nikolayev church [http://nikchurch.narod.ru/]
Izmail Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74],
	Odessa Church [http://www.odessachurch.org]
Solomensky Reformed Presbyterian Church [http://www.sprchurch.org.ua/]
Belgorod Church [http://www.christianclinic.org/cgi-bin/clinic.cgi?category=300&]
Kharkov Church [http://www.kharkov-church.narod.ru/]
Kherson Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74]
	Holy Trinity Church [http://holytrinity.inet-ua.ws/index-eng.htm]","--- 
+++ 
@@ -10,7 +10,7 @@
 Belgorod-Dniestrovskii Church [http://www.christianclinic.org/cgi-bin/clinic.cgi?category=300&]
 Kharkov Church [http://www.kharkov-church.narod.ru/]
 Kherson Church [http://www.mtwukraine.org/index.php?option=com_content&task=view&id=21&Itemid=74]
-	The Presbyterian Church of the Holy Trinity (Kiev) [http://holytrinity.inet-ua.ws/index-eng.htm]
+	The Presbyterian Church of the Holy Trinity (Kiev) [http://holytrinity.com.ua/]
 
 [[Category: Christianity-related_lists]]
 [[Category: Presbyterian denominations]]",updated link,Monfortmonfort,2008-08-15T07:13:15Z,"Changed the link for ""The Presbyterian Church of the Holy Trinity (Kiev)"" from an outdated URL to a new one.

Not Weaponised. The change is a simple update of a hyperlink and does not contain any language or narrative that could be interpreted as weaponising cultural heritage.",Not Weaponised
