article,user,date,comment,llm_output,weaponised,year,user_type
COVID-19 pandemic in Ukraine,Agathoclea,2020-03-11T20:56:06Z,removed [[Category:2019–20 coronavirus outbreak by country and territory]]; added [[Category:2019–20 coronavirus pandemic by country and territory]] using [[WP:HC|HotCat]],"Changed the category from ""2019–20 coronavirus outbreak by country and territory"" to ""2019–20 coronavirus pandemic by country and territory"".

Not Weaponised. The change is a technical adjustment in categorization related to the COVID-19 pandemic and does not invoke any cultural or political narratives.",Not Weaponised,2020,Registered
History of Ukraine,Icey,2006-05-21T14:09:22Z,/* Further reading */ Disambiguation link repair - [[Wikipedia:Disambiguation pages with links|You can help!]],"Changed the reference format for Andrew Wilson's name from a plain link to a disambiguated link.

Not Weaponised – The change is a technical edit for clarity and does not introduce any weaponised language or narratives.",Not Weaponised,2006,Registered
History of Ukraine,Irpen,2006-06-06T21:00:08Z,"this whole section doesn't belong here, spearate article would be fine though, moved to talk in modified form","Removed a section titled ""Ukraine and Nuclear Weapons"" which discussed Ukraine's denuclearization and its implications.

Not Weaponised – The removed content does not contain language or narratives that directly weaponize cultural heritage or promote a specific political agenda. It appears to be a factual recounting of historical events without inflammatory language.",Not Weaponised,2006,Registered
History of Ukraine,193.60.161.100,2006-05-23T11:39:26Z,,"Changed ""beyond"" to ""gayniss"" in the context of Slavic tribes expanding over Ukraine.

Not Weaponised – The change appears to be a typographical error or a non-standard term rather than a deliberate attempt to alter the narrative regarding cultural heritage.",Not Weaponised,2006,Anonymous (IP)
History of Ukraine,Irpen,2006-06-14T17:49:44Z,revert to myself,"Removed a POV (point of view) section regarding the number of Holodomor victims and their estimates.

Not Weaponised. The change appears to be a removal of a section that indicates a lack of consensus on a historical event, which does not inherently promote a specific narrative or weaponize cultural heritage.",Not Weaponised,2006,Registered
History of Ukraine,AndriyK,2006-06-14T17:18:05Z,/* Soviet Ukraine */,"Added a POV (point of view) section regarding the number of Holodomor victims, indicating that the estimates are not generally agreed upon.

Not Weaponised – The addition of a POV section reflects a call for neutrality and acknowledges differing estimates without promoting a specific narrative or agenda.",Not Weaponised,2006,Registered
History of Ukraine,Dbachmann,2006-04-11T19:23:54Z,/* Prehistory */,"The change made is a rephrasing of the historical context regarding the arrival of the Goths and the subsequent expansion of Slavic tribes in Ukraine. Specifically, the revision clarifies the timeline and relationship between the Goths, Huns, and the Kiev culture, and it adds a note about the possible emergence of Slavic tribes from the remnants of the Kiev culture.

Not Weaponised. The changes are historical clarifications and do not employ language that could be interpreted as weaponizing cultural heritage.",Not Weaponised,2006,Registered
History of Ukraine,144.138.170.133,2006-07-17T07:15:36Z,,"Changed the year of independence from 1991 to 1997.

Not Weaponised. The change appears to be a factual correction regarding the date of independence, without any loaded language or narratives that could be considered weaponisation of cultural heritage.",Not Weaponised,2006,Anonymous (IP)
History of Ukraine,Irpen,2006-06-14T15:11:52Z,"read Holodomor, numbers are discussed","The change made in this revision is the addition of specific figures regarding the number of people who starved during the Holodomor, changing ""Several millions starved to death"" to ""Between 3 and 3.5 million starved to death.""

Weaponised. The revision provides a more precise figure that could be used to emphasize the severity of the famine, which is a sensitive topic in the context of Ukrainian history and identity. This specificity can be seen as an attempt to reinforce narratives surrounding the Holodomor as a deliberate act of genocide, which is a significant aspect of Ukraine's cultural heritage and historical memory.",Weaponised,2006,Registered
History of Ukraine,141.149.187.165,2006-08-22T20:44:34Z,/* Ukraine in World War II */,"The change made in this revision is the addition of the phrase ""it must be remembered,"" which emphasizes the resistance of Ukrainians against the Nazi onslaught. 

Weaponised: Not Weaponised. The addition serves to highlight a historical perspective without employing divisive or inflammatory language.",Weaponised,2006,Anonymous (IP)
