userid,user,pageid,revid,parentid,ns,title,timestamp,comment,size,username,top,texthidden,new
0,94.178.235.125,63443005,947331379,947330579,3,User talk:94.178.235.125,2020-03-25T17:42:19Z,,2539,94.178.235.125,,,
0,94.178.235.125,3741656,947331178,947330994,4,Wikipedia:Administrators' noticeboard/Edit warring,2020-03-25T17:40:47Z,/* User:94.178.235.125 reported by User:CaradhrasAiguo (Result: ) */,23079,94.178.235.125,,,
0,94.178.235.125,5137507,947329993,947329917,4,Wikipedia:Administrators' noticeboard/Incidents,2020-03-25T17:31:53Z,/* Personal attack from CaradhrasAiguo */,257692,94.178.235.125,,,
0,94.178.235.125,5137507,947329917,947329727,4,Wikipedia:Administrators' noticeboard/Incidents,2020-03-25T17:31:24Z,/* Personal attack */,257692,94.178.235.125,,,
0,94.178.235.125,45297870,947329781,947329455,3,User talk:CaradhrasAiguo,2020-03-25T17:30:30Z,/* Notice */ new section,15995,94.178.235.125,,,
0,94.178.235.125,5137507,947329727,947328062,4,Wikipedia:Administrators' noticeboard/Incidents,2020-03-25T17:30:04Z,/* Personal attack */ new section,257673,94.178.235.125,,,
0,94.178.235.125,352651,947328266,947327922,4,Wikipedia:Requests for page protection,2020-03-25T17:20:17Z,Undid revision 947327922 by [[Special:Contributions/Hell in a Bucket|Hell in a Bucket]] ([[User talk:Hell in a Bucket|talk]]) - do not remove my response to that user please,12891,94.178.235.125,,,
0,94.178.235.125,352651,947327783,947327694,4,Wikipedia:Requests for page protection,2020-03-25T17:16:56Z,/* Candidates Tournament 2020 */,12891,94.178.235.125,,,
0,94.178.235.125,352651,947327694,947327553,4,Wikipedia:Requests for page protection,2020-03-25T17:16:32Z,/* Candidates Tournament 2020 */,12891,94.178.235.125,,,
0,94.178.235.125,352651,947327553,947327392,4,Wikipedia:Requests for page protection,2020-03-25T17:15:47Z,/* Candidates Tournament 2020 */,12594,94.178.235.125,,,
0,94.178.235.125,352651,947327392,947327068,4,Wikipedia:Requests for page protection,2020-03-25T17:14:51Z,/* Candidates Tournament 2020 */,12545,94.178.235.125,,,
0,94.178.235.125,352651,947326744,947326463,4,Wikipedia:Requests for page protection,2020-03-25T17:11:27Z,DO NOT REMOVE my posts,11575,94.178.235.125,,,
0,94.178.235.125,352651,947326174,947325733,4,Wikipedia:Requests for page protection,2020-03-25T17:08:11Z,/* Candidates Tournament 2020 */,11575,94.178.235.125,,,
0,94.178.235.125,1952670,947321479,947321322,4,Wikipedia:Administrator intervention against vandalism,2020-03-25T16:35:44Z,"do not remove my posts, again",4313,94.178.235.125,,,
0,94.178.235.125,1952670,947321203,947320987,4,Wikipedia:Administrator intervention against vandalism,2020-03-25T16:33:44Z,"Undid revision 947320987 by [[Special:Contributions/CaradhrasAiguo|CaradhrasAiguo]] ([[User talk:CaradhrasAiguo|talk]]) - do not remove my posts, again",4144,94.178.235.125,,,
0,94.178.235.125,1952670,947319554,947319409,4,Wikipedia:Administrator intervention against vandalism,2020-03-25T16:22:40Z,do not remove my posts (again),4338,94.178.235.125,,,
0,94.178.235.125,1952670,947318931,947318925,4,Wikipedia:Administrator intervention against vandalism,2020-03-25T16:19:13Z,restored my posts again. that user removed my posts 10 times,5077,94.178.235.125,,,
0,94.178.235.125,352651,947318613,947318575,4,Wikipedia:Requests for page protection,2020-03-25T16:16:58Z,/* Candidates Tournament 2020 */,11794,94.178.235.125,,,
0,94.178.235.125,352651,947318575,947318479,4,Wikipedia:Requests for page protection,2020-03-25T16:16:44Z,/* Candidates Tournament 2020 */ restored my post again. that user removed my post 9 times,11788,94.178.235.125,,,
0,94.178.235.125,60795985,947317917,947317764,0,Candidates Tournament 2020–2021,2020-03-25T16:12:33Z,no any consensus on that thread. places are sources on chess.com,36150,94.178.235.125,,,
0,94.178.235.125,63443005,947316868,947316798,3,User talk:94.178.235.125,2020-03-25T16:06:37Z,nonsense,2539,94.178.235.125,,,
0,94.178.235.125,352651,947316609,947316477,4,Wikipedia:Requests for page protection,2020-03-25T16:04:52Z,do not remove my posts (six times),11191,94.178.235.125,,,
0,94.178.235.125,63443005,947316536,947316376,3,User talk:94.178.235.125,2020-03-25T16:04:22Z,nonsense. there were no any blanking from my side,2539,94.178.235.125,,,
0,94.178.235.125,352651,947316241,947316083,4,Wikipedia:Requests for page protection,2020-03-25T16:02:23Z,do not remove my posts (five times),11191,94.178.235.125,,,
0,94.178.235.125,1952670,947315964,947315392,4,Wikipedia:Administrator intervention against vandalism,2020-03-25T16:00:29Z,/* User-reported */ user CaradhrasAiguo removed the my posts twice. its a very bad idea,3357,94.178.235.125,,,
0,94.178.235.125,352651,947315628,947314825,4,Wikipedia:Requests for page protection,2020-03-25T15:58:21Z,/* Candidates Tournament 2020 */,11191,94.178.235.125,,,
0,94.178.235.125,60795985,947314991,947314662,0,Candidates Tournament 2020–2021,2020-03-25T15:54:22Z,fixed to correct places,36150,94.178.235.125,,,
0,94.178.235.125,1952670,947314750,947314477,4,Wikipedia:Administrator intervention against vandalism,2020-03-25T15:52:39Z,,2700,94.178.235.125,,,
0,94.178.235.125,1952670,947314477,947314213,4,Wikipedia:Administrator intervention against vandalism,2020-03-25T15:50:56Z,restored my post,2449,94.178.235.125,,,
0,94.178.235.125,45297870,947313843,947313715,3,User talk:CaradhrasAiguo,2020-03-25T15:46:19Z,Undid revision 947313715 by [[Special:Contributions/CaradhrasAiguo|CaradhrasAiguo]] ([[User talk:CaradhrasAiguo|talk]]),13384,94.178.235.125,,,
0,94.178.235.125,1952670,947313692,947313564,4,Wikipedia:Administrator intervention against vandalism,2020-03-25T15:45:18Z,Undid revision 947313564 by [[Special:Contributions/CaradhrasAiguo|CaradhrasAiguo]] ([[User talk:CaradhrasAiguo|talk]]) LOL do not remove my posts,2060,94.178.235.125,,,
0,94.178.235.125,1952670,947313538,947313189,4,Wikipedia:Administrator intervention against vandalism,2020-03-25T15:44:12Z,/* User-reported */,2060,94.178.235.125,,,
0,94.178.235.125,63443005,947312927,947312876,3,User talk:94.178.235.125,2020-03-25T15:40:20Z,Undid revision 947312876 by [[Special:Contributions/CaradhrasAiguo|CaradhrasAiguo]] ([[User talk:CaradhrasAiguo|talk]]),2539,94.178.235.125,,,
0,94.178.235.125,63443005,947312709,947312415,3,User talk:94.178.235.125,2020-03-25T15:38:56Z,fake. its a sourced info (chess.com is a source),2539,94.178.235.125,,,
0,94.178.235.125,60795985,947311868,947311736,0,Candidates Tournament 2020–2021,2020-03-25T15:33:09Z,fixed places,36034,94.178.235.125,,,
0,94.178.235.125,60795985,947311660,947311563,0,Candidates Tournament 2020–2021,2020-03-25T15:31:55Z,restored sourced standings,36034,94.178.235.125,,,
0,94.178.235.125,60795985,947311497,947311392,0,Candidates Tournament 2020–2021,2020-03-25T15:30:48Z,/* Standings */ by wins,36034,94.178.235.125,,,
0,94.178.235.125,60795985,947311382,947311195,0,Candidates Tournament 2020–2021,2020-03-25T15:30:06Z,Undid revision 947311195 by [[Special:Contributions/156.204.99.19|156.204.99.19]] ([[User talk:156.204.99.19|talk]]) - by H2H,36057,94.178.235.125,,,
0,94.178.235.125,63443005,947310960,947310908,3,User talk:94.178.235.125,2020-03-25T15:27:20Z,Undid revision 947310908 by [[Special:Contributions/CaradhrasAiguo|CaradhrasAiguo]] ([[User talk:CaradhrasAiguo|talk]]),2539,94.178.235.125,,,
0,94.178.235.125,63443005,947310730,947310533,3,User talk:94.178.235.125,2020-03-25T15:25:32Z,read [[WP:V]] first,2539,94.178.235.125,,,
0,94.178.235.125,60795985,947310645,947310467,0,Candidates Tournament 2020–2021,2020-03-25T15:24:55Z,wrong coefs,36053,94.178.235.125,,,
0,94.178.235.125,45297870,947310447,946976681,3,User talk:CaradhrasAiguo,2020-03-25T15:23:24Z,,13098,94.178.235.125,,,
0,94.178.235.125,60795985,947309926,947309911,0,Candidates Tournament 2020–2021,2020-03-25T15:19:36Z,/* Standings */ +source for TB,36116,94.178.235.125,,,
0,94.178.235.125,60795985,947309683,947309120,0,Candidates Tournament 2020–2021,2020-03-25T15:17:53Z,Do not remove sourced tiebreaker rankings (chess.com) unless consensus emerges on talk,35995,94.178.235.125,,,
0,94.178.235.125,60795985,947308461,947308305,0,Candidates Tournament 2020–2021,2020-03-25T15:09:21Z,,35995,94.178.235.125,,,
0,94.178.235.125,60795985,947308074,947308035,0,Candidates Tournament 2020–2021,2020-03-25T15:06:51Z,/* Points by round */,35995,94.178.235.125,,,
0,94.178.235.125,60795985,947308035,947307926,0,Candidates Tournament 2020–2021,2020-03-25T15:06:36Z,/* Standings */,35999,94.178.235.125,,,
0,94.178.235.125,60795985,947307926,947307771,0,Candidates Tournament 2020–2021,2020-03-25T15:05:56Z,/* Points by round */,36003,94.178.235.125,,,
0,94.178.235.125,60795985,947307771,947307728,0,Candidates Tournament 2020–2021,2020-03-25T15:05:04Z,/* Standings */,36023,94.178.235.125,,,
0,94.178.235.125,60795985,947307728,947307644,0,Candidates Tournament 2020–2021,2020-03-25T15:04:47Z,/* Standings */,36031,94.178.235.125,,,
0,94.178.235.125,60795985,947307644,947307587,0,Candidates Tournament 2020–2021,2020-03-25T15:04:15Z,/* Standings */,36035,94.178.235.125,,,
0,94.178.235.125,60795985,947307587,947307376,0,Candidates Tournament 2020–2021,2020-03-25T15:03:53Z,/* Standings */,36050,94.178.235.125,,,
0,94.178.235.125,60795985,947306097,947305904,0,Candidates Tournament 2020–2021,2020-03-25T14:55:13Z,/* Standings */,36154,94.178.235.125,,,
0,94.178.235.125,21204233,947208553,946348753,0,Trailanga,2020-03-24T23:21:13Z,Undid revision 946348753 by [[Special:Contributions/2409:4060:31A:C495:6F73:4052:2E25:4AC2|2409:4060:31A:C495:6F73:4052:2E25:4AC2]] ([[User talk:2409:4060:31A:C495:6F73:4052:2E25:4AC2|talk]]),14681,94.178.235.125,,,
0,94.178.235.125,63463807,947207151,947138521,2,User:Colin.bested/sandbox,2020-03-24T23:08:29Z,/* References */,899,94.178.235.125,,,
0,94.178.235.125,55837995,947204284,938207516,0,Hantaviridae,2020-03-24T22:42:30Z,catmain,2062,94.178.235.125,,,
0,94.178.235.125,41806768,947201717,894293728,14,Category:Food and drink company founders,2020-03-24T22:22:46Z,,159,94.178.235.125,,,
0,94.178.235.125,57312900,947201423,855436775,14,Category:Food and drink companies by time,2020-03-24T22:20:20Z,,89,94.178.235.125,,,
0,94.178.235.125,58652433,947201288,915473257,0,Banham Poultry,2020-03-24T22:19:19Z,,2101,94.178.235.125,,,
0,94.178.235.125,63386545,947198492,947198453,14,Category:Country subdivisions lockdowns,2020-03-24T21:57:12Z,,64,94.178.235.125,,,
0,94.178.235.125,63386545,947198453,945784667,14,Category:Country subdivisions lockdowns,2020-03-24T21:56:57Z,,73,94.178.235.125,,,
0,94.178.235.125,63457232,947197881,947196158,0,Ikaria wariootia,2020-03-24T21:53:24Z,subcat,4454,94.178.235.125,,,
0,94.178.235.125,62908756,947195347,937326160,14,Category:Istro-Romanian settlements,2020-03-24T21:35:02Z,subcat,177,94.178.235.125,,,
0,94.178.235.125,41492037,947195292,937379809,14,Category:Aromanian settlements,2020-03-24T21:34:34Z,subcat,160,94.178.235.125,,,
0,94.178.235.125,58771649,947195092,920946700,0,Nilotic settlement in East Africa,2020-03-24T21:33:14Z,/* References */,4079,94.178.235.125,,,
0,94.178.235.125,63392324,947194687,947126854,0,Malaysian movement control order,2020-03-24T21:30:29Z,subcat,26655,94.178.235.125,,,
0,94.178.235.125,63439873,947194496,947182766,0,Stay-at-home order,2020-03-24T21:29:15Z,/* References */,24830,94.178.235.125,,,
0,94.178.235.125,63452182,947193449,947192398,0,Economic impact of the COVID-19 pandemic in India,2020-03-24T21:21:24Z,/* References */,14084,94.178.235.125,,,
0,94.178.235.125,60795985,947051314,947012428,0,Candidates Tournament 2020–2021,2020-03-24T00:19:43Z,/* Standings */,36140,94.178.235.125,,,
0,94.178.235.125,63395770,946935960,945961036,14,Category:Nima Yooshij,2020-03-23T08:12:18Z,,453,94.178.235.125,,,
0,94.178.235.125,63439993,946935773,946811784,14,Category:Deaths from the COVID-19 pandemic in the United States,2020-03-23T08:09:20Z,,274,94.178.235.125,,,
0,94.178.235.125,63440014,946935721,946753097,14,Category:Deaths from the COVID-19 pandemic in South Korea,2020-03-23T08:08:34Z,,182,94.178.235.125,,,
