userid,name,editcount,registration,groups,emailable,gender
38910429,LSGH,59406,2020-04-02T10:23:20Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown
15458982,TheDraperyFalls,11312,2011-10-04T07:05:08Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male
2425663,Aleksandr Grigoryev,160546,2006-10-08T02:40:18Z,"['autoreviewer', 'extendedconfirmed', 'reviewer', '*', 'user', 'autoconfirmed']",,male
3132940,Toddy1,52165,2006-12-30T16:29:31Z,"['autoreviewer', 'extendedconfirmed', 'reviewer', 'rollbacker', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown
9761029,UP9,390,2009-05-25T17:33:35Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown
693352,Yulia Romero,69430,2006-01-21T22:40:45Z,"['autoreviewer', 'extendedconfirmed', 'reviewer', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown
69761,Irpen,32604,2004-06-03T04:10:48Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown
9847609,Seryo93,4843,2009-06-06T11:56:11Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male
86857,Dbachmann,227714,2004-07-21T10:44:35Z,"['*', 'user', 'autoconfirmed']",,unknown
61482,Mzajac,66545,2004-06-08T22:15:05Z,"['autoreviewer', 'extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown
