userid,name,editcount,registration,groups,emailable,gender,invalid,blockid,blockedby,blockedbyid,blockreason,blockedtimestamp,blockexpiry,blocknocreate,blockowntalk,blockedtimestampformatted,blockemail,blockpartial
847895.0,Agathoclea,41415.0,2006-01-27T20:41:08Z,"['sysop', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
200552.0,Icey,3213.0,2005-02-27T21:25:10Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
69761.0,Irpen,32604.0,2004-06-03T04:10:48Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
,193.60.161.100,,,,,,,,,,,,,,,,,
180985.0,AndriyK,3870.0,2005-01-31T12:56:50Z,"['extendedconfirmed', 'reviewer', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
86857.0,Dbachmann,227714.0,2004-07-21T10:44:35Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
,144.138.170.133,,,,,,,,,,,,,,,,,
,141.149.187.165,,,,,,,,,,,,,,,,,
,151.199.45.131,,,,,,,,,,,,,,,,,
163445.0,PoccilScript,26798.0,2005-01-04T21:04:21Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,
,83.36.179.195,,,,,,,,,,,,,,,,,
182971.0,Kralizec!,35877.0,2005-03-01T23:59:41Z,"['abusefilter', 'sysop', '*', 'user', 'autoconfirmed']",,male,,,,,,,,,,,,
657950.0,Khoikhoi,71605.0,2005-12-09T00:24:39Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
,24.183.100.38,,,,,,,,,,,,,,,,,
,68.252.50.194,,,,,,,,,,,,,,,,,
,64.228.148.177,,,,,,,,,,,,,,,,,
7903804.0,Citation bot,5985120.0,2008-09-21T02:34:54Z,"['bot', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
15549961.0,AshFox,244.0,2011-10-18T08:52:55Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
8138247.0,Noel baran,55967.0,2008-10-22T11:16:19Z,"['autoreviewer', 'extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,
3132940.0,Toddy1,52170.0,2006-12-30T16:29:31Z,"['autoreviewer', 'extendedconfirmed', 'reviewer', 'rollbacker', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,,
