userid,name,editcount,registration,groups,emailable,gender,blockid,blockedby,blockedbyid,blockreason,blockedtimestamp,blockexpiry,blocknocreate,blockemail,blockowntalk,blockedtimestampformatted
38910429,LSGH,59406,2020-04-02T10:23:20Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,
15458982,TheDraperyFalls,11308,2011-10-04T07:05:08Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,
9761029,UP9,390,2009-05-25T17:33:35Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,
3132940,Toddy1,51941,2006-12-30T16:29:31Z,"['autoreviewer', 'extendedconfirmed', 'reviewer', 'rollbacker', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,
848299,Illythr,8903,2006-01-27T22:40:20Z,"['extendedconfirmed', 'reviewer', 'rollbacker', '*', 'user', 'autoconfirmed']",,male,,,,,,,,,,
69761,Irpen,32604,2004-06-03T04:10:48Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,
20874,Criztu,3718,2004-08-10T10:32:01Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,
21492,Wetman,92066,2003-09-04T23:44:04Z,"['autoreviewer', 'extendedconfirmed', 'reviewer', 'rollbacker', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,
21256635,Euroserhi,113,2014-04-24T10:48:07Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,
9475,Bogdangiusca,39816,2003-05-01T19:30:26Z,"['*', 'user', 'autoconfirmed']",,male,8872449.0,GeneralizationsAreBad,24080262.0,Compromised account can also access own talk page and email...,2019-03-02T17:10:43Z,infinite,,,,"17:10, 2 March 2019"
