article,class,importance,contentious,protection,vital
COVID-19 pandemic in Ukraine,Start,low,True,semi,
History of Ukraine,B,top,False,extendedconfirmed,4.0
Crimea,C,top,True,extendedconfirmed,4.0
Russian annexation of Crimea,B,top,True,extendedconfirmed,5.0
2004 Ukrainian presidential election,C,high,False,unprotected,
Football in Ukraine,Start,mid,False,unprotected,
Bessarabia,B,high,False,unprotected,5.0
2014 pro-Russian unrest in Ukraine,C,high,True,unprotected,
Communist Party of the Soviet Union,C,top,False,unprotected,5.0
Christianity in Russia,C,high,False,unprotected,
History of Christianity in Ukraine,B,high,False,unprotected,
Flag of Ukraine,C,top,False,unprotected,
Alexander II of Russia,B,top,False,unprotected,4.0
Eastern Front (World War II),C,high,False,semi,4.0
Bukovina,C,high,False,unprotected,
Epiphanius I of Ukraine,C,,False,unprotected,
History of Crimea,B,mid,True,unprotected,5.0
Dissolution of the Soviet Union,C,top,False,unprotected,4.0
Crimean Tatars,B,top,False,unprotected,
Catherine the Great,C,top,False,unprotected,3.0
Culture of Ukraine,C,top,False,unprotected,
Abortion in Ukraine,C,mid,False,unprotected,
Christmas in Ukraine,Start,mid,False,unprotected,
Armed Forces of Ukraine,C,top,False,extendedconfirmed,
Demographics of Ukraine,C,top,False,unprotected,
History of Kyiv,B,high,True,unprotected,
Foreign relations of Ukraine,Start,top,False,unprotected,
Eastern Front (World War I),C,mid,False,unprotected,4.0
Economy of Ukraine,C,top,False,unprotected,
Galicia (Eastern Europe),C,high,False,semi,5.0
Euromaidan,C,top,True,extendedconfirmed,5.0
History of the Russian Orthodox Church,C,top,False,unprotected,
Government of Ukraine,Start,top,False,unprotected,
Geography of Ukraine,C,top,False,unprotected,
Censuses in Ukraine,Start,,False,unprotected,
Administrative divisions of Ukraine,B,top,False,unprotected,
Government of the Ukrainian People s Republic in exile,Start,,False,unprotected,
Education in Ukraine,C,top,False,unprotected,
2022 Russian invasion of Ukraine,B,top,False,extendedconfirmed,
Buddhism in Ukraine,Start,,False,unprotected,
