project,page,format,watchers,pageviews,pageviews_offset,revisions,editors,anon_edits,minor_edits,creator,creator_editcount,created_at,created_rev_id,modified_at,secs_since_last_edit,modified_rev_id,elapsed_time,assessment.value,assessment.color,assessment.category,assessment.badge,article
en.wikipedia.org,Alan Clark,json,73,6128,30,890,447,223,277,Morwen,57014,2003-12-26T22:27:11Z,2042734,2025-10-30T01:48:49Z,1607246,1319475304,0.392,Start,#FFAA66,Category:Start-Class articles,https://upload.wikimedia.org/wikipedia/commons/a/a4/Symbol_start_class.svg,Alan Clark
en.wikipedia.org,BTS,json,2670,140507,30,8479,1786,1065,1754,Hinorisakamachi,934,2013-07-04T19:45:15Z,562875107,2025-11-07T00:34:58Z,920479,1320824661,1.099,FA,#9CBDFF,Category:FA-Class articles,https://upload.wikimedia.org/wikipedia/commons/b/bc/Featured_article_star.svg,BTS
en.wikipedia.org,Bob Marley,json,1452,169444,30,7127,3334,2195,1867,XJaM,11307,2002-02-27T07:54:04Z,28643,2025-11-14T15:54:53Z,260486,1322143569,1.382,GA,#66FF66,Category:GA-Class articles,https://upload.wikimedia.org/wikipedia/commons/9/94/Symbol_support_vote.svg,Bob Marley
en.wikipedia.org,Classical music,json,830,26876,30,5607,2349,1932,1652,61.9.128.xxx,,2001-10-03T14:25:29Z,345216373,2025-11-09T12:55:48Z,703233,1321233228,1.163,B,#B2FF66,Category:B-Class articles,https://upload.wikimedia.org/wikipedia/commons/5/5f/Symbol_b_class.svg,Classical music
en.wikipedia.org,Country music,json,564,45235,30,8480,3859,3389,2167,Mike dill,36,2001-10-02T15:14:10Z,241397,2025-11-09T02:14:19Z,741725,1321168006,1.884,B,#B2FF66,Category:B-Class articles,https://upload.wikimedia.org/wikipedia/commons/5/5f/Symbol_b_class.svg,Country music
en.wikipedia.org,Daft Punk,json,618,140703,30,8954,3848,3594,2098,TUF-KAT,48707,2003-01-12T18:15:18Z,976047,2025-11-14T01:56:34Z,310793,1322040436,2.36,GA,#66FF66,Category:GA-Class articles,https://upload.wikimedia.org/wikipedia/commons/9/94/Symbol_support_vote.svg,Daft Punk
en.wikipedia.org,Dire Straits,json,585,86552,30,4129,1554,2131,711,Torge,35,2003-01-22T21:18:20Z,612064,2025-10-31T15:06:36Z,1472993,1319734926,0.936,B,#B2FF66,Category:B-Class articles,https://upload.wikimedia.org/wikipedia/commons/5/5f/Symbol_b_class.svg,Dire Straits
en.wikipedia.org,Edith Piaf,json,,1320,30,6,4,0,4,Salsa Shark,2085,2004-01-21T19:10:45Z,16287388,2025-08-14T18:49:23Z,8198827,1305897691,0.259,???,,Category:Unassessed articles,https://upload.wikimedia.org/wikipedia/commons/e/e0/Symbol_question.svg,Edith Piaf
en.wikipedia.org,Electronic music,json,634,26296,30,4391,1876,1422,1090,Justfred,631,2001-10-26T22:37:02Z,403002692,2025-11-09T10:49:21Z,710831,1321221052,0.918,B,#B2FF66,Category:B-Class articles,https://upload.wikimedia.org/wikipedia/commons/5/5f/Symbol_b_class.svg,Electronic music
en.wikipedia.org,Eric Clapton,json,913,253182,30,10102,4474,3950,2249,128.227.230.xxx,,2001-11-07T21:01:47Z,376425220,2025-11-17T16:08:58Z,457,1322686095,2.032,B,#B2FF66,Category:B-Class articles,https://upload.wikimedia.org/wikipedia/commons/5/5f/Symbol_b_class.svg,Eric Clapton
en.wikipedia.org,Fender,json,,503,30,84,68,22,24,Ceyockey,83949,2006-07-22T20:29:35Z,65263175,2025-06-09T17:45:59Z,13905037,1294765240,0.278,Disambig,#00FA9A,Category:Disambig-Class articles,https://upload.wikimedia.org/wikipedia/commons/2/2a/Symbol_dab_class.svg,Fender
en.wikipedia.org,Funk rock,json,104,4216,30,911,523,392,193,James.kendall,2556,2006-01-02T17:26:15Z,33613506,2025-10-13T14:43:09Z,3029609,1316615321,0.497,C,#FFFF66,Category:C-Class articles,https://upload.wikimedia.org/wikipedia/commons/e/e6/Symbol_c_class.svg,Funk rock
en.wikipedia.org,Guitar,json,953,36696,30,6906,3407,2780,1913,Alan Millar,0,2001-11-14T01:57:21Z,253533,2025-11-14T12:51:29Z,271511,1322116642,1.609,C,#FFFF66,Category:C-Class articles,https://upload.wikimedia.org/wikipedia/commons/e/e6/Symbol_c_class.svg,Guitar
en.wikipedia.org,James Brown,json,621,92997,30,8470,4057,3116,2178,Wathiik,2031,2001-05-14T17:41:35Z,1253861177,2025-11-16T21:01:33Z,69310,1322546114,2.051,B,#B2FF66,Category:B-Class articles,https://upload.wikimedia.org/wikipedia/commons/5/5f/Symbol_b_class.svg,James Brown
en.wikipedia.org,Jazz,json,950,53450,30,11819,4791,4582,3365,61.9.128.xxx,,2001-11-09T02:23:38Z,358853040,2025-11-03T02:12:18Z,1260269,1320158205,2.219,B,#B2FF66,Category:B-Class articles,https://upload.wikimedia.org/wikipedia/commons/5/5f/Symbol_b_class.svg,Jazz
en.wikipedia.org,Jimi Hendrix,json,1427,156744,30,14166,4360,3044,3882,198.144.199.xxx,,2001-10-23T04:08:06Z,261257,2025-11-16T18:24:10Z,78760,1322521628,2.045,FA,#9CBDFF,Category:FA-Class articles,https://upload.wikimedia.org/wikipedia/commons/b/bc/Featured_article_star.svg,Jimi Hendrix
en.wikipedia.org,John Frusciante,json,323,66776,30,7304,2993,2783,1349,64.175.250.205,,2003-02-15T02:51:25Z,669993,2025-10-19T13:24:33Z,2515939,1317690528,1.716,C,#FFFF66,Category:C-Class articles,https://upload.wikimedia.org/wikipedia/commons/e/e6/Symbol_c_class.svg,John Frusciante
