project,page,format,watchers,pageviews,pageviews_offset,revisions,editors,anon_edits,minor_edits,creator,creator_editcount,created_at,created_rev_id,modified_at,secs_since_last_edit,modified_rev_id,elapsed_time,assessment.value,assessment.color,assessment.category,assessment.badge,article
en.wikipedia.org,COVID-19 pandemic in Ukraine,json,77,598,30,1700,185,76,164,Dying,11773,2020-03-03T23:46:58Z,943796970,2025-07-22T07:42:23Z,10225127,1301894846,0.246,Start,#FFAA66,Category:Start-Class articles,https://upload.wikimedia.org/wikipedia/commons/a/a4/Symbol_start_class.svg,COVID-19 pandemic in Ukraine
en.wikipedia.org,History of Ukraine,json,245,16724,30,3158,1122,988,828,Imran,3486,2002-09-13T10:55:09Z,227103,2025-11-01T05:07:17Z,1421635,1319841745,0.287,B,#B2FF66,Category:B-Class articles,https://upload.wikimedia.org/wikipedia/commons/5/5f/Symbol_b_class.svg,History of Ukraine
en.wikipedia.org,Crimea,json,713,56938,30,3659,1153,644,755,Maury Markowitz,77559,2002-12-30T18:55:43Z,16050058,2025-11-16T05:23:06Z,124687,1322432445,0.254,C,#FFFF66,Category:C-Class articles,https://upload.wikimedia.org/wikipedia/commons/e/e6/Symbol_c_class.svg,Crimea
en.wikipedia.org,Russian annexation of Crimea,json,508,22186,30,4263,1199,685,904,Moscow Connection,70020,2014-03-17T18:59:32Z,600048486,2025-11-10T14:17:31Z,611023,1321432674,0.299,C,#FFFF66,Category:C-Class articles,https://upload.wikimedia.org/wikipedia/commons/e/e6/Symbol_c_class.svg,Russian annexation of Crimea
en.wikipedia.org,2004 Ukrainian presidential election,json,58,4201,30,755,347,166,299,Arwel Parry,23099,2004-10-28T11:13:15Z,6927506,2025-08-17T15:44:00Z,7949835,1306408067,0.235,C,#FFFF66,Category:C-Class articles,https://upload.wikimedia.org/wikipedia/commons/e/e6/Symbol_c_class.svg,2004 Ukrainian presidential election
en.wikipedia.org,Football in Ukraine,json,,362,30,279,113,31,62,Retepretep,5118,2008-07-10T22:51:12Z,224904875,2025-11-08T14:47:13Z,782043,1321076566,0.241,Start,#FFAA66,Category:Start-Class articles,https://upload.wikimedia.org/wikipedia/commons/a/a4/Symbol_start_class.svg,Football in Ukraine
en.wikipedia.org,Bessarabia,json,229,23362,30,1481,606,324,436,Jeronimo,8556,2002-02-25T15:43:11Z,312030,2025-11-05T16:30:59Z,1035018,1320583696,0.246,B,#B2FF66,Category:B-Class articles,https://upload.wikimedia.org/wikipedia/commons/5/5f/Symbol_b_class.svg,Bessarabia
en.wikipedia.org,2014 pro-Russian unrest in Ukraine,json,269,6703,30,5216,992,700,805,Insider,2812,2014-03-03T08:47:51Z,597932855,2025-11-17T01:04:24Z,53815,1322583745,0.752,C,#FFFF66,Category:C-Class articles,https://upload.wikimedia.org/wikipedia/commons/e/e6/Symbol_c_class.svg,2014 pro-Russian unrest in Ukraine
en.wikipedia.org,Communist Party of the Soviet Union,json,429,44662,30,3462,1516,1083,748,62.253.64.xxx,,2001-11-29T13:53:14Z,244861,2025-11-17T10:35:32Z,19549,1322647643,0.869,C,#FFFF66,Category:C-Class articles,https://upload.wikimedia.org/wikipedia/commons/e/e6/Symbol_c_class.svg,Communist Party of the Soviet Union
en.wikipedia.org,English Civil War,json,721,77902,30,6245,3085,2631,1996,Sjc,8581,2001-10-31T14:21:18Z,347879792,2025-11-13T14:43:43Z,350260,1321943271,1.133,C,#FFFF66,Category:C-Class articles,https://upload.wikimedia.org/wikipedia/commons/e/e6/Symbol_c_class.svg,English Civil War
en.wikipedia.org,Christianity in Russia,json,41,2301,30,317,146,56,76,Ans-mo,6098,2007-07-10T09:03:47Z,143689297,2025-11-05T11:31:35Z,1052989,1320551129,0.302,C,#FFFF66,Category:C-Class articles,https://upload.wikimedia.org/wikipedia/commons/e/e6/Symbol_c_class.svg,Christianity in Russia
en.wikipedia.org,History of Christianity in Ukraine,json,89,685,30,1153,362,179,338,203.252.193.13,,2003-09-08T04:26:03Z,1408857,2025-08-24T08:25:24Z,7371362,1307549629,0.429,B,#B2FF66,Category:B-Class articles,https://upload.wikimedia.org/wikipedia/commons/5/5f/Symbol_b_class.svg,History of Christianity in Ukraine
en.wikipedia.org,Flag of Ukraine,json,134,14796,30,1511,650,401,383,Morwen,57014,2004-02-07T20:35:23Z,2329245,2025-11-01T14:52:36Z,1386531,1319891537,0.424,C,#FFFF66,Category:C-Class articles,https://upload.wikimedia.org/wikipedia/commons/e/e6/Symbol_c_class.svg,Flag of Ukraine
en.wikipedia.org,Alexander II of Russia,json,352,73514,30,3104,1692,1194,812,216.99.203.xxx,,2001-08-22T08:28:03Z,235329,2025-11-12T22:24:44Z,409005,1321829038,0.805,B,#B2FF66,Category:B-Class articles,https://upload.wikimedia.org/wikipedia/commons/5/5f/Symbol_b_class.svg,Alexander II of Russia
