userid,name,editcount,registration,groups,emailable,gender
38910429,LSGH,59406,2020-04-02T10:23:20Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown
3132940,Toddy1,51948,2006-12-30T16:29:31Z,"['autoreviewer', 'extendedconfirmed', 'reviewer', 'rollbacker', '*', 'user', 'autoconfirmed']",,unknown
15458982,TheDraperyFalls,11308,2011-10-04T07:05:08Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male
9761029,UP9,390,2009-05-25T17:33:35Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown
46962,Genyo,586,2004-02-25T17:41:03Z,"['*', 'user', 'autoconfirmed']",,unknown
2425663,Aleksandr Grigoryev,160146,2006-10-08T02:40:18Z,"['autoreviewer', 'extendedconfirmed', 'reviewer', '*', 'user', 'autoconfirmed']",,male
86857,Dbachmann,227714,2004-07-21T10:44:35Z,"['*', 'user', 'autoconfirmed']",,unknown
65156,Vasile,2256,2004-05-13T21:51:57Z,"['*', 'user', 'autoconfirmed']",,unknown
69761,Irpen,32604,2004-06-03T04:10:48Z,"['*', 'user', 'autoconfirmed']",,unknown
61482,Mzajac,66545,2004-06-08T22:15:05Z,"['autoreviewer', 'extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown
