initial_version,changed_version,comment,user,date,llm_output,weaponised
"#REDIRECT [[Russian invasion of Ukraine (2022–present)]]

{{Redirect category shell|
{{R from move}}
}}",No changes,"Protected ""[[2022 Russian invasion of Ukraine]]"": [[WP:GS/RUSUKR]] ([Edit=Require extended confirmed access] (indefinite) [Move=Require extended confirmed access] (indefinite))",ToBeFree,2024-02-26T00:37:09Z,"No changes made. 

Weaponised",Weaponised
"#REDIRECT [[Russian invasion of Ukraine (2022–present)]]

{{Redirect category shell|
{{R from move}}
}}","--- 
+++ 
@@ -1,5 +1 @@
-#REDIRECT [[Russian invasion of Ukraine]]
-
-{{Redirect category shell|
-{{R from move}}
-}}
+PUTIN, DIE IN HELL","Undid revision 1210309162 by [[Special:Contributions/McSly|McSly]] ([[User talk:McSly|talk]]) PUTIN, DIE IN HELL",2603:8080:600:1487:515B:823F:15E3:DF90,2024-02-26T00:35:37Z,"Removed a redirect to ""Russian invasion of Ukraine"" and added the phrase ""PUTIN, DIE IN HELL"".

Not Weaponised. The change expresses a personal sentiment rather than a narrative that weaponizes cultural heritage or historical context.",Not Weaponised
"#REDIRECT [[Russian invasion of Ukraine (2022–present)]]

{{Redirect category shell|
{{R from move}}
}}","--- 
+++ 
@@ -1,5 +1 @@
-#REDIRECT [[Russian invasion of Ukraine]]
-
-{{Redirect category shell|
-{{R from move}}
-}}
+PUTIN, DIE IN HELL",[[WP:AES|←]]Removed redirect to [[Russian invasion of Ukraine]],2603:8080:600:1487:515B:823F:15E3:DF90,2024-02-26T00:33:36Z,"Removed redirect to ""Russian invasion of Ukraine"" and added ""PUTIN, DIE IN HELL"".

Not Weaponised. The change reflects a strong emotional expression rather than a direct weaponisation of cultural heritage or a specific narrative related to the conflict.",Not Weaponised
"#REDIRECT [[Russian invasion of Ukraine (2022–present)]]

{{Redirect category shell|
{{R from move}}
}}","--- 
+++ 
@@ -1 +1,2 @@
+{{pp-extended|small=yes}}
 PUTIN, DIE IN HELL",Adding {{pp-extended}},ToBeFree,2024-02-26T00:37:10Z,"Added ""{{pp-extended|small=yes}}"" and the phrase ""PUTIN, DIE IN HELL"".

Weaponised. The phrase ""PUTIN, DIE IN HELL"" is a direct incitement of violence against a political figure, which can be seen as an attempt to weaponize cultural and political sentiments against Russia and its leadership.",Weaponised
"#REDIRECT [[Russian invasion of Ukraine (2022–present)]]

{{Redirect category shell|
{{R from move}}
}}","--- 
+++ 
@@ -1 +1,5 @@
-PUTIN, DIE IN HELL
+#REDIRECT [[Russian invasion of Ukraine]]
+
+{{Redirect category shell|
+{{R from move}}
+}}",Reverted edit by [[Special:Contribs/2603:8080:600:1487:515B:823F:15E3:DF90|2603:8080:600:1487:515B:823F:15E3:DF90]] ([[User talk:2603:8080:600:1487:515B:823F:15E3:DF90|talk]]) to last version by Xqbot,McSly,2024-02-26T00:34:30Z,"The change made in this revision is: ""Removed 'PUTIN, DIE IN HELL' and added a redirect to 'Russian invasion of Ukraine'"".

Weaponised: Not Weaponised. The change appears to be a technical edit to redirect a page rather than a shift in narrative that weaponizes cultural heritage. The original phrase was inflammatory but does not directly relate to cultural heritage weaponization.",Weaponised
"#REDIRECT [[Russian invasion of Ukraine (2022–present)]]

{{Redirect category shell|
{{R from move}}
}}","--- 
+++ 
@@ -1 +1,5 @@
-PUTIN, DIE IN HELL
+#REDIRECT [[Russian invasion of Ukraine]]
+
+{{Redirect category shell|
+{{R from move}}
+}}",Undid revision 1210309323 by [[Special:Contributions/2603:8080:600:1487:515B:823F:15E3:DF90|2603:8080:600:1487:515B:823F:15E3:DF90]] ([[User talk:2603:8080:600:1487:515B:823F:15E3:DF90|talk]]),Thriley,2024-02-26T00:36:25Z,"Changed ""PUTIN, DIE IN HELL"" to ""#REDIRECT [[Russian invasion of Ukraine]]"" and added redirect category templates.

Not Weaponised. The change appears to be a technical edit to redirect a page rather than a shift in narrative or language that could be considered weaponising cultural heritage.",Not Weaponised
"#REDIRECT [[Russian invasion of Ukraine (2022–present)]]

{{Redirect category shell|
{{R from move}}
}}","--- 
+++ 
@@ -118,7 +118,7 @@
 In the days leading up to the invasion, the Russian government intensified a [[Russian disinformation|disinformation campaign]] intended to mute public criticism. Russian state media promoted fabricated videos—many amateur in quality<ref>{{cite news |author=Bellingcat Investigation Team |date=23 February 2022 |title=Documenting and Debunking Dubious Footage from Ukraine's Frontlines |work=[[Bellingcat]] |url=https://www.bellingcat.com/news/2022/02/23/documenting-and-debunking-dubious-footage-from-ukraines-frontlines/ |url-status=live |access-date=24 February 2022 |archive-url=https://web.archive.org/web/20220223204058/https://www.bellingcat.com/news/2022/02/23/documenting-and-debunking-dubious-footage-from-ukraines-frontlines/ |archive-date=23 February 2022}}</ref><ref>{{cite web |last1=Harding |first1=Luke |last2=Roth |first2=Andrew |last3=Walker |first3=Shaun |date=21 February 2022 |title='Dumb and lazy': the flawed films of Ukrainian 'attacks' made by Russia's 'fake factory' |url=https://www.theguardian.com/world/2022/feb/21/dumb-and-lazy-the-flawed-films-of-ukrainian-attacks-made-by-russias-fake-factory |url-status=live |archive-url=https://web.archive.org/web/20220221235946/https://www.theguardian.com/world/2022/feb/21/dumb-and-lazy-the-flawed-films-of-ukrainian-attacks-made-by-russias-fake-factory |archive-date=21 February 2022 |access-date=22 February 2022 |work=[[The Guardian]]}}</ref>—that [[False flag|purported to show]] Ukrainian forces attacking Russians in Donbas; evidence showed that the claimed attacks, explosions, and evacuations were staged by Russia.<ref>{{cite web |last=Gilbert |first=David |date=21 February 2022 |title=Russia's 'Idiotic' Disinformation Campaign Could Still Lead to War in Ukraine |url=https://www.vice.com/en/article/88gdj3/russia-disinformation-campaign-bombing-ukraine |url-status=live |archive-url=https://web.archive.org/web/20220221194550/https://www.vice.com/en/article/88gdj3/russia-disinformation-campaign-bombing-ukraine |archive-date=21 February 2022 |access-date=22 February 2022 }}</ref> On 21 February, the head of the Russian [[Federal Security Service]] (FSB) said that Russian forces had killed five Ukrainian ""saboteurs"" that crossed into Russian territory, capturing one Ukrainian serviceman and destroying two armoured vehicles. The claim was denied by Ukraine and drew warnings that Russia was seeking further justification to start an invasion. ''[[The Sunday Times]]'' described it as ""the first move in Putin's war plan.""<ref>{{cite news |url=https://www.thetimes.co.uk/article/ukraine-saboteurs-claim-shows-putins-war-plan-has-now-begun-9bsrvvhj3 |title=Russian claim of sabotage 'the first move in Putin's war plan' |first=Catherine |last=Philp |newspaper=[[The Sunday Times]] |publisher=[[News UK]] |date=22 February 2022 |access-date=20 March 2022 |url-access=subscription}}</ref><ref>{{cite web |url=https://www.barrons.com/news/russian-army-says-killed-5-saboteurs-from-ukraine-on-russian-territory-01645449007 |title=Russian Army Says Killed 5 'Saboteurs' From Ukraine On Russian Territory |work=[[Barron's (newspaper)|Barron's]] |date=21 February 2022 |access-date=20 March 2022}}</ref>
  
 [[File:Обращение Президента Российской Федерации 2022-02-21.webm|thumb|thumbtime=00:03|Putin's address to the nation on 21 February (English subtitles available)]]
-On 21 February,<ref>{{cite web |title=Address by the President of the Russian Federation |website=[[President of Russia]] |date=21 February 2022 |url=https://en.kremlin.ru/events/president/news/67828 |archive-url=https://web.archive.org/web/20220221215128/https://en.kremlin.ru/events/president/news/67828 |archive-date=21 February 2022 |access-date=2 March 2022 }}</ref> Putin announced that the Russian government would [[Diplomatic recognition|recognise]] the Donetsk and Luhansk people's republics.<ref>{{cite web |title=Extracts from Putin's speech on Ukraine |work=[[Reuters]] |date=21 February 2022 |url=https://www.reuters.com/world/europe/extracts-putins-speech-ukraine-2022-02-21/ |access-date=2 March 2022}}</ref> The same evening, Putin directed that Russian troops be deployed into Donbas, in what Russia referred to as a ""[[peacekeeping]] mission"".<ref>{{cite news |date=21 February 2022 |last1=Kottasová |first1=Ivana |last2=Qiblawi |first2=Tamara |last3=Regan |first3=Helen |title=Putin orders troops into separatist-held parts of Ukraine |publisher=CNN |url=https://cnn.com/2022/02/21/europe/russia-ukraine-tensions-monday-intl/index.html |access-date=23 February 2022 |archive-date=23 February 2022 |archive-url=https://web.archive.org/web/20220223102720/https://www.cnn.com/2022/02/21/europe/russia-ukraine-tensions-monday-intl/index.html |url-status=live}}</ref><ref>{{cite news |last1=Philp |first1=Catherine |last2=Wright |first2=Oliver |last3=Brown |first3=Larissa |title=Putin sends Russian tanks into Ukraine |url=https://www.thetimes.co.uk/article/putin-sends-tanks-into-ukraine-75dj973v8 |work=[[The Times]] |date=22 February 2022 |access-date=23 February 2022 |archive-date=23 February 2022 |archive-url=https://web.archive.org/web/20220223032437/https://www.thetimes.co.uk/article/putin-sends-tanks-into-ukraine-75dj973v8 |url-status=live}}</ref> The 21 February intervention in Donbas was condemned by several members of the [[UN Security Council]]; none voiced support.<ref>{{cite web |last=Lederer |first=Edith |title=Putin gets no support from UN Security Council over Ukraine |date=22 February 2022 |url=https://abcnews.go.com/US/wireStory/putin-support-security-council-ukraine-83037165 |url-status=live |archive-url=https://web.archive.org/web/20220223172555/https://abcnews.go.com/US/wireStory/putin-support-security-council-ukraine-83037165 |archive-date=23 February 2022 |access-date=24 February 2022 |publisher=[[ABC News]]}}</ref> On 22 February, video footage shot in the early morning showed Russian armed forces and tanks moving in the Donbas region.<ref>{{cite web |title=Videos appear to show Russian armed forces moving deep into separatist region of Ukraine |url=https://www.businessinsider.com/videos-russian-military-tanks-move-donbas-seen-donetsk-putin-invade-2022-2 |work=[[Business Insider]] |date=22 February 2022}}</ref> The [[Federation Council (Russia)|Federation Council]] unanimously authorised the use of military force outside Russia.<ref name=""Hodge 2022"">{{cite web |last=Hodge |first=Nathan |date=26 February 2022 |title=Russia's Federation Council gives consent to Putin on use of armed forces abroad, Russian agencies report |url=https://edition.cnn.com/europe/live-news/ukraine-russia-news-02-22-22/h_59a413ce984eda5954ce5b9c4655bcc5 |url-status=live |archive-url=https://ghostarchive.org/archive/20220226/https://edition.cnn.com/europe/live-news/ukraine-russia-news-02-22-22/h_59a413ce984eda5954ce5b9c4655bcc5 |archive-date=26 February 2022 |access-date=26 February 2022 |publisher=CNN |location=Moscow}}</ref>
+On 21 February,<ref>{{cite web |title=Address by the President of the Russian Federation |website=[[President of Russia]] |date=21 February 2022 |url=https://en.kremlin.ru/events/president/news/67828 |archive-url=https://web.archive.org/web/20220221215128/https://en.kremlin.ru/events/president/news/67828 |archive-date=21 February 2022 |access-date=2 March 2022 }}</ref> Putin announced that the Russian government would [[Diplomatic recognition|recognise]] the Donetsk and Luhansk people's republics.<ref>{{cite web |title=Extracts from Putin's speech on Ukraine |work=[[Reuters]] |date=21 February 2022 |url=https://www.reuters.com/world/europe/extracts-putins-speech-ukraine-2022-02-21/ |access-date=2 March 2022}}</ref> The same evening, Putin directed that Russian troops be deployed into Donbas, in what Russia referred to as a ""[[peacekeeping]] mission"".<ref>{{cite news |date=21 February 2022 |last1=Kottasová |first1=Ivana |last2=Qiblawi |first2=Tamara |last3=Regan |first3=Helen |title=Putin orders troops into separatist-held parts of Ukraine |publisher=CNN |url=https://cnn.com/2022/02/21/europe/russia-ukraine-tensions-monday-intl/index.html |access-date=23 February 2022 |archive-date=23 February 2022 |archive-url=https://web.archive.org/web/20220223102720/https://www.cnn.com/2022/02/21/europe/russia-ukraine-tensions-monday-intl/index.html |url-status=live}}</ref><ref>{{cite news |last1=Philp |first1=Catherine |last2=Wright |first2=Oliver |last3=Brown |first3=Larissa |title=Putin sends Russian tanks into Ukraine |url=https://www.thetimes.co.uk/article/putin-sends-tanks-into-ukraine-75dj973v8 |work=[[The Times]] |date=22 February 2022 |access-date=23 February 2022 |archive-date=23 February 2022 |archive-url=https://web.archive.org/web/20220223032437/https://www.thetimes.co.uk/article/putin-sends-tanks-into-ukraine-75dj973v8 |url-status=live}}</ref> The 21 February intervention in Donbas was condemned by several members of the [[UN Security Council]]; none voiced support.<ref>{{cite web |last=Lederer |first=Edith |title=Putin gets no support from UN Security Council over Ukraine |date=22 February 2022 |url=https://abcnews.go.com/US/wireStory/putin-support-security-council-ukraine-83037165 |url-status=live |archive-url=https://web.archive.org/web/20220223172555/https://abcnews.go.com/US/wireStory/putin-support-security-council-ukraine-83037165 |archive-date=23 February 2022 |access-date=24 February 2022 |publisher=[[ABC News (United States)|ABC News]]}}</ref> On 22 February, video footage shot in the early morning showed Russian armed forces and tanks moving in the Donbas region.<ref>{{cite web |title=Videos appear to show Russian armed forces moving deep into separatist region of Ukraine |url=https://www.businessinsider.com/videos-russian-military-tanks-move-donbas-seen-donetsk-putin-invade-2022-2 |work=[[Business Insider]] |date=22 February 2022}}</ref> The [[Federation Council (Russia)|Federation Council]] unanimously authorised the use of military force outside Russia.<ref name=""Hodge 2022"">{{cite web |last=Hodge |first=Nathan |date=26 February 2022 |title=Russia's Federation Council gives consent to Putin on use of armed forces abroad, Russian agencies report |url=https://edition.cnn.com/europe/live-news/ukraine-russia-news-02-22-22/h_59a413ce984eda5954ce5b9c4655bcc5 |url-status=live |archive-url=https://ghostarchive.org/archive/20220226/https://edition.cnn.com/europe/live-news/ukraine-russia-news-02-22-22/h_59a413ce984eda5954ce5b9c4655bcc5 |archive-date=26 February 2022 |access-date=26 February 2022 |publisher=CNN |location=Moscow}}</ref>
 
 In response, Zelenskyy ordered the conscription of army [[reservist]]s;<ref>{{cite news |last1=Zinets |first1=Natalia |last2=Williams |first2=Matthias |title=Ukrainian president drafts reservists but rules out general mobilisation for now |url=https://www.reuters.com/world/europe/ukrainian-president-calls-up-reservists-launches-programme-economic-patriotism-2022-02-22/ |access-date=23 February 2022 |work=[[Reuters]] |date=22 February 2022 |archive-date=22 February 2022 |archive-url=https://web.archive.org/web/20220222235612/https://www.reuters.com/world/europe/ukrainian-president-calls-up-reservists-launches-programme-economic-patriotism-2022-02-22/ |url-status=live }}</ref> The following day, Ukraine's parliament proclaimed a 30-day nationwide [[state of emergency]] and ordered the mobilisation of all reservists.<ref>{{cite news|title=Ukraine to introduce a state of emergency and tells its citizens to leave Russia immediately |url=https://www.independent.co.uk/news/world/europe/russia-sanctions-ukraine-reservists-west-b2021165.html |date=23 February 2022 |access-date=23 February 2022 |first=Thomas |last=Kingsley |work=[[The Independent]] |archive-date=24 February 2022 |archive-url=https://web.archive.org/web/20220224032730/https://www.independent.co.uk/news/world/europe/russia-sanctions-ukraine-reservists-west-b2021165.html |url-status=live}}</ref><ref>{{cite news|url=https://www.reuters.com/world/europe/ukraines-parliament-approves-state-emergency-2022-02-23/ |title=Ukraine's Parliament approves state of emergency |author=<!--Not stated--> |date=23 February 2022 |work=[[Reuters]] |access-date=24 February 2022 |archive-date=23 February 2022 |archive-url=https://web.archive.org/web/20220223200424/https://www.reuters.com/world/europe/ukraines-parliament-approves-state-emergency-2022-02-23/ |url-status=live }}</ref><ref>{{cite web |last1=D'agata |first1=Charlie |last2=Redman |first2=Justine |last3=Ott |first3=Haley |title=Ukraine calls up reservists, declares national emergency as U.S. and allies hit Russia with new sanctions |url=https://www.cbsnews.com/news/russia-ukraine-news-miliatry-reservists-emergency-declaration/ |date=23 February 2022 |access-date=24 February 2022 |publisher=[[CBS News]] |archive-date=24 February 2022 |archive-url=https://web.archive.org/web/20220224055846/https://www.cbsnews.com/news/russia-ukraine-news-miliatry-reservists-emergency-declaration/ |url-status=live}}</ref> Russia began to evacuate its embassy in Kyiv.<ref>{{cite news|title=Russia evacuates embassy in Ukraine as crisis escalates |url=https://apnews.com/article/russia-ukraine-europe-russia-moscow-kyiv-626a8c5ec22217bacb24ece60fac4fe1 |date=23 February 2022 |access-date=23 February 2022 |first=Dasha |last=Litvinova |work=Associated Press |archive-date=23 February 2022 |archive-url=https://web.archive.org/web/20220223102040/https://apnews.com/article/russia-ukraine-europe-russia-moscow-kyiv-626a8c5ec22217bacb24ece60fac4fe1 |url-status=live}}</ref> The websites of the Ukrainian parliament and government, along with banking websites, were hit by [[DDoS]] attacks,<ref>{{cite news |last=Bajak |first=Frank |title=Ukraine hit by more cyberattacks, destructive malware |url=https://apnews.com/article/russia-ukraine-technology-business-europe-russia-9e9f9e9b52eaf53cf9d8ade0588b661b |access-date=24 February 2022 |work=Associated Press |date=23 February 2022 |archive-date=24 February 2022 |archive-url=https://web.archive.org/web/20220224064547/https://apnews.com/article/russia-ukraine-technology-business-europe-russia-9e9f9e9b52eaf53cf9d8ade0588b661b |url-status=live }}</ref> widely attributed to Russian-backed hackers.<ref>{{cite news|url=https://apnews.com/article/russia-ukraine-technology-business-europe-russia-9e9f9e9b52eaf53cf9d8ade0588b661b |title=Cyberattacks accompany Russian military assault on Ukraine |first=Frank |last=Bajak |date=25 February 2022 |access-date=4 March 2022 |work=Associated Press |archive-url=https://web.archive.org/web/20220228150957/https://apnews.com/article/russia-ukraine-technology-business-europe-russia-9e9f9e9b52eaf53cf9d8ade0588b661b |archive-date=28 February 2022 |url-status=live}}</ref><ref>{{cite news|url=https://www.theguardian.com/world/2022/feb/24/russia-unleashed-data-wiper-virus-on-ukraine-say-cyber-experts |title=Russia unleashed data-wiper malware on Ukraine, say cyber experts |first=Dan |last=Milmo |date=25 February 2022 |access-date=4 March 2022 |work=[[The Guardian]] |archive-url=https://web.archive.org/web/20220228205650/https://www.theguardian.com/world/2022/feb/24/russia-unleashed-data-wiper-virus-on-ukraine-say-cyber-experts |archive-date=28 February 2022 |url-status=live}}</ref> Chinese military attackers were also alleged to have conducted a massive cyberwarfare espionage programme on the eve of the invasion, including on nuclear infrastructure, pointing to advanced Chinese knowledge.<ref>{{cite web |date=1 April 2022 |title=China accused of launching cyber-attacks on Ukraine before Russian invasion |url=https://www.theguardian.com/technology/2022/apr/01/china-accused-of-launching-cyber-attacks-on-ukraine-before-russian-invasion |first=Dan |last=Milmo |access-date=2 April 2022 |website=[[The Guardian]]}}</ref><ref>{{Cite news |date=2022-04-07 |title=Mystery of alleged Chinese hack on eve of Ukraine invasion |work=BBC News |url=https://www.bbc.com/news/technology-60983346 |access-date=2022-04-08}}</ref>
 ",,Chessrat,2025-03-10T08:38:01Z,"Rephrased a sentence regarding Putin's announcement on recognizing the Donetsk and Luhansk people's republics.

Not Weaponised. The change does not introduce any weaponisation terms or narratives; it simply rephrases existing content without altering the underlying message.",Not Weaponised
"#REDIRECT [[Russian invasion of Ukraine (2022–present)]]

{{Redirect category shell|
{{R from move}}
}}","--- 
+++ 
@@ -1,4 +1,4 @@
-#REDIRECT [[Russian invasion of Ukraine (2022–present)]]
+#REDIRECT [[Russian invasion of Ukraine]]
 
 {{Redirect category shell|
 {{R from move}}",Bot: Fixing double redirect to [[Russian invasion of Ukraine]],Xqbot,2023-03-22T03:38:57Z,"Changed the redirect from ""Russian invasion of Ukraine (2022–present)"" to ""Russian invasion of Ukraine"".

Not Weaponised. The change is a technical adjustment to a redirect link and does not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised
"#REDIRECT [[Russian invasion of Ukraine (2022–present)]]

{{Redirect category shell|
{{R from move}}
}}","--- 
+++ 
@@ -1,2 +1,5 @@
-{{pp-extended|small=yes}}
-PUTIN, DIE IN HELL
+#REDIRECT [[Russian invasion of Ukraine]]
+
+{{Redirect category shell|
+{{R from move}}
+}}",Restored revision 1210309437 by [[Special:Contributions/Thriley|Thriley]] ([[User talk:Thriley|talk]]),ToBeFree,2024-02-26T00:37:26Z,"The change made is: ""Removed 'PUTIN, DIE IN HELL' and added a redirect to 'Russian invasion of Ukraine'"".

Weaponised: Not Weaponised. The change primarily involves a technical edit to redirect content rather than introducing or reinforcing a narrative that weaponizes cultural heritage.",Weaponised
"#REDIRECT [[Russian invasion of Ukraine (2022–present)]]

{{Redirect category shell|
{{R from move}}
}}","--- 
+++ 
@@ -1,5 +1 @@
-#REDIRECT [[Russian invasion of Ukraine]]
-
-{{Redirect category shell|
-{{R from move}}
-}}
+PUTIN, DIE IN HELL",Undid revision 1210309437 by [[Special:Contributions/Thriley|Thriley]] ([[User talk:Thriley|talk]]),2603:8080:600:1487:515B:823F:15E3:DF90,2024-02-26T00:36:56Z,"The change made in this revision is the removal of a redirect to the article ""Russian invasion of Ukraine"" and the addition of the phrase ""PUTIN, DIE IN HELL"".

Weaponised

Justification: The phrase ""PUTIN, DIE IN HELL"" is a direct and aggressive expression that targets a specific individual, which can be seen as inciting hostility and promoting a narrative of violence against a political figure associated with the conflict. This language can contribute to the weaponization of cultural heritage by framing the discourse in a highly charged and inflammatory manner.",Weaponised
