initial_version,changed_version,comment,user,date,llm_output,weaponised
"The [[Roman Catholic Church in Ukraine]] is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].

There are about four million Catholics in the country - about 8% of the total population.  The faithful of the Ukraine follow several rites - the [[Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Rite]].",Initial revision,,Quackquack,2006-03-22T10:03:13Z,"Added ""Initial revision"".

Not Weaponised – The change is a neutral statement indicating the beginning of the article's history and does not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised
"The [[Roman Catholic Church in Ukraine]] is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].

There are about four million Catholics in the country - about 8% of the total population.  The faithful of the Ukraine follow several rites - the [[Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Rite]].","--- 
+++ 
@@ -20,10 +20,12 @@
 **Odesa and Simferopol
 
 ==External links==
-[http://www.rkc.lviv.ua/ The Roman Catholic Church in Ukraine (the latin rite)]
+*[http://www.rkc.lviv.ua/ The Roman Catholic Church in Ukraine (the latin rite)]
 
-{{RC-stub}}
 {{Europe in topic|Roman Catholicism in}}
 
 [[Category:Roman Catholic Church in Europe|Ukraine]]
 [[Category:Religion in Ukraine]]
+
+
+{{RC-stub}}",bulleting external links  using [[Wikipedia:AutoWikiBrowser|AWB]],Bluebot,2006-05-20T22:38:05Z,"Change Description: Added bullet points to external links and adjusted the placement of a stub template.

Weaponised: Not Weaponised. The changes are technical formatting adjustments without any ideological or cultural implications.",Weaponised
"The [[Roman Catholic Church in Ukraine]] is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].

There are about four million Catholics in the country - about 8% of the total population.  The faithful of the Ukraine follow several rites - the [[Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Rite]].","--- 
+++ 
@@ -1,6 +1,6 @@
-The '''Roman Catholic Church in the Ukraine''' is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].
+The '''Roman Catholic Church in Ukraine''' is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].
 
-There are about four million Catholics in the country — about 8% of the total population.  The faithful of the Ukraine follow several rites — the [[Ukrainian Greek Catholic Church|Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Catholic Church|Ruthenian Rite]].
+There are about four million Catholics in the country — about 8% of the total population.  The faithful of Ukraine follow several rites — the [[Ukrainian Greek Catholic Church|Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Catholic Church|Ruthenian Rite]].
 
 {{RC-stub}}
 {{Europe in topic|Roman Catholicism in}}","there's no ""the Ukraine"", only ""Ukraine""",Berkut,2006-04-19T07:53:29Z,"Changed ""the Ukraine"" to ""Ukraine"" in two instances.

Not Weaponised. The change is a correction of terminology that aligns with the preferred usage of the country's name, reflecting a more accurate representation without any political implications.",Not Weaponised
"The [[Roman Catholic Church in Ukraine]] is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].

There are about four million Catholics in the country - about 8% of the total population.  The faithful of the Ukraine follow several rites - the [[Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Rite]].",No changes,moved [[Catholic Church in Ukraine]] to [[Roman Catholicism in Ukraine]]: WP usage,Pmanderson,2006-06-19T17:48:36Z,"Changed the title reference from ""Catholic Church in Ukraine"" to ""Roman Catholicism in Ukraine"".

Not Weaponised – The change is a simple title adjustment for Wikipedia usage without any loaded language or implications regarding cultural heritage.",Not Weaponised
"The [[Roman Catholic Church in Ukraine]] is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].

There are about four million Catholics in the country - about 8% of the total population.  The faithful of the Ukraine follow several rites - the [[Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Rite]].","--- 
+++ 
@@ -1,6 +1,6 @@
 The '''Roman Catholic Church in the Ukraine''' is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].
 
-There are about four million Catholics in the country - about 8% of the total population.  The faithful of the Ukraine follow several rites - the [[Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Rite]].
+There are about four million Catholics in the country — about 8% of the total population.  The faithful of the Ukraine follow several rites — the [[Ukrainian Greek Catholic Church|Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Catholic Church|Ruthenian Rite]].
 
 {{RC-stub}}
 {{Europe in topic|Roman Catholicism in}}",modified links,Diamantina,2006-04-08T10:49:04Z,"Changed the punctuation from a hyphen to an em dash and modified links for the Ukrainian Rite and Ruthenian Rite.

Not Weaponised. The changes are primarily grammatical and involve link modifications without introducing any politically charged language or narratives.",Not Weaponised
"The [[Roman Catholic Church in Ukraine]] is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].

There are about four million Catholics in the country - about 8% of the total population.  The faithful of the Ukraine follow several rites - the [[Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Rite]].","--- 
+++ 
@@ -5,4 +5,5 @@
 {{RC-stub}}
 {{Europe in topic|Roman Catholicism in}}
 
-[[Category:Roman Catholic Church in Europe]]
+[[Category:Roman Catholic Church in Europe|Ukraine]]
+[[Category:Religion in Ukraine]]",Added category,MarkS,2006-03-29T15:57:08Z,"Change: Added category ""Religion in Ukraine"" and modified the existing category to include ""Ukraine"".

Weaponised: Not Weaponised. The changes are administrative in nature, focusing on categorization without introducing any contentious or politically charged language.",Weaponised
"The [[Roman Catholic Church in Ukraine]] is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].

There are about four million Catholics in the country - about 8% of the total population.  The faithful of the Ukraine follow several rites - the [[Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Rite]].","--- 
+++ 
@@ -22,10 +22,12 @@
 ==External links==
 *[http://www.rkc.lviv.ua/ The Roman Catholic Church in Ukraine (the latin rite)]
 
+{{Ukrainian topics}}
 {{Europe in topic|Roman Catholicism in}}
 
 [[Category:Roman Catholic Church in Europe|Ukraine]]
 [[Category:Christianity in Ukraine]]
+
 [[it:Chiesa cattolica in Ucraina]]
 
 ",{{Ukrainian topics}},DDima,2006-08-20T22:41:29Z,"Added ""{{Ukrainian topics}}"" and an additional link to the Italian Wikipedia page for the Roman Catholic Church in Ukraine.

Not Weaponised. The changes appear to be administrative and related to categorization without introducing any contentious or politically charged language.",Not Weaponised
"The [[Roman Catholic Church in Ukraine]] is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].

There are about four million Catholics in the country - about 8% of the total population.  The faithful of the Ukraine follow several rites - the [[Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Rite]].","--- 
+++ 
@@ -1,3 +1,8 @@
 The [[Roman Catholic Church in Ukraine]] is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].
 
 There are about four million Catholics in the country - about 8% of the total population.  The faithful of the Ukraine follow several rites - the [[Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Rite]].
+
+{{RC-stub}}
+{{Europe in topic|Roman Catholicism in}}
+
+[[Category:Roman Catholic Church in Europe]]",,Gugganij,2006-03-22T17:07:30Z,"Added template tags and category links.

Not Weaponised. The changes are administrative in nature, adding stubs and categories without altering the content or introducing any weaponised narratives.",Not Weaponised
"The [[Roman Catholic Church in Ukraine]] is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].

There are about four million Catholics in the country - about 8% of the total population.  The faithful of the Ukraine follow several rites - the [[Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Rite]].","--- 
+++ 
@@ -25,7 +25,7 @@
 {{Europe in topic|Roman Catholicism in}}
 
 [[Category:Roman Catholic Church in Europe|Ukraine]]
-[[Category:Religion in Ukraine]]
+[[Category:Christianity in Ukraine]]
 [[it:Chiesa cattolica in Ucraina]]
 
 ",recat,Irpen,2006-07-18T19:16:29Z,"Changed the category from ""Religion in Ukraine"" to ""Christianity in Ukraine"".

Not Weaponised. The change is a neutral reclassification of categories without any loaded language or implications related to cultural heritage weaponisation.",Not Weaponised
"The [[Roman Catholic Church in Ukraine]] is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].

There are about four million Catholics in the country - about 8% of the total population.  The faithful of the Ukraine follow several rites - the [[Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Rite]].","--- 
+++ 
@@ -24,7 +24,7 @@
 
 {{Ukrainian topics}}
 {{Europe in topic|Roman Catholicism in}}
-[[Category:Roman Catholic Church by country|
+[[Category:Roman Catholic Church by country|Roman Catholic Church by country]]
 [[Category:Roman Catholic Church in Europe|Ukraine]]
 [[Category:Christianity in Ukraine]]
 ",/* External links */,Briaboru,2006-08-23T20:46:27Z,"Changed a link reference in the category section from a bare category name to a more descriptive one.

Not Weaponised – The change is purely structural and does not introduce any politically charged language or narratives related to cultural heritage.",Not Weaponised
"The [[Roman Catholic Church in Ukraine]] is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].

There are about four million Catholics in the country - about 8% of the total population.  The faithful of the Ukraine follow several rites - the [[Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Rite]].","--- 
+++ 
@@ -1,4 +1,4 @@
-The [[Roman Catholic Church in Ukraine]] is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].
+The '''Roman Catholic Church in the Ukraine''' is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].
 
 There are about four million Catholics in the country - about 8% of the total population.  The faithful of the Ukraine follow several rites - the [[Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Rite]].
 ",,Gugganij,2006-03-22T17:08:34Z,"Changed ""Roman Catholic Church in Ukraine"" to ""Roman Catholic Church in the Ukraine"".

Not Weaponised. The change is a minor grammatical adjustment and does not introduce any weaponised language or narratives related to cultural heritage.",Not Weaponised
"The [[Roman Catholic Church in Ukraine]] is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].

There are about four million Catholics in the country - about 8% of the total population.  The faithful of the Ukraine follow several rites - the [[Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Rite]].","--- 
+++ 
@@ -1,6 +1,6 @@
 The '''Roman Catholic Church in Ukraine''' is part of the worldwide [[Roman Catholic Church]], under the spiritual leadership of the [[Pope]] and [[curia]] in [[Rome]].
 
-There are about four million Catholics in the country — about 8% of the total population.  The faithful of Ukraine follow several rites — the [[Ukrainian Greek Catholic Church|Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Catholic Church|Ruthenian Rite]].
+There are about four million Catholics in the country — about 8% of the total population.  The faithful of Ukraine follow several rites — the [[Ukrainian Greek Catholic Church|Ukrainian Rite]], the [[Latin Rite]] and the [[Ruthenian Catholic Church|Ruthenian Rite]]. Before [[World War II]] the [[Armenian Catholic Church|Armenian Rite]] also had a notable presence.
 
 {{RC-stub}}
 {{Europe in topic|Roman Catholicism in}}",,212.76.33.115,2006-04-25T21:20:20Z,"Changed the text to include a reference to the ""Armenian Rite"" and its historical presence before World War II.

Not Weaponised. The change is factual and does not employ language that could be interpreted as weaponizing cultural heritage.",Not Weaponised
