initial_version,changed_version,comment,user,date,llm_output,weaponised
#redirect [[Communist Party of Ukraine]],"--- 
+++ 
@@ -1,3 +1,5 @@
+{{for|the post-Soviet party|Communist Party of Ukraine|Communist Party of Ukraine (renewed)}}
+
 The '''Communist Party (Bolshevik) of Ukraine''' ({{lang-uk|Комуністична Партія (більшовиків) України, ''Komunistychna Partiya (bilshovykiv) Ukrayiny'', ''КП(б)У''}}) was formed at a conference in [[Tahanrih]], in April 1918, when the first [[Bolshevik]] government of Ukraine  (''Respublika Rad Ukrayiny'') was dissolved.  In July, a Moscow congress of Ukrainian bolsheviks rescinded the resolution, and the Ukrainian party was declared a part of the [[Russian Communist Party (bolshevik)]].
 
 ==References==",disambiguation: post-Soviet [[Communist Party of Ukraine]],Mzajac,2007-08-14T22:07:07Z,"Added a disambiguation template for the Communist Party of Ukraine.

Not Weaponised. The change is a technical edit for clarity and does not introduce any politically charged language or narratives.",Not Weaponised
#redirect [[Communist Party of Ukraine]],"--- 
+++ 
@@ -1,7 +1,7 @@
-{{merge from |Ukrainian Communist Party}}
+{{merge from|Ukrainian Communist Party}}
 {{for|the post-Soviet party|Communist Party of Ukraine|Communist Party of Ukraine (renewed)}}
 
-The '''Communist Party (Bolshevik) of Ukraine''' ({{lang-uk|Комуністична Партія (більшовиків) України, ''Komunistychna Partiya (bilshovykiv) Ukrayiny'', ''КП(б)У''}}) was formed at a conference in [[Tahanrih]], in April 1918, when the first [[Bolshevik]] government of Ukraine  (''Respublika Rad Ukrayiny'') was dissolved.  In July, a Moscow congress of Ukrainian bolsheviks rescinded the resolution, and the Ukrainian party was declared a part of the [[Russian Communist Party (bolshevik)]].
+The '''Communist Party (Bolshevik) of Ukraine''' ({{lang-uk|Комуністична Партія (більшовиків) України, ''Komunistychna Partiya (bilshovykiv) Ukrayiny'', ''КП(б)У''}}) was formed at a conference in [[Taganrog]], in April 1918, when the first [[Bolshevik]] government of Ukraine  (''Respublika Rad Ukrayiny'') was dissolved.  In July, a Moscow congress of Ukrainian bolsheviks rescinded the resolution, and the Ukrainian party was declared a part of the [[Russian Communist Party (bolshevik)]].
 
 ==References==
 {{Unreferenced|date=July 2007}}",Taganrog,Amire80,2007-08-15T11:31:07Z,"Changed ""Tahanrih"" to ""Taganrog"".

Not Weaponised. The change is a correction of a geographical name and does not carry any cultural or political implications.",Not Weaponised
#redirect [[Communist Party of Ukraine]],"--- 
+++ 
@@ -1,5 +1,5 @@
 {{for|the post-Soviet party|Communist Party of Ukraine|Communist Party of Ukraine (renewed)}}
-{{Unreferenced|date=July 2007}}
+{{Refimprove|date=July 2007}}
 
 The '''Communist Party (Bolshevik) of Ukraine''' ({{lang-uk|Комуністична Партія (більшовиків) України, ''Komunistychna Partiya (bilshovykiv) Ukrayiny'', КП(б)У, ''KP(b)U''}}) was formed at a conference in [[Taganrog]], in April 1918, when the first [[Bolshevik]] government of Ukraine  (''Respublika Rad Ukrayiny'') was dissolved.
 
@@ -13,11 +13,11 @@
 
 ==References==
 
-{{Ukraine-hist-stub}}
-
 [[Category:Communist parties in the Former Soviet Union|Ukraine]]
 [[Category:Political parties in Ukraine|Communist Party of Ukraine]]
 [[Category:Political parties of the Russian Revolution]]
 [[Category:History of Ukraine]]
 [[Category:Political parties established in 1918]]
 [[Category:Ukrainian Revolution]]
+
+{{Ukraine-hist-stub}}",Unreferenced to refimprove where appprpriate and/or general fixes.,SmackBot,2007-09-15T15:52:08Z,"Changed ""Unreferenced"" to ""Refimprove"" in the article's template.

Not Weaponised. The change is a technical edit aimed at improving citation quality and does not carry any cultural or political implications.",Not Weaponised
#redirect [[Communist Party of Ukraine]],"--- 
+++ 
@@ -1,4 +1,4 @@
-{{unreferenced}}
+{{Unreferenced|date=July 2007}}
 The '''Communist Party (Bolshevik) of Ukraine''' ({{lang-uk|Комуністична Партія (більшовиків) України, ''Komunistychna Partiya (bilshovykiv) Ukrayiny'', ''КП(б)У''}}) was formed at a conference in [[Tahanrih]], in April 1918, when the first [[Bolshevik]] government of Ukraine  (''Respublika Rad Ukrayiny'') was dissolved.  In July, a Moscow congress of Ukrainian bolsheviks rescinded the resolution, and the Ukrainian party was declared a part of the [[Russian Communist Party (bolshevik)]].
 
 ==References==",Date/fix the maintenance tags or gen fixes,SmackBot,2007-07-27T11:56:51Z,"Changed the maintenance tag from ""{{unreferenced}}"" to ""{{Unreferenced|date=July 2007}}"".

Not Weaponised – The change is a technical edit for maintenance purposes and does not introduce any language that could be considered weaponised or politically charged.",Not Weaponised
#redirect [[Communist Party of Ukraine]],"--- 
+++ 
@@ -3,7 +3,7 @@
 
 The '''Communist Party (Bolshevik) of Ukraine''' ({{lang-uk|Комуністична Партія (більшовиків) України, ''Komunistychna Partiya (bilshovykiv) Ukrayiny'', КП(б)У, ''KP(b)U''}}) was formed at a conference in [[Taganrog]], in April 1918, when the first [[Bolshevik]] government of Ukraine  (''Respublika Rad Ukrayiny'') was dissolved.
 
-This party advocated strong ties with Russia, unlike the Ukrainian Communist Party that was established in 1920.
+This party advocated strong ties with Russia, unlike the [[Ukrainian Communist Party]] that was established in 1920.
 
 In July, a Moscow congress of Ukrainian bolsheviks rescinded the resolution, and the Ukrainian party was declared a part of the [[Russian Communist Party (bolshevik)]].
 ",link UKP,Mzajac,2007-08-15T14:04:51Z,"Changed ""Ukrainian Communist Party"" to ""[[Ukrainian Communist Party]]"" (added link).

Not Weaponised. The change is a formatting adjustment for linking purposes and does not introduce any weaponised language or narratives.",Not Weaponised
#redirect [[Communist Party of Ukraine]],No changes,moved [[Communist Party (Bolshevik) of Ukraine]] to [[Communist Party (Bolsheviks) of Ukraine]],Soman,2007-08-15T14:23:17Z,"Changed the link from [[Communist Party (Bolshevik) of Ukraine]] to [[Communist Party (Bolsheviks) of Ukraine]].

Not Weaponised – The change is a simple correction of the article's internal linking without any implication of cultural or political bias.",Not Weaponised
#redirect [[Communist Party of Ukraine]],"--- 
+++ 
@@ -1,3 +1,4 @@
+{{merge from |Ukrainian Communist Party}}
 {{for|the post-Soviet party|Communist Party of Ukraine|Communist Party of Ukraine (renewed)}}
 
 The '''Communist Party (Bolshevik) of Ukraine''' ({{lang-uk|Комуністична Партія (більшовиків) України, ''Komunistychna Partiya (bilshovykiv) Ukrayiny'', ''КП(б)У''}}) was formed at a conference in [[Tahanrih]], in April 1918, when the first [[Bolshevik]] government of Ukraine  (''Respublika Rad Ukrayiny'') was dissolved.  In July, a Moscow congress of Ukrainian bolsheviks rescinded the resolution, and the Ukrainian party was declared a part of the [[Russian Communist Party (bolshevik)]].",merge from [[Ukrainian Communist Party]],Mzajac,2007-08-14T23:16:02Z,"**Added merge template from Ukrainian Communist Party.** 

Weaponised: Not Weaponised. The change is administrative in nature, indicating a merge of content without introducing any specific narrative or language that could be considered weaponising cultural heritage.",Weaponised
#redirect [[Communist Party of Ukraine]],"--- 
+++ 
@@ -10,8 +10,12 @@
 == See also ==
 * [[Borotbists]]
 * [[Ukrainian Communist Party]] (Ukapists)
+* [[Bolshevik Communist Party]]
+* [[Communist Party (bolsheviks) of Lithuania and Belorussia]]
+* [[Communist Party of India (Marxist-Leninist) Bolshevik]]
 
 ==References==
+{{reflist}}
 
 [[Category:Communist parties in the Former Soviet Union|Ukraine]]
 [[Category:Political parties in Ukraine|Communist Party of Ukraine]]",Added see also entries,Suntag,2008-08-28T16:07:55Z,"Added entries to the ""See also"" section.

Not Weaponised. The changes involve adding links to various communist parties without any specific language that could be interpreted as weaponising cultural heritage.",Not Weaponised
#redirect [[Communist Party of Ukraine]],"--- 
+++ 
@@ -17,6 +17,7 @@
 
 [[Category:Communist parties in the Former Soviet Union|Ukraine]]
 [[Category:Political parties in Ukraine|Communist Party of Ukraine]]
+[[Category:Political parties of the Russian Revolution]]
 [[Category:History of Ukraine]]
 [[Category:Political parties established in 1918]]
 [[Category:Ukrainian Revolution]]",,84.137.232.253,2007-08-27T21:57:02Z,"Added a category: ""Political parties of the Russian Revolution"".

Not Weaponised. The change is a neutral addition of a category that does not inherently carry a narrative or perspective that could be considered weaponising cultural heritage.",Not Weaponised
#redirect [[Communist Party of Ukraine]],"--- 
+++ 
@@ -10,6 +10,8 @@
 == See also ==
 * [[Borotbists]]
 * [[Ukrainian Communist Party]] (Ukapists)
+* [[All-Union Communist Party (bolsheviks)]]
+* [[All-Union Communist Party Bolsheviks]]
 * [[Bolshevik Communist Party]]
 * [[Communist Party (bolsheviks) of Lithuania and Belorussia]]
 * [[Communist Party of India (Marxist-Leninist) Bolshevik]]",Added some see alsos,Suntag,2008-08-28T16:10:20Z,"Added two links to ""See also"" section: ""All-Union Communist Party (bolsheviks)"" and ""All-Union Communist Party Bolsheviks"".

Not Weaponised. The changes are neutral additions of related topics without any loaded language or narratives that could be seen as weaponising cultural heritage.",Not Weaponised
