initial_version,changed_version,comment,user,date,llm_output,weaponised
"'''The Directorate''', or '''Directory''' (''Direktoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].


{{Ukraine-stub}}
[[Category:Ukrainian History]]","--- 
+++ 
@@ -2,6 +2,8 @@
 
 {{Ukraine-hist-stub}}
 
-[[uk:Директорія УНР]]
 [[Category:History of Ukraine]]
 [[Category:Ukrainian Revolution]]
+
+[[ja:ドィレクトーリヤ]]
+[[uk:Директорія УНР]]",+ ja,125.175.14.48,2006-07-01T16:58:09Z,"Added a link to the Japanese language version of the article.

Not Weaponised. The change is a simple addition of a language link and does not contain any politically charged or weaponised language.",Not Weaponised
"'''The Directorate''', or '''Directory''' (''Direktoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].


{{Ukraine-stub}}
[[Category:Ukrainian History]]",Initial revision,new stub,Mzajac,2005-05-29T07:21:01Z,"Added ""Initial revision"".

Not Weaponised – The change is neutral and does not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised
"'''The Directorate''', or '''Directory''' (''Direktoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].


{{Ukraine-stub}}
[[Category:Ukrainian History]]","--- 
+++ 
@@ -1,6 +1,6 @@
 '''The Directorate''', or '''Directory''' (Директория, ''Dyrektoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].
 
-{{Ukraine-stub}}
+{{Ukraine-history-stub}}
 
 [[uk:Директорія УНР]]
 [[Category:History of Ukraine]]","this is history, not current",Irpen,2006-05-15T05:24:26Z,"Changed the template from ""{{Ukraine-stub}}"" to ""{{Ukraine-history-stub}}"".

Not Weaponised. The change is a technical adjustment to the article's categorization and does not reflect any political or cultural narrative.",Not Weaponised
"'''The Directorate''', or '''Directory''' (''Direktoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].


{{Ukraine-stub}}
[[Category:Ukrainian History]]","--- 
+++ 
@@ -1,4 +1,4 @@
-'''The Directorate''', or '''Directory''' (''Direktoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].
+'''The Directorate''', or '''Directory''' (''Dyrektoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].
 
 
 {{Ukraine-stub}}",transliteration,Mzajac,2005-06-02T04:50:32Z,"Changed ""Direktoriya"" to ""Dyrektoriya"".

Not Weaponised. The change is a simple transliteration adjustment without any political or cultural implications.",Not Weaponised
"'''The Directorate''', or '''Directory''' (''Direktoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].


{{Ukraine-stub}}
[[Category:Ukrainian History]]",No changes,[[Directorate]] moved to [[Directorate of Ukraine]],Altenmann,2005-11-17T03:39:42Z,"Removed ""Directorate"" and replaced it with ""Directorate of Ukraine"". 

Not Weaponised – The change is a straightforward renaming of a section without any loaded language or implications related to cultural heritage weaponisation.",Not Weaponised
"'''The Directorate''', or '''Directory''' (''Direktoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].


{{Ukraine-stub}}
[[Category:Ukrainian History]]","--- 
+++ 
@@ -1,6 +1,6 @@
 '''The Directorate''', or '''Directory''' (Директория, ''Dyrektoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].
 
-{{Ukraine-history-stub}}
+{{Ukraine-hist-stub}}
 
 [[uk:Директорія УНР]]
 [[Category:History of Ukraine]]",typo,Irpen,2006-05-15T05:24:45Z,"Changed the template from ""{{Ukraine-history-stub}}"" to ""{{Ukraine-hist-stub}}"".

Not Weaponised – The change is a minor typographical correction related to a template name and does not carry any political or cultural implications.",Not Weaponised
"'''The Directorate''', or '''Directory''' (''Direktoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].


{{Ukraine-stub}}
[[Category:Ukrainian History]]","--- 
+++ 
@@ -1,20 +1,16 @@
-'''The Directorate''', or '''Directory''' (Директория, ''Dyrektoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].
-With the defeat of the Central Powers in the First world war, Skoropadsky could no longer rely on Germany and Austria-Hungary's support. 
-In November 1918, Skoropadky's opponents set up a rival body known as the Directory, whose forces were headed by the newly reformed [[Sich Rifles]]. Most of Skoropadsky's troops joined with the Directory. Skoropadsky turned to many White Russian officers on their way to fight alongside Denikin, he formed them into a Special Corps, but these troops could not face the Directory troops.
-In December 1918, the Directory troops took Kiev and overthrew Skoropadsky's regime.
+'''The Directorate''', or '''Directory''' ({{lang-uk|Директорія}}, ''Dyrektoriya'') was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].
 
-The Directory re-established the [[Ukrainian People's Republic]], the UNR. The new regime was torn between the Ukrainian Nationalists and the Russian Federalists, and the Nationalists won, and the Directory began to be dominated by the Ukrainian Nationalist leader, [[Semen Petlura]].
+==History==
+With the defeat of the [[Central Powers]] in the [[First world war]], Skoropadsky could no longer rely on [[Germany]] and [[Austria-Hungary]]'s support. In [[November]] [[1918]], Skoropadky's opponents set up a rival body known as the Directory, whose forces were headed by the newly reformed [[Sich Rifles]]. Most of Skoropadsky's troops joined with the Directory. Skoropadsky turned to many White Russian officers on their way to fight alongside [[Denikin]], he formed them into a Special Corps, but these troops could not face the Directory troops. In [[December]] [[1918]], the Directory troops took [[Kiev]] and overthrew Skoropadsky's regime.
 
-Faced by many enemies on all sides the UNR's army was organised to face each threat. To the North-east were the Bolsheviks, to the south-east were the Russian Whites, to the south-west Rumanians who had claims on territory there, and the French Interventionists took [[Odessa]] in December 1918 to fill the power vacuum left by the widthdrawing Austrians and Germans.
-Coming quickly to terms with the French and the Rumanians, the UNR's army was able to employ more men on other fronts. 
-With major fighting breaking out in January 1919, the Ukrainians were pushed back and Kiev fell in February 1919. By May, the Directory's armies had been squeezed into a narrow strip of land  around [[Brody]]. They then negotiated with the Poles, who were attacking the Ukrainians from behind, with this ceasefire, the Ukrainians were able to counter-attack and re-take [[Podilia]] and established a new capital in [[Kamanets Podil'skyi]].
-In June, the UNR's forces were joined by the Western Ukrainian Republic's forces, who had been pushed out of Galicia by the Poles. 
-In May 1919, General Denikin and his white army launched an offensive against the Reds, during Summer and Sutumn, Denikin opushed the Reds out of Central and Eastern Ukraine, the Directory took this advnatge to re-take Kiev.
-But for all this, Red counter attacks and a deadly ty[phus epidemic caused the Ukrainian's to be pushed out of Ukrainian territory completely into Polish lands.
+The Directory re-established the [[Ukrainian People's Republic]] (UNR). The new regime was torn between the Ukrainian Nationalists and the Russian Federalists, and the Nationalists won, and the Directory began to be dominated by the Ukrainian Nationalist leader, [[Semen Petlura]].
 
-In 1920, the Poles helped form two new Ukrainian divisions and joined with each other after the defeat of Denikin. A UNR-Polish Treaty in April 1920 provided for combined operations between the two armies under overall Polish command. In the Soviet-Polish war of 1920, the Poles and Ukrainians advanced side by side, and the UNR was set up again when they re-took Kiev. 
-But a Summer counter-offensive left the Poles and Ukrainians retreating, an armistice was signed in late 1920. With this great disapointment, the UNR forces launched an attack on their own against the Reds from Polihs territory, however this was quickly beaten.
-They were forced back into Galicia, which became part of Polish territory in the [[Treaty of Riga]].
+Faced by many enemies on all sides the UNR's army was organised to face each threat. To the North-east were the [[Bolsheviks]], to the south-east were the [[White movement|Russian Whites]], to the south-west [[Rumanians]] who had claims on territory there, and the [[French]] Interventionists took [[Odessa]] in December 1918 to fill the power vacuum left by the withdrawing Austrians and Germans.
+Coming quickly to terms with the French and the Rumanians, the UNR's army was able to employ more men on other fronts.
+
+With major fighting breaking out in [[January]] [[1919]], the Ukrainians were pushed back and Kiev fell in [[February]] [[1919]]. By May, the Directory's armies had been squeezed into a narrow strip of land around [[Brody]]. They then negotiated with the [[Poles]], who were attacking the Ukrainians from behind, with this ceasefire, the Ukrainians were able to counter-attack and re-take [[Podilia]] and established a new capital in [[Kamianets-Podilskyi]]. In [[June]], the UNR's forces were joined by the [[Western Ukrainian Republic]]'s forces, who had been pushed out of [[Galicia]] by the Poles.  In [[May]] [[1919]], General Denikin and his white army launched an offensive against the Reds, during Summer and Autumn, Denikin pushed the Reds out of Central and Eastern Ukraine, the Directory took this advantage to re-take Kiev. But for all this, Red counter attacks and a deadly typhus epidemic caused the Ukrainian's to be pushed out of Ukrainian territory completely into Polish lands.
+
+In [[1920]], the Poles helped form two new Ukrainian divisions and joined with each other after the defeat of Denikin. A UNR-Polish Treaty in [[April]] [[1920]] provided for combined operations between the two armies under overall Polish command. In the [[Polish-Soviet War in 1920|Soviet-Polish war of 1920]], the Poles and Ukrainians advanced side by side, and the UNR was set up again when they re-took Kiev. But a Summer counter-offensive left the Poles and Ukrainians retreating, an armistice was signed in late 1920. With this great disappointment, the UNR forces launched an attack on their own against the Reds from Polish territory, however this was quickly beaten. They were forced back into Galicia, which became part of Polish territory in the [[Treaty of Riga]].
 
 {{Ukraine-hist-stub}}
 ",misc; wikilinks,KPbIC,2006-12-16T00:38:08Z,"Removed some text and added new sections with restructured content.

Not Weaponised. The changes made are primarily structural and do not introduce any weaponised narratives or terms related to cultural heritage. The focus remains on historical events without any charged language.",Not Weaponised
"'''The Directorate''', or '''Directory''' (''Direktoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].


{{Ukraine-stub}}
[[Category:Ukrainian History]]","--- 
+++ 
@@ -1,6 +1,6 @@
 '''The Directorate''', or '''Directory''' (Директория, ''Dyrektoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].
 
-{{Ukraine-history-stub}}
+{{Ukraine-stub}}
 
 [[uk:Директорія УНР]]
 [[Category:History of Ukraine]]",,Grutness,2006-05-15T04:37:45Z,"Changed the template from ""{{Ukraine-history-stub}}"" to ""{{Ukraine-stub}}"".

Not Weaponised. The change is a technical adjustment to the article's categorization and does not reflect any cultural or political narrative.",Not Weaponised
"'''The Directorate''', or '''Directory''' (''Direktoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].


{{Ukraine-stub}}
[[Category:Ukrainian History]]","--- 
+++ 
@@ -2,4 +2,4 @@
 
 
 {{Ukraine-stub}}
-[[Category:Ukrainian History]]
+[[Category:Ukrainian history]]",,Mzajac,2005-05-29T07:25:31Z,"Changed the category from ""Ukrainian History"" to ""Ukrainian history"".

Not Weaponised. The change is a simple grammatical adjustment in capitalization and does not carry any political or cultural implications.",Not Weaponised
"'''The Directorate''', or '''Directory''' (''Direktoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].


{{Ukraine-stub}}
[[Category:Ukrainian History]]","--- 
+++ 
@@ -1,4 +1,20 @@
 '''The Directorate''', or '''Directory''' (Директория, ''Dyrektoriya''), was a government of the [[Ukrainian National Republic]] formed in 1918 in rebellion against [[Skoropadsky]]'s [[Hetmanate]].
+With the defeat of the Central Powers in the First world war, Skoropadsky could no longer rely on Germany and Austria-Hungary's support. 
+In November 1918, Skoropadky's opponents set up a rival body known as the Directory, whose forces were headed by the newly reformed [[Sich Rifles]]. Most of Skoropadsky's troops joined with the Directory. Skoropadsky turned to many White Russian officers on their way to fight alongside Denikin, he formed them into a Special Corps, but these troops could not face the Directory troops.
+In December 1918, the Directory troops took Kiev and overthrew Skoropadsky's regime.
+
+The Directory re-established the [[Ukrainian People's Republic]], the UNR. The new regime was torn between the Ukrainian Nationalists and the Russian Federalists, and the Nationalists won, and the Directory began to be dominated by the Ukrainian Nationalist leader, [[Semen Petlura]].
+
+Faced by many enemies on all sides the UNR's army was organised to face each threat. To the North-east were the Bolsheviks, to the south-east were the Russian Whites, to the south-west Rumanians who had claims on territory there, and the French Interventionists took [[Odessa]] in December 1918 to fill the power vacuum left by the widthdrawing Austrians and Germans.
+Coming quickly to terms with the French and the Rumanians, the UNR's army was able to employ more men on other fronts. 
+With major fighting breaking out in January 1919, the Ukrainians were pushed back and Kiev fell in February 1919. By May, the Directory's armies had been squeezed into a narrow strip of land  around [[Brody]]. They then negotiated with the Poles, who were attacking the Ukrainians from behind, with this ceasefire, the Ukrainians were able to counter-attack and re-take [[Podilia]] and established a new capital in [[Kamanets Podil'skyi]].
+In June, the UNR's forces were joined by the Western Ukrainian Republic's forces, who had been pushed out of Galicia by the Poles. 
+In May 1919, General Denikin and his white army launched an offensive against the Reds, during Summer and Sutumn, Denikin opushed the Reds out of Central and Eastern Ukraine, the Directory took this advnatge to re-take Kiev.
+But for all this, Red counter attacks and a deadly ty[phus epidemic caused the Ukrainian's to be pushed out of Ukrainian territory completely into Polish lands.
+
+In 1920, the Poles helped form two new Ukrainian divisions and joined with each other after the defeat of Denikin. A UNR-Polish Treaty in April 1920 provided for combined operations between the two armies under overall Polish command. In the Soviet-Polish war of 1920, the Poles and Ukrainians advanced side by side, and the UNR was set up again when they re-took Kiev. 
+But a Summer counter-offensive left the Poles and Ukrainians retreating, an armistice was signed in late 1920. With this great disapointment, the UNR forces launched an attack on their own against the Reds from Polihs territory, however this was quickly beaten.
+They were forced back into Galicia, which became part of Polish territory in the [[Treaty of Riga]].
 
 {{Ukraine-hist-stub}}
 ",,81.106.69.194,2006-12-12T16:17:56Z,"Added context about the Directorate's formation and its military engagements during the Ukrainian struggle for independence, including details about the rival factions and their interactions.

Not Weaponised. The content primarily provides historical context and does not employ language that aligns with weaponisation narratives or perspectives.",Not Weaponised
