initial_version,changed_version,comment,user,date,llm_output,weaponised
#REDIRECT [[Galicia (Central-Eastern Europe)]],"--- 
+++ 
@@ -1 +1 @@
-#REDIRECT [[Galicia (Central-Eastern Europe)]]
+#REDIRECT [[Galicia (eastern Europe)]]",Robot: Fixing double redirect to [[Galicia (eastern Europe)]],Xqbot,2009-10-20T11:29:25Z,"Error during API call: Error communicating with OpenAI: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",Unknown
#REDIRECT [[Galicia (Central-Eastern Europe)]],Initial revision,moved [[Galicia (Central Europe)]] to [[Galicia (Central-Eastern Europe)]]: correct name (see literature),Mibelz,2009-07-05T15:25:50Z,"Error during API call: Error communicating with OpenAI: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",Unknown
#REDIRECT [[Galicia (Central-Eastern Europe)]],"--- 
+++ 
@@ -1 +0,0 @@
-#REDIRECT [[Galicia (Central and Eastern Europe)]]",[[WP:AES|←]]Blanked the page,Smirnoff 80,2013-11-13T10:53:32Z,"Error during API call: Error communicating with OpenAI: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",Unknown
#REDIRECT [[Galicia (Central-Eastern Europe)]],"--- 
+++ 
@@ -1 +1 @@
-#REDIRECT [[Galicia (eastern Europe)]]
+#REDIRECT [[Galicia (Eastern Europe)]]",Robot: Fixing double redirect to [[Galicia (Eastern Europe)]],Xqbot,2010-01-01T01:48:54Z,"Error during API call: Error communicating with OpenAI: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",Unknown
#REDIRECT [[Galicia (Central-Eastern Europe)]],"--- 
+++ 
@@ -1 +1 @@
-#REDIRECT [[Galicia (Eastern Europe)]]
+#REDIRECT [[Galicia (Central and Eastern Europe)]]",[[WP:AES|←]]Redirected page to [[Galicia (Central and Eastern Europe)]],Smirnoff 80,2013-11-13T10:44:19Z,"Error during API call: Error communicating with OpenAI: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",Unknown
#REDIRECT [[Galicia (Central-Eastern Europe)]],"--- 
+++ 
@@ -1 +1 @@
-#REDIRECT [[Galicia (Central and Eastern Europe)]]
+#REDIRECT [[Galicia (central Europe)]]",Robot: Fixing double redirect to [[Galicia (central Europe)]],AvicBot,2013-11-16T17:57:04Z,"Error during API call: Error communicating with OpenAI: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",Unknown
#REDIRECT [[Galicia (Central-Eastern Europe)]],"--- 
+++ 
@@ -1 +1 @@
-#REDIRECT [[Galicia (Eastern and Central Europe)]]
+#REDIRECT [[Galicia (Eastern Europe)]]",Robot: Fixing double redirect to [[Galicia (Eastern Europe)]],タチコマ robot,2014-08-13T20:01:03Z,"Error during API call: Error communicating with OpenAI: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",Unknown
#REDIRECT [[Galicia (Central-Eastern Europe)]],"--- 
+++ 
@@ -0,0 +1 @@
+#REDIRECT [[Galicia (Central and Eastern Europe)]]",[[WP:AES|←]]Redirected page to [[Galicia (Central and Eastern Europe)]],Smirnoff 80,2013-11-13T10:55:26Z,"Error during API call: Error communicating with OpenAI: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",Unknown
#REDIRECT [[Galicia (Central-Eastern Europe)]],"--- 
+++ 
@@ -1 +1 @@
-#REDIRECT [[Galicia (Central and Eastern Europe)]]
+#REDIRECT [[Galicia (Eastern Europe)]]",Robot: Fixing double redirect to [[Galicia (Eastern Europe)]],AvicBot,2013-11-18T17:50:49Z,"Error during API call: Error communicating with OpenAI: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",Unknown
#REDIRECT [[Galicia (Central-Eastern Europe)]],"--- 
+++ 
@@ -1 +1 @@
-#REDIRECT [[Galicia (Eastern Europe)]]
+#REDIRECT [[Galicia (East Central Europe)]]",Bot: Fixing double redirect to [[Galicia (East Central Europe)]],Xqbot,2014-07-23T17:31:48Z,"Error during API call: Error communicating with OpenAI: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",Unknown
