initial_version,changed_version,comment,user,date,llm_output,weaponised
"Hinduism in Ukraine:-

TM has been quite active and has registered two Vedic universities.  About 5000 individuals have received TM mantras. 

Several Tantric schools exist in Ukraine, including Tantra Sangha, which has a Russian origin. 

ISKCON registered in Ukraine in 1995.  It has more than 30 charitable missions (e.g., “Meal for Life”) and has begun construction on a school.  It is estimated that ISKCON in Ukraine has 120 students, 5,000 active adherents, more than 300 clergy, and nearly 40,000 adherents. 

As of January 1, 2006, twenty-nine Krishna Consciousness communities were registered.

http://www.state.gov/g/drl/rls/irf/2006/71415.htm

http://www.krishna.org.ua/old/eng/index.htm",Initial revision,Hinduism in Ukraine new page,Padn,2007-01-05T12:09:47Z,"Change: ""Initial revision"" added.

Not Weaponised. The comment indicates the creation of a new page about Hinduism in Ukraine, which does not contain any language or terms that could be interpreted as weaponising cultural heritage.",Not Weaponised
"Hinduism in Ukraine:-

TM has been quite active and has registered two Vedic universities.  About 5000 individuals have received TM mantras. 

Several Tantric schools exist in Ukraine, including Tantra Sangha, which has a Russian origin. 

ISKCON registered in Ukraine in 1995.  It has more than 30 charitable missions (e.g., “Meal for Life”) and has begun construction on a school.  It is estimated that ISKCON in Ukraine has 120 students, 5,000 active adherents, more than 300 clergy, and nearly 40,000 adherents. 

As of January 1, 2006, twenty-nine Krishna Consciousness communities were registered.

http://www.state.gov/g/drl/rls/irf/2006/71415.htm

http://www.krishna.org.ua/old/eng/index.htm","--- 
+++ 
@@ -1,3 +1,5 @@
+{{cleanup}}
+
 Hinduism in Ukraine:-
 
 TM has been quite active and has registered two Vedic universities.  About 5000 individuals have received TM mantras. ",Cleanup,J Milburn,2007-01-05T12:13:11Z,"Added a cleanup template and a line break before the section on Hinduism in Ukraine.

Not Weaponised. The changes made are administrative in nature and do not introduce any language or narratives that could be considered weaponising cultural heritage.",Not Weaponised
"Hinduism in Ukraine:-

TM has been quite active and has registered two Vedic universities.  About 5000 individuals have received TM mantras. 

Several Tantric schools exist in Ukraine, including Tantra Sangha, which has a Russian origin. 

ISKCON registered in Ukraine in 1995.  It has more than 30 charitable missions (e.g., “Meal for Life”) and has begun construction on a school.  It is estimated that ISKCON in Ukraine has 120 students, 5,000 active adherents, more than 300 clergy, and nearly 40,000 adherents. 

As of January 1, 2006, twenty-nine Krishna Consciousness communities were registered.

http://www.state.gov/g/drl/rls/irf/2006/71415.htm

http://www.krishna.org.ua/old/eng/index.htm","--- 
+++ 
@@ -4,7 +4,7 @@
 
 Hinduism is a minority religion in ukraine.
 
-[[ISKCON]] registered in Ukraine in [[1995]].  It has more than 30 charitable missions (e.g., “Meal for Life”) and has begun construction on a school.  It is estimated that ISKCON in Ukraine has 120 students, 5,000 active adherents, more than 300 clergy, and nearly 40,000 adherents. 
+[[ISKCON]] was registered in Ukraine in [[1995]].  It has more than 30 charitable missions (e.g., “Meal for Life”) and has begun construction of a school.  It is estimated that ISKCON in Ukraine has 120 students, 5,000 active adherents, more than 300 clergy, and nearly 40,000 adherents. 
 
 As of January 1, 2006, twenty-nine [[Krishna]] Consciousness communities were registered.
 ",,Padn,2007-01-30T05:45:04Z,"Rephrased a sentence for clarity: ""registered"" changed to ""was registered"" in the context of ISKCON in Ukraine.

Not Weaponised. The change is a grammatical adjustment that does not introduce any politically charged language or narratives.",Not Weaponised
"Hinduism in Ukraine:-

TM has been quite active and has registered two Vedic universities.  About 5000 individuals have received TM mantras. 

Several Tantric schools exist in Ukraine, including Tantra Sangha, which has a Russian origin. 

ISKCON registered in Ukraine in 1995.  It has more than 30 charitable missions (e.g., “Meal for Life”) and has begun construction on a school.  It is estimated that ISKCON in Ukraine has 120 students, 5,000 active adherents, more than 300 clergy, and nearly 40,000 adherents. 

As of January 1, 2006, twenty-nine Krishna Consciousness communities were registered.

http://www.state.gov/g/drl/rls/irf/2006/71415.htm

http://www.krishna.org.ua/old/eng/index.htm","--- 
+++ 
@@ -62,6 +62,8 @@
 
 [[Sahaja Yoga]] is a method of meditation which brings a breakthrough in the evolution of human awareness. It was created by [[Shri Mataji Nirmala Devi]] in 1970 and has since spread all around the world.
 
+[[Yoga in Daily Life]] has a Centre in Ukraine. Address- Society Yoga in daily life Cherkassy Ukraine, Smelyanskaya str, 80-60, Cherkassy
+
 ==Brahmakumaris in Ukraine==
 
 Brahma Kumaris has 5 Centres in Ukraine.",/* Yoga in Ukraine */,Padn,2007-02-23T10:31:59Z,"Added a reference to ""Yoga in Daily Life"" having a Centre in Ukraine, along with its address.

Not Weaponised. The addition provides factual information about a cultural practice without invoking any contentious narratives or perspectives related to the ongoing conflict.",Not Weaponised
"Hinduism in Ukraine:-

TM has been quite active and has registered two Vedic universities.  About 5000 individuals have received TM mantras. 

Several Tantric schools exist in Ukraine, including Tantra Sangha, which has a Russian origin. 

ISKCON registered in Ukraine in 1995.  It has more than 30 charitable missions (e.g., “Meal for Life”) and has begun construction on a school.  It is estimated that ISKCON in Ukraine has 120 students, 5,000 active adherents, more than 300 clergy, and nearly 40,000 adherents. 

As of January 1, 2006, twenty-nine Krishna Consciousness communities were registered.

http://www.state.gov/g/drl/rls/irf/2006/71415.htm

http://www.krishna.org.ua/old/eng/index.htm","--- 
+++ 
@@ -38,7 +38,7 @@
 
 [[Yoga]] is gaining popularity in Ukraine. 
 
-[[Sahaja Yoga]], Vasudeva Yoga Association of Ukraine and Ashtanga Yoga Club of Ukraine are some Organisations in Ukraine teaching Yoga.
+[[Sahaja Yoga]], [[Vasudeva Yoga]] Association of Ukraine and [[Ashtanga Yoga]] Club of Ukraine are some Organisations in Ukraine teaching Yoga.
 
 [[Sahaja Yoga]] is a method of meditation which brings a breakthrough in the evolution of human awareness. It was created by [[Shri Mataji Nirmala Devi]] in 1970 and has since spread all around the world.
 ",/* Yoga in Ukraine */,Padn,2007-02-22T04:56:26Z,"Changed the formatting of ""Vasudeva Yoga"" and ""Ashtanga Yoga"" to include links.

Not Weaponised. The change is purely a formatting adjustment for clarity and does not introduce any weaponised language or narratives.",Not Weaponised
"Hinduism in Ukraine:-

TM has been quite active and has registered two Vedic universities.  About 5000 individuals have received TM mantras. 

Several Tantric schools exist in Ukraine, including Tantra Sangha, which has a Russian origin. 

ISKCON registered in Ukraine in 1995.  It has more than 30 charitable missions (e.g., “Meal for Life”) and has begun construction on a school.  It is estimated that ISKCON in Ukraine has 120 students, 5,000 active adherents, more than 300 clergy, and nearly 40,000 adherents. 

As of January 1, 2006, twenty-nine Krishna Consciousness communities were registered.

http://www.state.gov/g/drl/rls/irf/2006/71415.htm

http://www.krishna.org.ua/old/eng/index.htm","--- 
+++ 
@@ -69,4 +69,4 @@
 *[http://cities.expressindia.com/fullstory.php?newsid=74418 Ukraine to America, it’s Hare Rama, Hare Krishna ]
 *[http://www.sahajayoga.org.ua/eng/sy_ua/index.html Sahaja Yoga's centers in Ukraine]
 *[http://www.suhotraprabhu.com/in2-mec/index.php?p=J040828 The Odessa festival is held every year at the same Black Sea resort]
-*[http://www.brahmakumaris.com/bkcentres/index.htm Brahmakumaris in Ukraine]
+*[http://www.bkwsu.org//whereweare/center Brahmakumaris in Ukraine]",/* External links */,Padn,2007-02-22T04:56:01Z,"Changed the link for ""Brahmakumaris in Ukraine"" from an old URL to a new URL.

Not Weaponised. The change is a simple update of a web link and does not contain any language or narrative that could be interpreted as weaponising cultural heritage.",Not Weaponised
"Hinduism in Ukraine:-

TM has been quite active and has registered two Vedic universities.  About 5000 individuals have received TM mantras. 

Several Tantric schools exist in Ukraine, including Tantra Sangha, which has a Russian origin. 

ISKCON registered in Ukraine in 1995.  It has more than 30 charitable missions (e.g., “Meal for Life”) and has begun construction on a school.  It is estimated that ISKCON in Ukraine has 120 students, 5,000 active adherents, more than 300 clergy, and nearly 40,000 adherents. 

As of January 1, 2006, twenty-nine Krishna Consciousness communities were registered.

http://www.state.gov/g/drl/rls/irf/2006/71415.htm

http://www.krishna.org.ua/old/eng/index.htm","--- 
+++ 
@@ -69,3 +69,4 @@
 *[http://cities.expressindia.com/fullstory.php?newsid=74418 Ukraine to America, it’s Hare Rama, Hare Krishna ]
 *[http://www.sahajayoga.org.ua/eng/sy_ua/index.html Sahaja Yoga's centers in Ukraine]
 *[http://www.suhotraprabhu.com/in2-mec/index.php?p=J040828 The Odessa festival is held every year at the same Black Sea resort]
+*[http://www.brahmakumaris.com/bkcentres/index.htm Brahmakumaris in Ukraine]",/* External links */,Padn,2007-02-22T04:53:45Z,"Added a link to ""Brahmakumaris in Ukraine"".

Not Weaponised. The change is a simple addition of an external link and does not contain any language or narrative that could be interpreted as weaponising cultural heritage.",Not Weaponised
"Hinduism in Ukraine:-

TM has been quite active and has registered two Vedic universities.  About 5000 individuals have received TM mantras. 

Several Tantric schools exist in Ukraine, including Tantra Sangha, which has a Russian origin. 

ISKCON registered in Ukraine in 1995.  It has more than 30 charitable missions (e.g., “Meal for Life”) and has begun construction on a school.  It is estimated that ISKCON in Ukraine has 120 students, 5,000 active adherents, more than 300 clergy, and nearly 40,000 adherents. 

As of January 1, 2006, twenty-nine Krishna Consciousness communities were registered.

http://www.state.gov/g/drl/rls/irf/2006/71415.htm

http://www.krishna.org.ua/old/eng/index.htm","--- 
+++ 
@@ -1,6 +1,6 @@
-{{cleanup}}
+{{Cleanup|January 2007}}
 
-Hinduism in Ukraine:-
+'''Hinduism in Ukraine''':-
 
 TM has been quite active and has registered two Vedic universities.  About 5000 individuals have received TM mantras. 
 ",Date the maintenance tags  using [[Project:AWB|AWB]],SmackBot,2007-01-05T21:20:31Z,"Changed the maintenance tag from ""{{cleanup}}"" to ""{{Cleanup|January 2007}}"".

Not Weaponised. The change is a technical edit related to maintenance tags and does not involve any cultural or political narratives.",Not Weaponised
"Hinduism in Ukraine:-

TM has been quite active and has registered two Vedic universities.  About 5000 individuals have received TM mantras. 

Several Tantric schools exist in Ukraine, including Tantra Sangha, which has a Russian origin. 

ISKCON registered in Ukraine in 1995.  It has more than 30 charitable missions (e.g., “Meal for Life”) and has begun construction on a school.  It is estimated that ISKCON in Ukraine has 120 students, 5,000 active adherents, more than 300 clergy, and nearly 40,000 adherents. 

As of January 1, 2006, twenty-nine Krishna Consciousness communities were registered.

http://www.state.gov/g/drl/rls/irf/2006/71415.htm

http://www.krishna.org.ua/old/eng/index.htm","--- 
+++ 
@@ -24,7 +24,27 @@
 
 As of January 1, 2006, twenty-nine [[Krishna]] Consciousness communities were registered[http://www.state.gov/g/drl/rls/irf/2006/71415.htm IRF 2006]
 
-It has more than 30 charitable missions (e.g., “Meal for Life”) and has begun construction of a school. Iskcon has 60 teaching centres and 15 Krishna temples. It is estimated that ISKCON in Ukraine has 120 students, 5,000 active adherents, more than 300 clergy, and nearly 40,000 adherents. 
+It has more than 30 charitable missions (e.g., “Meal for Life”) and has begun construction of a school. Iskcon has 60 teaching centres and 15 Krishna temples. It is estimated that ISKCON in Ukraine has 120 students, 5,000 active adherents, more than 300 clergy, and nearly 40,000 adherents.
+
+==ISKCON Centres in Ukraine==
+
+Centre 1- ISKCON, Chernigov,Ukraine 
+ 
+Centre 2- ISKCON,Dnepropetrovsk, Ukraine 
+
+Centre 3- ISKCON, Kijev, Ukraine 
+
+Centre 4- ISKCON, Lvov, Ukraine
+
+Centre 5- ISKCON, Nikolayev, Ukraine
+
+Centre 6- ISKCON, Rovno, Ukraine
+
+Centre 7- ISKCON, Simferopol, Ukrain 
+
+Centre 8- ISKCON, Ternopol, Ukraine
+
+Centre 9- ISKCON, Vinniza, Ukraine
 
 ==Transcendental Meditation==
 ",/* ISKCON in Ukraine */,Padn,2007-02-22T11:33:31Z,"Added a section titled ""ISKCON Centres in Ukraine"" with a list of ISKCON centres in various Ukrainian cities.

Not Weaponised. The changes provide factual information about ISKCON centres in Ukraine without employing any politically charged language or narratives that could be seen as weaponizing cultural heritage.",Not Weaponised
"Hinduism in Ukraine:-

TM has been quite active and has registered two Vedic universities.  About 5000 individuals have received TM mantras. 

Several Tantric schools exist in Ukraine, including Tantra Sangha, which has a Russian origin. 

ISKCON registered in Ukraine in 1995.  It has more than 30 charitable missions (e.g., “Meal for Life”) and has begun construction on a school.  It is estimated that ISKCON in Ukraine has 120 students, 5,000 active adherents, more than 300 clergy, and nearly 40,000 adherents. 

As of January 1, 2006, twenty-nine Krishna Consciousness communities were registered.

http://www.state.gov/g/drl/rls/irf/2006/71415.htm

http://www.krishna.org.ua/old/eng/index.htm","--- 
+++ 
@@ -17,11 +17,12 @@
  
 
 ==External links==
-*[http://www.state.gov/g/drl/rls/irf/2006/71415.htm]
+*[http://www.state.gov/g/drl/rls/irf/2006/71415.htm IRF 2006]
 *[http://www.krishna.org.ua/old/eng/index.htm Iskcon in Ukraine]
 *[http://www.ukraine.org/www.ukrainet.lviv.ua/yellow/pages/00303.htm UNION OF MAHARISHI VEDIC UNIVERSITY Ukraine]
 *[http://cities.expressindia.com/fullstory.php?newsid=74418 Ukraine to America, it’s Hare Rama, Hare Krishna ]
 *[http://www.sahajayoga.org.ua/eng/sy_ua/index.html Sahaja Yoga's centers in Ukraine]
+*[http://www.suhotraprabhu.com/in2-mec/index.php?p=J040828 The Odessa festival is held every year at the same Black Sea resort]
 
 
 {{Hinduism footer small}}",/* External links */,Padn,2007-02-19T10:19:12Z,"Changed the external link text for clarity by adding ""IRF 2006"" to the first link and added a new link about ""The Odessa festival is held every year at the same Black Sea resort.""

Not Weaponised. The changes made are primarily about enhancing clarity and adding information without introducing any politically charged or culturally sensitive language.",Not Weaponised
