initial_version,changed_version,comment,user,date,llm_output,weaponised
"'''Regions of Ukraine'''
Ukraine is subdivided into 24 regions (''oblasti'', singular - ''oblast'''), 1 autonomous republic (''avtomnaya respublika'') in the [[Crimea]], and 2 municipalities (''mista'', singular - ''misto'') with regional status, marked by a *:

<table border=""0""><tr><td>
* [[Cherkasy region|Cherkasy]]
* [[Chernihiv region|Chernihiv]]
* [[Chernivtsi region|Chernivtsi]]
* [[Dnipropetrovs'k region|Dnipropetrovs'k]]
* [[Donets'k region|Donets'k]]
* [[Ivano-Frankivs'k region|Ivano-Frankivs'k]]
* [[Kharkiv region|Kharkiv]]
* [[Kherson region|Kherson]]
* [[Khmel'nyts'kyy region|Khmel'nyts'kyy]]
* [[Kirovohrad region|Kirovohrad]]
* [[Kiev]] *
* [[Kiev region]]
* [[Luhans'k region|Luhans'k]]
* [[L'viv region|L'viv]]
</td><td valign=""top"">
* [[Mykolayiv region|Mykolayiv]]
* [[Odessa region|Odessa]]
* [[Poltava region|Poltava]]
* [[Republic of Crimea]]
* [[Rivne region|Rivne]]
* [[Sevastopol]] * 
* [[Sumy region|Sumy]]
* [[Ternopil' region|Ternopil']]
* [[Vinnytsya pregion|Vinnytsya]]
* [[Volyn region|Volyn]]
* [[Zakarpattya region|Zakarpattya]] 
* [[Zaporizhzhya region|Zaporizhzhya]]
* [[Zhytomyr region|Zhytomyr]]","--- 
+++ 
@@ -28,7 +28,12 @@
 <li> [[Zakarpattya region|Zakarpattya]] 
 <li> [[Zaporizhzhya region|Zaporizhzhya]]
 <li> [[Zhytomyr region|Zhytomyr]]
-</td></tr></table>
+</ol>
+</td>
+<td>
+[[Image:UkraineNumbered.png]]
+</td>
+</tr></table>
 
 [[Kiev]] and [[Sevastopol]] are independent municipalities.
 ",,Morwen,2004-02-29T18:42:34Z,"Changed the formatting of a list and added an image of Ukraine.

Not Weaponised. The changes are primarily structural and do not include any language that could be interpreted as weaponising cultural heritage.",Not Weaponised
"'''Regions of Ukraine'''
Ukraine is subdivided into 24 regions (''oblasti'', singular - ''oblast'''), 1 autonomous republic (''avtomnaya respublika'') in the [[Crimea]], and 2 municipalities (''mista'', singular - ''misto'') with regional status, marked by a *:

<table border=""0""><tr><td>
* [[Cherkasy region|Cherkasy]]
* [[Chernihiv region|Chernihiv]]
* [[Chernivtsi region|Chernivtsi]]
* [[Dnipropetrovs'k region|Dnipropetrovs'k]]
* [[Donets'k region|Donets'k]]
* [[Ivano-Frankivs'k region|Ivano-Frankivs'k]]
* [[Kharkiv region|Kharkiv]]
* [[Kherson region|Kherson]]
* [[Khmel'nyts'kyy region|Khmel'nyts'kyy]]
* [[Kirovohrad region|Kirovohrad]]
* [[Kiev]] *
* [[Kiev region]]
* [[Luhans'k region|Luhans'k]]
* [[L'viv region|L'viv]]
</td><td valign=""top"">
* [[Mykolayiv region|Mykolayiv]]
* [[Odessa region|Odessa]]
* [[Poltava region|Poltava]]
* [[Republic of Crimea]]
* [[Rivne region|Rivne]]
* [[Sevastopol]] * 
* [[Sumy region|Sumy]]
* [[Ternopil' region|Ternopil']]
* [[Vinnytsya pregion|Vinnytsya]]
* [[Volyn region|Volyn]]
* [[Zakarpattya region|Zakarpattya]] 
* [[Zaporizhzhya region|Zaporizhzhya]]
* [[Zhytomyr region|Zhytomyr]]","--- 
+++ 
@@ -30,3 +30,5 @@
 * [[Zakarpattya region|Zakarpattya]] 
 * [[Zaporizhzhya region|Zaporizhzhya]]
 * [[Zhytomyr region|Zhytomyr]]
+
+See also [[List of cities in Ukraine]]",List of cities in Ukraine,Alex756,2003-05-03T05:50:07Z,"Added a reference to ""List of cities in Ukraine"".

Not Weaponised – The change is a straightforward addition of a reference without any loaded language or implications related to cultural heritage weaponisation.",Not Weaponised
"'''Regions of Ukraine'''
Ukraine is subdivided into 24 regions (''oblasti'', singular - ''oblast'''), 1 autonomous republic (''avtomnaya respublika'') in the [[Crimea]], and 2 municipalities (''mista'', singular - ''misto'') with regional status, marked by a *:

<table border=""0""><tr><td>
* [[Cherkasy region|Cherkasy]]
* [[Chernihiv region|Chernihiv]]
* [[Chernivtsi region|Chernivtsi]]
* [[Dnipropetrovs'k region|Dnipropetrovs'k]]
* [[Donets'k region|Donets'k]]
* [[Ivano-Frankivs'k region|Ivano-Frankivs'k]]
* [[Kharkiv region|Kharkiv]]
* [[Kherson region|Kherson]]
* [[Khmel'nyts'kyy region|Khmel'nyts'kyy]]
* [[Kirovohrad region|Kirovohrad]]
* [[Kiev]] *
* [[Kiev region]]
* [[Luhans'k region|Luhans'k]]
* [[L'viv region|L'viv]]
</td><td valign=""top"">
* [[Mykolayiv region|Mykolayiv]]
* [[Odessa region|Odessa]]
* [[Poltava region|Poltava]]
* [[Republic of Crimea]]
* [[Rivne region|Rivne]]
* [[Sevastopol]] * 
* [[Sumy region|Sumy]]
* [[Ternopil' region|Ternopil']]
* [[Vinnytsya pregion|Vinnytsya]]
* [[Volyn region|Volyn]]
* [[Zakarpattya region|Zakarpattya]] 
* [[Zaporizhzhya region|Zaporizhzhya]]
* [[Zhytomyr region|Zhytomyr]]","--- 
+++ 
@@ -42,3 +42,5 @@
 ==External link==
 
 *[http://www.world-gazetteer.com/s/s_ua.htm Map]
+
+[[de:Oblasts der Ukraine]]",+de:,217.69.228.185,2004-03-30T08:50:16Z,"Added a link to the German Wikipedia page for ""Oblasts der Ukraine"".

Not Weaponised. The change is a simple addition of a link without any loaded language or context that could be interpreted as weaponising cultural heritage.",Not Weaponised
"'''Regions of Ukraine'''
Ukraine is subdivided into 24 regions (''oblasti'', singular - ''oblast'''), 1 autonomous republic (''avtomnaya respublika'') in the [[Crimea]], and 2 municipalities (''mista'', singular - ''misto'') with regional status, marked by a *:

<table border=""0""><tr><td>
* [[Cherkasy region|Cherkasy]]
* [[Chernihiv region|Chernihiv]]
* [[Chernivtsi region|Chernivtsi]]
* [[Dnipropetrovs'k region|Dnipropetrovs'k]]
* [[Donets'k region|Donets'k]]
* [[Ivano-Frankivs'k region|Ivano-Frankivs'k]]
* [[Kharkiv region|Kharkiv]]
* [[Kherson region|Kherson]]
* [[Khmel'nyts'kyy region|Khmel'nyts'kyy]]
* [[Kirovohrad region|Kirovohrad]]
* [[Kiev]] *
* [[Kiev region]]
* [[Luhans'k region|Luhans'k]]
* [[L'viv region|L'viv]]
</td><td valign=""top"">
* [[Mykolayiv region|Mykolayiv]]
* [[Odessa region|Odessa]]
* [[Poltava region|Poltava]]
* [[Republic of Crimea]]
* [[Rivne region|Rivne]]
* [[Sevastopol]] * 
* [[Sumy region|Sumy]]
* [[Ternopil' region|Ternopil']]
* [[Vinnytsya pregion|Vinnytsya]]
* [[Volyn region|Volyn]]
* [[Zakarpattya region|Zakarpattya]] 
* [[Zaporizhzhya region|Zaporizhzhya]]
* [[Zhytomyr region|Zhytomyr]]","--- 
+++ 
@@ -47,5 +47,3 @@
 [[uk:C&#1087;&#1080;&#1089;&#1086;&#1082; &#1086;&#1073;&#1083;&#1072;&#1089;&#1090;&#1077;&#1081; &#1059;&#1082;&#1088;&#1072;&#1111;&#1085;&#1080;]]
 
 [[Category:Lists of subnational entities|Ukraine, Regions of]] [[Category:Ukraine]]
-
-[[Category:Lists of subnational entities|Ukraine, Regions of]] [[Category:Ukraine]]",removed duplicate category,Ornil,2004-06-12T22:36:09Z,"Removed duplicate category.

Not Weaponised. The change is a technical edit to remove a duplicate category and does not involve any language that could be interpreted as weaponising cultural heritage.",Not Weaponised
"'''Regions of Ukraine'''
Ukraine is subdivided into 24 regions (''oblasti'', singular - ''oblast'''), 1 autonomous republic (''avtomnaya respublika'') in the [[Crimea]], and 2 municipalities (''mista'', singular - ''misto'') with regional status, marked by a *:

<table border=""0""><tr><td>
* [[Cherkasy region|Cherkasy]]
* [[Chernihiv region|Chernihiv]]
* [[Chernivtsi region|Chernivtsi]]
* [[Dnipropetrovs'k region|Dnipropetrovs'k]]
* [[Donets'k region|Donets'k]]
* [[Ivano-Frankivs'k region|Ivano-Frankivs'k]]
* [[Kharkiv region|Kharkiv]]
* [[Kherson region|Kherson]]
* [[Khmel'nyts'kyy region|Khmel'nyts'kyy]]
* [[Kirovohrad region|Kirovohrad]]
* [[Kiev]] *
* [[Kiev region]]
* [[Luhans'k region|Luhans'k]]
* [[L'viv region|L'viv]]
</td><td valign=""top"">
* [[Mykolayiv region|Mykolayiv]]
* [[Odessa region|Odessa]]
* [[Poltava region|Poltava]]
* [[Republic of Crimea]]
* [[Rivne region|Rivne]]
* [[Sevastopol]] * 
* [[Sumy region|Sumy]]
* [[Ternopil' region|Ternopil']]
* [[Vinnytsya pregion|Vinnytsya]]
* [[Volyn region|Volyn]]
* [[Zakarpattya region|Zakarpattya]] 
* [[Zaporizhzhya region|Zaporizhzhya]]
* [[Zhytomyr region|Zhytomyr]]","--- 
+++ 
@@ -44,3 +44,4 @@
 *[http://www.world-gazetteer.com/s/s_ua.htm Map]
 
 [[de:Oblasts der Ukraine]]
+[[uk:C&#1087;&#1080;&#1089;&#1086;&#1082; &#1086;&#1073;&#1083;&#1072;&#1089;&#1090;&#1077;&#1081; &#1059;&#1082;&#1088;&#1072;&#1111;&#1085;&#1080;]]",+uk:,217.69.228.185,2004-03-30T09:14:10Z,"Added a link to the Ukrainian language Wikipedia page for ""Oblasts of Ukraine"".

Not Weaponised. The change is a simple addition of a language link and does not contain any loaded or politically charged language.",Not Weaponised
"'''Regions of Ukraine'''
Ukraine is subdivided into 24 regions (''oblasti'', singular - ''oblast'''), 1 autonomous republic (''avtomnaya respublika'') in the [[Crimea]], and 2 municipalities (''mista'', singular - ''misto'') with regional status, marked by a *:

<table border=""0""><tr><td>
* [[Cherkasy region|Cherkasy]]
* [[Chernihiv region|Chernihiv]]
* [[Chernivtsi region|Chernivtsi]]
* [[Dnipropetrovs'k region|Dnipropetrovs'k]]
* [[Donets'k region|Donets'k]]
* [[Ivano-Frankivs'k region|Ivano-Frankivs'k]]
* [[Kharkiv region|Kharkiv]]
* [[Kherson region|Kherson]]
* [[Khmel'nyts'kyy region|Khmel'nyts'kyy]]
* [[Kirovohrad region|Kirovohrad]]
* [[Kiev]] *
* [[Kiev region]]
* [[Luhans'k region|Luhans'k]]
* [[L'viv region|L'viv]]
</td><td valign=""top"">
* [[Mykolayiv region|Mykolayiv]]
* [[Odessa region|Odessa]]
* [[Poltava region|Poltava]]
* [[Republic of Crimea]]
* [[Rivne region|Rivne]]
* [[Sevastopol]] * 
* [[Sumy region|Sumy]]
* [[Ternopil' region|Ternopil']]
* [[Vinnytsya pregion|Vinnytsya]]
* [[Volyn region|Volyn]]
* [[Zakarpattya region|Zakarpattya]] 
* [[Zaporizhzhya region|Zaporizhzhya]]
* [[Zhytomyr region|Zhytomyr]]","--- 
+++ 
@@ -4,6 +4,7 @@
 # [[Cherkasy region|Cherkasy]]
 # [[Chernihiv region|Chernihiv]]
 # [[Chernivtsi region|Chernivtsi]]
+# [[Republic of Crimea|Crimea]]
 # [[Dnipropetrovs'k region|Dnipropetrovs'k]]
 # [[Donets'k region|Donets'k]]
 # [[Ivano-Frankivs'k region|Ivano-Frankivs'k]]
@@ -13,13 +14,12 @@
 # [[Kirovohrad region|Kirovohrad]]
 # [[Kiev region]]
 # [[Luhans'k region|Luhans'k]]
-# [[L'viv region|L'viv]]
 </td><td valign=""top"">
 <ol start=14>
+<li> [[L'viv region|L'viv]]
 <li> [[Mykolayiv region|Mykolayiv]]
 <li> [[Odessa region|Odessa]]
 <li> [[Poltava region|Poltava]]
-<li> [[Republic of Crimea]]
 <li> [[Rivne region|Rivne]]
 <li> [[Sumy region|Sumy]]
 <li> [[Ternopil' region|Ternopil']]",,Morwen,2004-02-29T18:34:08Z,"Added the entry for ""Republic of Crimea"" and removed the standalone entry for ""Republic of Crimea"" from a list.

Not Weaponised. The change appears to be a structural adjustment in the list of regions without introducing any specific narrative or loaded language that could be interpreted as weaponising cultural heritage.",Not Weaponised
"'''Regions of Ukraine'''
Ukraine is subdivided into 24 regions (''oblasti'', singular - ''oblast'''), 1 autonomous republic (''avtomnaya respublika'') in the [[Crimea]], and 2 municipalities (''mista'', singular - ''misto'') with regional status, marked by a *:

<table border=""0""><tr><td>
* [[Cherkasy region|Cherkasy]]
* [[Chernihiv region|Chernihiv]]
* [[Chernivtsi region|Chernivtsi]]
* [[Dnipropetrovs'k region|Dnipropetrovs'k]]
* [[Donets'k region|Donets'k]]
* [[Ivano-Frankivs'k region|Ivano-Frankivs'k]]
* [[Kharkiv region|Kharkiv]]
* [[Kherson region|Kherson]]
* [[Khmel'nyts'kyy region|Khmel'nyts'kyy]]
* [[Kirovohrad region|Kirovohrad]]
* [[Kiev]] *
* [[Kiev region]]
* [[Luhans'k region|Luhans'k]]
* [[L'viv region|L'viv]]
</td><td valign=""top"">
* [[Mykolayiv region|Mykolayiv]]
* [[Odessa region|Odessa]]
* [[Poltava region|Poltava]]
* [[Republic of Crimea]]
* [[Rivne region|Rivne]]
* [[Sevastopol]] * 
* [[Sumy region|Sumy]]
* [[Ternopil' region|Ternopil']]
* [[Vinnytsya pregion|Vinnytsya]]
* [[Volyn region|Volyn]]
* [[Zakarpattya region|Zakarpattya]] 
* [[Zaporizhzhya region|Zaporizhzhya]]
* [[Zhytomyr region|Zhytomyr]]","--- 
+++ 
@@ -1,19 +1,21 @@
-'''[[Ukraine]]''' is subdivided into 24 '''regions''' (''oblasti'', singular - ''oblast''), 1 autonomous republic (''avtomnaya respublika'') in the [[Crimea]], and 2 municipalities (''mista'', singular - ''misto'') with regional status, marked by a *:
+'''[[Ukraine]]''' is subdivided into 24 '''regions''' (''oblasti'', singular - ''oblast''), 1 autonomous republic (''avtomnaya respublika''), and 2 municipalities (''mista'', singular - ''misto'') with regional status:
 
+'''Regions:'''
 <table border=""0""><tr><td>
 # [[Cherkasy region|Cherkasy]]
 # [[Chernihiv region|Chernihiv]]
 # [[Chernivtsi region|Chernivtsi]]
-# [[Republic of Crimea|Crimea]]
-# [[Dnipropetrovs'k region|Dnipropetrovs'k]]
-# [[Donets'k region|Donets'k]]
-# [[Ivano-Frankivs'k region|Ivano-Frankivs'k]]
-# [[Kharkiv region|Kharkiv]]
-# [[Kherson region|Kherson]]
-# [[Khmel'nyts'kyy region|Khmel'nyts'kyy]]
-# [[Kirovohrad region|Kirovohrad]]
-# [[Kiev region]]
-# [[Luhans'k region|Luhans'k]]
+<ol start=5>
+<li> [[Dnipropetrovs'k region|Dnipropetrovs'k]]
+<li> [[Donets'k region|Donets'k]]
+<li> [[Ivano-Frankivs'k region|Ivano-Frankivs'k]]
+<li> [[Kharkiv region|Kharkiv]]
+<li> [[Kherson region|Kherson]]
+<li> [[Khmel'nyts'kyy region|Khmel'nyts'kyy]]
+<li> [[Kirovohrad region|Kirovohrad]]
+<li> [[Kiev region]]
+<li> [[Luhans'k region|Luhans'k]]
+</ol>
 </td><td valign=""top"">
 <ol start=14>
 <li> [[L'viv region|L'viv]]
@@ -35,7 +37,16 @@
 </td>
 </tr></table>
 
-[[Kiev]] and [[Sevastopol]] are independent municipalities.
+'''Autonomous republic:'''
+<ol start=4>
+<li> [[Republic of Crimea|Crimea]]
+</ol>
+
+'''Municipalities with regional status:'''
+
+*[[Kiev]]
+*[[Sevastopol]]
+
 
 See also [[List of cities in Ukraine]]
 ",Fixing irregularity,Drbug,2004-06-13T10:24:53Z,"The change made is the addition of structured lists for ""Regions,"" ""Autonomous republic,"" and ""Municipalities with regional status,"" which includes the reorganization of the content related to Crimea and the municipalities.

Not Weaponised. The changes are primarily structural and do not introduce any language that could be interpreted as weaponizing cultural heritage.",Not Weaponised
"'''Regions of Ukraine'''
Ukraine is subdivided into 24 regions (''oblasti'', singular - ''oblast'''), 1 autonomous republic (''avtomnaya respublika'') in the [[Crimea]], and 2 municipalities (''mista'', singular - ''misto'') with regional status, marked by a *:

<table border=""0""><tr><td>
* [[Cherkasy region|Cherkasy]]
* [[Chernihiv region|Chernihiv]]
* [[Chernivtsi region|Chernivtsi]]
* [[Dnipropetrovs'k region|Dnipropetrovs'k]]
* [[Donets'k region|Donets'k]]
* [[Ivano-Frankivs'k region|Ivano-Frankivs'k]]
* [[Kharkiv region|Kharkiv]]
* [[Kherson region|Kherson]]
* [[Khmel'nyts'kyy region|Khmel'nyts'kyy]]
* [[Kirovohrad region|Kirovohrad]]
* [[Kiev]] *
* [[Kiev region]]
* [[Luhans'k region|Luhans'k]]
* [[L'viv region|L'viv]]
</td><td valign=""top"">
* [[Mykolayiv region|Mykolayiv]]
* [[Odessa region|Odessa]]
* [[Poltava region|Poltava]]
* [[Republic of Crimea]]
* [[Rivne region|Rivne]]
* [[Sevastopol]] * 
* [[Sumy region|Sumy]]
* [[Ternopil' region|Ternopil']]
* [[Vinnytsya pregion|Vinnytsya]]
* [[Volyn region|Volyn]]
* [[Zakarpattya region|Zakarpattya]] 
* [[Zaporizhzhya region|Zaporizhzhya]]
* [[Zhytomyr region|Zhytomyr]]","--- 
+++ 
@@ -45,3 +45,5 @@
 
 [[de:Oblasts der Ukraine]]
 [[uk:C&#1087;&#1080;&#1089;&#1086;&#1082; &#1086;&#1073;&#1083;&#1072;&#1089;&#1090;&#1077;&#1081; &#1059;&#1082;&#1088;&#1072;&#1111;&#1085;&#1080;]]
+
+[[Category:Lists of subnational entities|Ukraine, Regions of]] [[Category:Ukraine]]",[[Category:Lists of subnational entities]] [[Category:Ukraine]],Docu,2004-06-01T22:15:06Z,"**Added** two new category entries: ""Lists of subnational entities"" and ""Ukraine, Regions of"".

Not Weaponised. The changes are administrative in nature, focusing on categorization without introducing any politically charged language or narratives.",Not Weaponised
"'''Regions of Ukraine'''
Ukraine is subdivided into 24 regions (''oblasti'', singular - ''oblast'''), 1 autonomous republic (''avtomnaya respublika'') in the [[Crimea]], and 2 municipalities (''mista'', singular - ''misto'') with regional status, marked by a *:

<table border=""0""><tr><td>
* [[Cherkasy region|Cherkasy]]
* [[Chernihiv region|Chernihiv]]
* [[Chernivtsi region|Chernivtsi]]
* [[Dnipropetrovs'k region|Dnipropetrovs'k]]
* [[Donets'k region|Donets'k]]
* [[Ivano-Frankivs'k region|Ivano-Frankivs'k]]
* [[Kharkiv region|Kharkiv]]
* [[Kherson region|Kherson]]
* [[Khmel'nyts'kyy region|Khmel'nyts'kyy]]
* [[Kirovohrad region|Kirovohrad]]
* [[Kiev]] *
* [[Kiev region]]
* [[Luhans'k region|Luhans'k]]
* [[L'viv region|L'viv]]
</td><td valign=""top"">
* [[Mykolayiv region|Mykolayiv]]
* [[Odessa region|Odessa]]
* [[Poltava region|Poltava]]
* [[Republic of Crimea]]
* [[Rivne region|Rivne]]
* [[Sevastopol]] * 
* [[Sumy region|Sumy]]
* [[Ternopil' region|Ternopil']]
* [[Vinnytsya pregion|Vinnytsya]]
* [[Volyn region|Volyn]]
* [[Zakarpattya region|Zakarpattya]] 
* [[Zaporizhzhya region|Zaporizhzhya]]
* [[Zhytomyr region|Zhytomyr]]","--- 
+++ 
@@ -47,3 +47,5 @@
 [[uk:C&#1087;&#1080;&#1089;&#1086;&#1082; &#1086;&#1073;&#1083;&#1072;&#1089;&#1090;&#1077;&#1081; &#1059;&#1082;&#1088;&#1072;&#1111;&#1085;&#1080;]]
 
 [[Category:Lists of subnational entities|Ukraine, Regions of]] [[Category:Ukraine]]
+
+[[Category:Lists of subnational entities|Ukraine, Regions of]] [[Category:Ukraine]]",[[Category:Lists of subnational entities]] [[Category:Ukraine]],Docu,2004-06-10T20:46:59Z,"Added categories related to subnational entities in Ukraine.

Not Weaponised. The changes made are administrative in nature, focusing on categorization without introducing any politically charged language or narratives.",Not Weaponised
"'''Regions of Ukraine'''
Ukraine is subdivided into 24 regions (''oblasti'', singular - ''oblast'''), 1 autonomous republic (''avtomnaya respublika'') in the [[Crimea]], and 2 municipalities (''mista'', singular - ''misto'') with regional status, marked by a *:

<table border=""0""><tr><td>
* [[Cherkasy region|Cherkasy]]
* [[Chernihiv region|Chernihiv]]
* [[Chernivtsi region|Chernivtsi]]
* [[Dnipropetrovs'k region|Dnipropetrovs'k]]
* [[Donets'k region|Donets'k]]
* [[Ivano-Frankivs'k region|Ivano-Frankivs'k]]
* [[Kharkiv region|Kharkiv]]
* [[Kherson region|Kherson]]
* [[Khmel'nyts'kyy region|Khmel'nyts'kyy]]
* [[Kirovohrad region|Kirovohrad]]
* [[Kiev]] *
* [[Kiev region]]
* [[Luhans'k region|Luhans'k]]
* [[L'viv region|L'viv]]
</td><td valign=""top"">
* [[Mykolayiv region|Mykolayiv]]
* [[Odessa region|Odessa]]
* [[Poltava region|Poltava]]
* [[Republic of Crimea]]
* [[Rivne region|Rivne]]
* [[Sevastopol]] * 
* [[Sumy region|Sumy]]
* [[Ternopil' region|Ternopil']]
* [[Vinnytsya pregion|Vinnytsya]]
* [[Volyn region|Volyn]]
* [[Zakarpattya region|Zakarpattya]] 
* [[Zaporizhzhya region|Zaporizhzhya]]
* [[Zhytomyr region|Zhytomyr]]","--- 
+++ 
@@ -24,7 +24,7 @@
 * [[Sevastopol]] * 
 * [[Sumy region|Sumy]]
 * [[Ternopil' region|Ternopil']]
-* [[Vinnytsya pregion|Vinnytsya]]
+* [[Vinnytsya region|Vinnytsya]]
 * [[Volyn region|Volyn]]
 * [[Zakarpattya region|Zakarpattya]] 
 * [[Zaporizhzhya region|Zaporizhzhya]]",,Morwen,2004-02-29T12:32:55Z,"Changed ""Vinnytsya pregion"" to ""Vinnytsya region"".

Not Weaponised – The change is a correction of a typographical error and does not carry any political or cultural implications.",Not Weaponised
